TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,4660,0,67,2,X,04,2020
1,AK,0901,5,,XO,1220,14360,0,282,1,X,04,2020
1,AK,20XX,1,XX,,2010,4293733,24971000,0,1,0,04,2020
1,AK,20XX,3,,XA,1220,28283,443,563,1,X,04,2020
1,AK,20XX,3,,XA,1220,29848,69,538,2,X,04,2020
1,AK,20XX,3,,XC,1220,6699,248,142,1,X,04,2020
1,AK,20XX,3,,XC,1220,9103,15,208,2,X,04,2020
1,AK,20XX,3,,XM,1220,5800,74,140,1,X,04,2020
1,AK,20XX,3,,XO,1220,20072,1118,833,1,X,04,2020
1,AK,20XX,3,,XQ,1220,5252,4,250,1,X,04,2020
1,AK,2303,5,CO,,2010,76702,0,0,1,0,04,2020
1,AK,2303,6,NL,,2010,23490,0,0,1,0,04,2020
1,AK,2304,5,CH,,2010,3274,0,0,1,0,04,2020
1,AK,2304,5,CM,,2010,235362,0,0,1,0,04,2020
1,AK,2304,5,CM,,2010,49119,0,0,2,0,04,2020
1,AK,2304,5,GT,,2010,69796,0,0,1,0,04,2020
1,AK,2304,5,JA,,2010,11182,0,0,1,0,04,2020
1,AK,2304,5,MX,,2010,4923,0,0,2,0,04,2020
1,AK,2304,5,NL,,2010,387887,0,0,1,0,04,2020
1,AK,2304,5,NL,,2010,764596,0,0,2,0,04,2020
1,AK,2304,5,OT,,2010,25175,0,0,1,0,04,2020
1,AK,2304,5,QT,,2010,26913,0,0,2,0,04,2020
1,AK,2304,5,SL,,2010,8030,0,0,2,0,04,2020
1,AK,2305,5,MX,,2010,48927,0,0,2,0,04,2020
1,AK,2408,5,CH,,2010,5750,0,0,1,0,04,2020
1,AK,2506,5,BC,,2010,121803,0,0,1,0,04,2020
1,AK,2506,5,BC,,2010,5640,0,0,2,0,04,2020
1,AK,2506,5,BS,,2010,2997,0,0,1,0,04,2020
1,AK,3001,5,,XC,1220,22797,0,499,1,X,04,2020
1,AK,3004,5,,XC,1220,1002074,0,18586,1,X,04,2020
1,AK,3004,5,,XC,1220,15261,0,227,2,X,04,2020
1,AK,3009,5,,XC,1220,59618,0,1517,1,X,04,2020
1,AK,3023,5,,XC,1220,341724,0,8209,1,X,04,2020
1,AK,30XX,1,,XC,1220,809104,99790,15864,1,X,04,2020
1,AK,30XX,3,,XC,1220,7108,443,235,1,X,04,2020
1,AK,3101,5,,XC,1220,2563,0,56,1,X,04,2020
1,AK,3101,8,,XC,1220,309189,0,4239,1,X,04,2020
1,AK,3103,5,,XC,1220,2305380,0,144040,1,X,04,2020
1,AK,3104,5,,XY,1220,210018,0,3819,1,X,04,2020
1,AK,3104,5,,XY,1220,301216,0,3123,2,X,04,2020
1,AK,3106,5,,XC,1220,731870,0,57776,1,X,04,2020
1,AK,3126,5,,XC,1220,2980,0,58,1,X,04,2020
1,AK,31XX,1,,XB,1220,108133,24698,1482,1,X,04,2020
1,AK,31XX,1,,XC,1220,18936008,10471310,131254,1,X,04,2020
1,AK,31XX,3,,XC,1220,20896,32,1898,1,X,04,2020
1,AK,31XX,3,,XO,1220,179759,72,0,1,X,04,2020
1,AK,3310,5,,XA,1220,6260,0,212,1,X,04,2020
1,AK,3613,5,,XO,1220,40534,0,711,1,X,04,2020
1,AK,3801,5,,XO,1220,79046,0,1755,1,X,04,2020
1,AK,3801,5,,XO,1220,5380,0,101,2,X,04,2020
1,AK,3802,5,,XO,1220,30298,0,291,1,X,04,2020
1,AK,3802,5,,XO,1220,5971,0,71,2,X,04,2020
1,AK,4101,3,,XO,1220,2579,6,52,1,X,04,2020
1,AK,4101,3,,XQ,1220,2650,171,86,1,X,04,2020
1,AK,4102,3,,XO,1220,2943,330,46,1,X,04,2020
1,AK,4102,3,,XO,1220,9787,15,205,2,X,04,2020
1,AK,41XX,3,XX,,2010,2543,48,0,1,0,04,2020
1,AK,70XX,8,,XA,1220,2131,0,2,1,X,04,2020
1,AK,70XX,8,,XA,1220,2464,0,51,2,X,04,2020
1,AK,70XX,8,,XC,1220,7606,0,567,1,X,04,2020
1,AK,70XX,8,,XM,1220,4346,0,141,1,X,04,2020
1,AK,70XX,8,,XO,1220,6741,0,407,1,X,04,2020
1,AK,70XX,8,,XQ,1220,2077,0,88,1,X,04,2020
1,AL,0106,5,,XB,1220,434614,0,23454,1,X,04,2020
1,AL,0115,5,,XB,1220,334411,0,15752,1,X,04,2020
1,AL,0115,5,,XB,1220,19782,0,210,2,X,04,2020
1,AL,01XX,3,,XO,1220,3926,8,76,2,X,04,2020
1,AL,0701,5,,XO,1220,76587,0,1140,1,X,04,2020
1,AL,0708,5,,XO,1220,1884319,0,55593,1,X,04,2020
1,AL,0708,5,,XO,1220,11455,0,130,2,X,04,2020
1,AL,0708,5,,XQ,1220,25146,0,477,1,X,04,2020
1,AL,0712,5,,XA,1220,34551,0,1377,1,X,04,2020
1,AL,0712,5,,XB,1220,3528,0,472,1,X,04,2020
1,AL,0712,5,,XC,1220,4456,0,22,1,X,04,2020
1,AL,0712,5,,XM,1220,39046,0,2714,1,X,04,2020
1,AL,0712,5,,XO,1220,294357,0,30682,1,X,04,2020
1,AL,0712,5,,XQ,1220,2197059,0,34562,1,X,04,2020
1,AL,0712,5,,XQ,1220,259962,0,6173,2,X,04,2020
1,AL,07XX,3,,XO,1220,2683,13,57,1,X,04,2020
1,AL,07XX,3,,XQ,1220,140031,295,142,2,X,04,2020
1,AL,0901,5,,XM,1220,8062,0,355,1,X,04,2020
1,AL,0901,5,,XO,1220,6618620,0,159287,1,X,04,2020
1,AL,0901,5,,XO,1220,500015,0,8945,2,X,04,2020
1,AL,0901,5,,XQ,1220,9418,0,65,1,X,04,2020
1,AL,0901,5,,XQ,1220,251949,0,35,2,X,04,2020
1,AL,0901,6,,XO,1220,604563,0,4864,1,X,04,2020
1,AL,09XX,3,,XO,1220,13049,867,255,1,X,04,2020
1,AL,09XX,3,,XO,1220,8050,20,158,2,X,04,2020
1,AL,10XX,3,XX,,2010,25000,2177,0,1,0,04,2020
1,AL,10XX,8,DF,,2010,1281350,0,0,1,X,04,2020
1,AL,17XX,3,XX,,2010,5141,40,0,2,0,04,2020
1,AL,18XX,1,XX,,2010,352000,936286,0,1,0,04,2020
1,AL,18XX,1,XX,,2010,86268,112037,0,1,1,04,2020
1,AL,19XX,1,,XW,1220,1153917,57444,0,2,X,04,2020
1,AL,19XX,1,XX,,2010,20317101,21403852,0,1,0,04,2020
1,AL,19XX,1,XX,,2010,2979341,7078576,0,1,1,04,2020
1,AL,19XX,1,XX,,2010,742738,1897937,0,2,0,04,2020
1,AL,19XX,1,XX,,2010,917058,1635000,0,2,1,04,2020
1,AL,2006,3,,XO,1220,3119,2,61,1,X,04,2020
1,AL,20XX,3,,XA,1220,217501,1434,3366,1,X,04,2020
1,AL,20XX,3,,XA,1220,28178,327,71,2,X,04,2020
1,AL,20XX,3,,XC,1220,68500,490,1265,1,X,04,2020
1,AL,20XX,3,,XC,1220,49809,29,404,2,X,04,2020
1,AL,20XX,3,,XM,1220,2566,5,70,2,X,04,2020
1,AL,20XX,3,,XO,1220,627060,2853,5535,1,X,04,2020
1,AL,20XX,3,,XO,1220,142249,1672,1309,2,X,04,2020
1,AL,20XX,3,,XQ,1220,1768403,9355,6500,1,X,04,2020
1,AL,20XX,3,,XQ,1220,306188,1215,1573,2,X,04,2020
1,AL,20XX,3,XX,,2010,944387,19953,0,1,0,04,2020
1,AL,20XX,3,XX,,2010,83292,877,0,2,0,04,2020
1,AL,20XX,8,,XA,1220,549000,0,1668,1,X,04,2020
1,AL,20XX,8,,XC,1220,22172,0,312,1,X,04,2020
1,AL,20XX,8,,XO,1220,24863,0,355,1,X,04,2020
1,AL,20XX,8,,XQ,1220,140881,0,1394,1,X,04,2020
1,AL,2301,5,CO,,2010,56094,0,0,1,0,04,2020
1,AL,2301,5,DF,,2010,26356,0,0,1,0,04,2020
1,AL,2301,5,NL,,2010,75404,0,0,1,0,04,2020
1,AL,2301,5,TM,,2010,48019,0,0,1,0,04,2020
1,AL,2301,5,ZA,,2010,185349,0,0,1,0,04,2020
1,AL,2301,6,NL,,2010,64092,0,0,1,0,04,2020
1,AL,2301,6,TM,,2010,114955,0,0,1,0,04,2020
1,AL,2301,6,TM,,2010,114955,0,0,1,1,04,2020
1,AL,2301,8,TM,,2010,7070,0,0,1,X,04,2020
1,AL,2303,5,CO,,2010,718232,0,0,1,0,04,2020
1,AL,2303,5,DG,,2010,47652,0,0,1,0,04,2020
1,AL,2303,5,HG,,2010,16877,0,0,1,0,04,2020
1,AL,2303,5,MX,,2010,521288,0,0,1,0,04,2020
1,AL,2303,5,SO,,2010,5255,0,0,1,0,04,2020
1,AL,2303,6,CO,,2010,1758525,0,0,1,0,04,2020
1,AL,2303,6,MX,,2010,269491,0,0,1,0,04,2020
1,AL,2303,6,NL,,2010,33839,0,0,1,0,04,2020
1,AL,2304,5,AG,,2010,434214,0,0,1,0,04,2020
1,AL,2304,5,AG,,2010,31678,0,0,1,1,04,2020
1,AL,2304,5,AG,,2010,67357,0,0,2,0,04,2020
1,AL,2304,5,CH,,2010,33846,0,0,1,0,04,2020
1,AL,2304,5,CH,,2010,3151,0,0,1,1,04,2020
1,AL,2304,5,CM,,2010,518351,0,0,1,0,04,2020
1,AL,2304,5,CM,,2010,76455,0,0,2,0,04,2020
1,AL,2304,5,CO,,2010,620591,0,0,1,0,04,2020
1,AL,2304,5,CO,,2010,3492,0,0,2,0,04,2020
1,AL,2304,5,DF,,2010,705344,0,0,1,0,04,2020
1,AL,2304,5,DF,,2010,87547,0,0,2,0,04,2020
1,AL,2304,5,DG,,2010,74302,0,0,1,0,04,2020
1,AL,2304,5,GT,,2010,699221,0,0,1,0,04,2020
1,AL,2304,5,GT,,2010,31392,0,0,1,1,04,2020
1,AL,2304,5,GT,,2010,131539,0,0,2,0,04,2020
1,AL,2304,5,GT,,2010,21879,0,0,2,1,04,2020
1,AL,2304,5,HG,,2010,76856,0,0,1,0,04,2020
1,AL,2304,5,JA,,2010,378601,0,0,1,0,04,2020
1,AL,2304,5,JA,,2010,2737,0,0,2,0,04,2020
1,AL,2304,5,MI,,2010,21328,0,0,1,0,04,2020
1,AL,2304,5,MO,,2010,70910,0,0,1,0,04,2020
1,AL,2304,5,MX,,2010,4322392,0,0,1,0,04,2020
1,AL,2304,5,MX,,2010,192657,0,0,2,0,04,2020
1,AL,2304,5,NL,,2010,24243220,0,0,1,0,04,2020
1,AL,2304,5,NL,,2010,281940,0,0,1,1,04,2020
1,AL,2304,5,NL,,2010,295256,0,0,2,0,04,2020
1,AL,2304,5,OT,,2010,548546,0,0,1,0,04,2020
