TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,NL,,2010,22370,0,0,1,0,04,2020
1,AK,03,1,,XB,1220,108133,24698,1482,1,X,04,2020
1,AK,03,1,,XC,1220,809104,99790,15864,1,X,04,2020
1,AK,03,5,,XC,1220,887888,0,17546,1,X,04,2020
1,AK,03,5,,XO,1220,76006,0,1665,1,X,04,2020
1,AK,03,8,,XC,1220,309189,0,4239,1,X,04,2020
1,AK,04,5,,XO,1220,25307,0,276,1,X,04,2020
1,AK,10,1,XX,,2010,4293733,24971000,0,1,0,04,2020
1,AK,13,5,OT,,2010,12788,0,0,1,0,04,2020
1,AK,19,5,,XC,1220,3201,0,84,1,X,04,2020
1,AK,23,5,,XC,1220,430730,0,9987,1,X,04,2020
1,AK,26,1,,XC,1220,18704271,9138240,128960,1,X,04,2020
1,AK,27,5,,XC,1220,3054182,0,202978,1,X,04,2020
1,AK,29,5,OT,,2010,12387,0,0,1,0,04,2020
1,AK,39,5,,XC,1220,3693,0,49,2,X,04,2020
1,AK,39,5,,XY,1220,43805,0,859,2,X,04,2020
1,AK,39,5,GT,,2010,14480,0,0,1,0,04,2020
1,AK,39,5,NL,,2010,2663,0,0,1,0,04,2020
1,AK,44,1,,XC,1220,231737,1333070,2294,1,X,04,2020
1,AK,48,5,CM,,2010,45590,0,0,1,0,04,2020
1,AK,62,3,,XQ,1220,2650,171,86,1,X,04,2020
1,AK,63,3,,XC,1220,6933,617,130,1,X,04,2020
1,AK,63,3,,XM,1220,5800,74,140,1,X,04,2020
1,AK,63,3,,XO,1220,9343,1069,624,1,X,04,2020
1,AK,72,6,NL,,2010,23490,0,0,1,0,04,2020
1,AK,73,3,,XA,1220,6197,399,178,1,X,04,2020
1,AK,73,5,,XC,1220,2980,0,58,1,X,04,2020
1,AK,73,5,BC,,2010,5137,0,0,1,0,04,2020
1,AK,73,5,CH,,2010,3274,0,0,1,0,04,2020
1,AK,73,5,JA,,2010,11182,0,0,1,0,04,2020
1,AK,73,5,NL,,2010,5985,0,0,2,0,04,2020
1,AK,74,3,,XO,1220,2943,330,46,1,X,04,2020
1,AK,74,5,BC,,2010,20246,0,0,1,0,04,2020
1,AK,76,5,NL,,2010,69657,0,0,1,0,04,2020
1,AK,83,5,CM,,2010,16955,0,0,2,0,04,2020
1,AK,84,3,,XC,1220,6681,28,681,1,X,04,2020
1,AK,84,3,,XC,1220,3362,10,66,2,X,04,2020
1,AK,84,3,,XO,1220,9787,15,205,2,X,04,2020
1,AK,84,5,,XA,1220,6260,0,212,1,X,04,2020
1,AK,84,5,,XC,1220,3009,0,59,1,X,04,2020
