TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0106,5,,XB,1220,37700,0,113,1,X,08,2020
1,AK,0115,5,,XB,1220,16109,0,1512,1,X,08,2020
1,AK,0712,5,,XQ,1220,17574,0,666,1,X,08,2020
1,AK,20XX,3,,XA,1220,8776,22,137,1,X,08,2020
1,AK,20XX,3,,XC,1220,3999,15,188,1,X,08,2020
1,AK,20XX,3,,XC,1220,87906,38,1412,2,X,08,2020
1,AK,20XX,3,,XQ,1220,20112,32,72,1,X,08,2020
1,AK,20XX,3,,XQ,1220,454925,250,64,2,X,08,2020
1,AK,2301,5,NL,,2010,53996,0,0,1,0,08,2020
1,AK,2303,6,MX,,2010,35705,0,0,1,0,08,2020
1,AK,2304,5,AG,,2010,10089,0,0,1,0,08,2020
1,AK,2304,5,CM,,2010,49068,0,0,1,0,08,2020
1,AK,2304,5,CM,,2010,180090,0,0,2,0,08,2020
1,AK,2304,5,CO,,2010,19433,0,0,1,0,08,2020
1,AK,2304,5,DF,,2010,15943,0,0,1,0,08,2020
1,AK,2304,5,GT,,2010,17586,0,0,2,0,08,2020
1,AK,2304,5,JA,,2010,42364,0,0,1,0,08,2020
1,AK,2304,5,MX,,2010,316297,0,0,1,0,08,2020
1,AK,2304,5,MX,,2010,85646,0,0,2,0,08,2020
1,AK,2304,5,NL,,2010,104292,0,0,1,0,08,2020
1,AK,2304,5,NL,,2010,74167,0,0,2,0,08,2020
1,AK,2304,5,PU,,2010,98755,0,0,1,0,08,2020
1,AK,2304,5,PU,,2010,4632,0,0,2,0,08,2020
1,AK,2304,5,QT,,2010,11312,0,0,2,0,08,2020
1,AK,2304,5,SL,,2010,68330,0,0,1,0,08,2020
1,AK,2304,5,SL,,2010,18263,0,0,2,0,08,2020
1,AK,2304,5,TL,,2010,249497,0,0,2,0,08,2020
1,AK,2304,5,TM,,2010,61563,0,0,1,0,08,2020
1,AK,2305,8,TM,,2010,3775,0,0,1,X,08,2020
1,AK,2402,5,DF,,2010,5281,0,0,1,0,08,2020
1,AK,2402,5,NL,,2010,9467,0,0,1,0,08,2020
1,AK,2506,5,BC,,2010,80048,0,0,1,0,08,2020
1,AK,2506,5,JA,,2010,4150,0,0,1,0,08,2020
1,AK,2507,5,BC,,2010,43511,0,0,1,0,08,2020
1,AK,2604,5,PU,,2010,20588,0,0,1,0,08,2020
1,AK,3001,5,,XC,1220,10735,0,559,1,X,08,2020
1,AK,3004,5,,XC,1220,3538859,0,50510,1,X,08,2020
1,AK,3004,5,,XC,1220,25629,0,50,2,X,08,2020
1,AK,3004,5,,XY,1220,56208,0,770,1,X,08,2020
1,AK,3009,5,,XC,1220,338530,0,12128,1,X,08,2020
1,AK,30XX,1,,XC,1220,403080,48398,7903,1,X,08,2020
1,AK,30XX,3,,XC,1220,14049,1371,283,1,X,08,2020
1,AK,30XX,3,,XC,1220,2702,39,145,2,X,08,2020
1,AK,3101,5,,XC,1220,50121,0,1097,1,X,08,2020
1,AK,3103,5,,XC,1220,2678898,0,51741,1,X,08,2020
1,AK,3104,5,,XY,1220,633376,0,9310,1,X,08,2020
1,AK,3104,5,,XY,1220,32056,0,623,2,X,08,2020
1,AK,3106,5,,XC,1220,650872,0,12738,1,X,08,2020
1,AK,3126,5,,XY,1220,1860601,0,28514,1,X,08,2020
1,AK,31XX,1,,XC,1220,41072897,31141061,89235,1,X,08,2020
1,AK,31XX,3,,XO,1220,1325360,23,13122,1,X,08,2020
1,AK,31XX,3,,XQ,1220,4054,2,79,2,X,08,2020
1,AK,31XX,3,XX,,2010,4535,2,0,2,0,08,2020
1,AK,3310,5,,XY,1220,20440,0,400,1,X,08,2020
1,AK,3401,5,,XM,1220,3298,0,34,1,X,08,2020
1,AK,3801,5,,XO,1220,2576,0,50,1,X,08,2020
1,AK,3801,5,,XY,1220,20618,0,404,1,X,08,2020
1,AK,3802,5,,XO,1220,25137,0,407,1,X,08,2020
1,AK,4101,3,,XO,1220,18723,776,839,1,X,08,2020
1,AK,70XX,5,,XC,1220,10674,0,376,1,X,08,2020
1,AK,70XX,8,,XC,1220,124,0,3,1,X,08,2020
1,AL,0106,5,,XB,1220,553718,0,15344,1,X,08,2020
1,AL,0115,5,,XB,1220,162293,0,9478,1,X,08,2020
1,AL,0115,5,,XB,1220,4930,0,96,2,X,08,2020
1,AL,01XX,3,,XO,1220,5072,15,106,2,X,08,2020
1,AL,0701,5,,XO,1220,128784,0,2287,1,X,08,2020
1,AL,0704,5,,XO,1220,9827,0,192,1,X,08,2020
1,AL,0704,5,,XO,1220,2678,0,84,2,X,08,2020
1,AL,0708,5,,XO,1220,5454222,0,74291,1,X,08,2020
1,AL,0708,5,,XO,1220,104180,0,2037,2,X,08,2020
1,AL,0712,5,,XA,1220,5618,0,575,2,X,08,2020
1,AL,0712,5,,XC,1220,10789,0,146,1,X,08,2020
1,AL,0712,5,,XM,1220,17430,0,448,1,X,08,2020
1,AL,0712,5,,XO,1220,43360,0,5016,1,X,08,2020
1,AL,0712,5,,XO,1220,8514,0,1140,2,X,08,2020
1,AL,0712,5,,XQ,1220,2638420,0,45044,1,X,08,2020
1,AL,0712,5,,XQ,1220,428800,0,4662,2,X,08,2020
1,AL,0712,6,,XO,1220,265714,0,12650,1,X,08,2020
1,AL,0712,8,,XQ,1220,135692,0,1090,1,X,08,2020
