TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0901,5,,XO,1220,2701,0,7,1,X,02,2020
1,AK,09XX,3,,XO,1220,11083,187,0,1,X,02,2020
1,AK,19XX,1,XX,,2010,698682,993848,0,1,0,02,2020
1,AK,20XX,3,,XA,1220,31846,138,1076,1,X,02,2020
1,AK,20XX,3,,XA,1220,22927,34,985,2,X,02,2020
1,AK,20XX,3,,XC,1220,51099,13,4509,1,X,02,2020
1,AK,20XX,3,,XC,1220,20409,598,279,2,X,02,2020
1,AK,20XX,3,,XM,1220,18003,381,148,1,X,02,2020
1,AK,20XX,3,,XO,1220,9748,6,188,1,X,02,2020
1,AK,20XX,3,,XO,1220,5357,2,105,2,X,02,2020
1,AK,20XX,3,,XQ,1220,13515,26,90,1,X,02,2020
1,AK,20XX,8,,XC,1220,24366,0,361,1,X,02,2020
1,AK,2304,5,CM,,2010,76845,0,0,1,0,02,2020
1,AK,2304,5,CM,,2010,51616,0,0,2,0,02,2020
1,AK,2304,5,CO,,2010,120356,0,0,1,0,02,2020
1,AK,2304,5,CO,,2010,5145,0,0,2,0,02,2020
1,AK,2304,5,DF,,2010,38375,0,0,1,0,02,2020
1,AK,2304,5,GT,,2010,31676,0,0,1,0,02,2020
1,AK,2304,5,JA,,2010,12523,0,0,1,0,02,2020
1,AK,2304,5,MX,,2010,1881809,0,0,1,0,02,2020
1,AK,2304,5,MX,,2010,20921,0,0,2,0,02,2020
1,AK,2304,5,NL,,2010,209650,0,0,1,0,02,2020
1,AK,2304,5,NL,,2010,39434,0,0,2,0,02,2020
1,AK,2304,5,PU,,2010,112608,0,0,1,0,02,2020
1,AK,2304,5,SL,,2010,46758,0,0,2,0,02,2020
1,AK,2304,5,TL,,2010,168718,0,0,2,0,02,2020
1,AK,2304,5,TM,,2010,12825,0,0,1,0,02,2020
1,AK,2304,5,TM,,2010,4750,0,0,2,0,02,2020
1,AK,2304,6,MX,,2010,35236,0,0,1,0,02,2020
1,AK,2304,8,JA,,2010,7763,0,0,1,X,02,2020
1,AK,2304,8,TM,,2010,5066,0,0,1,X,02,2020
1,AK,2305,5,MX,,2010,16197,0,0,1,0,02,2020
