TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,BC,,2010,14400,0,0,1,0,02,2020
1,AK,03,1,,XB,1220,314082,77681,4306,1,X,02,2020
1,AK,03,5,,XC,1220,529703,0,10550,1,X,02,2020
1,AK,03,5,,XO,1220,71231,0,2258,1,X,02,2020
1,AK,03,5,,XY,1220,389480,0,5336,1,X,02,2020
1,AK,23,5,,XC,1220,277861,0,9606,1,X,02,2020
1,AK,27,5,,XC,1220,5601405,0,267204,1,X,02,2020
1,AK,27,5,,XY,1220,83255,0,4723,1,X,02,2020
1,AK,32,5,CM,,2010,4747,0,0,1,0,02,2020
1,AK,34,5,MX,,2010,9336,0,0,2,0,02,2020
1,AK,39,5,,XO,1220,2701,0,7,1,X,02,2020
1,AK,39,5,CM,,2010,7790,0,0,1,0,02,2020
1,AK,39,5,MX,,2010,10933,0,0,1,0,02,2020
1,AK,39,5,NL,,2010,3914,0,0,1,0,02,2020
1,AK,39,5,TM,,2010,5100,0,0,1,0,02,2020
1,AK,40,5,CO,,2010,5145,0,0,2,0,02,2020
1,AK,42,5,TL,,2010,3776,0,0,2,0,02,2020
1,AK,44,5,,XC,1220,27564,0,540,1,X,02,2020
1,AK,47,1,XX,,2010,698682,993848,0,1,0,02,2020
1,AK,47,6,MX,,2010,35236,0,0,1,0,02,2020
1,AK,48,5,GT,,2010,31676,0,0,1,0,02,2020
1,AK,48,5,MX,,2010,48105,0,0,1,0,02,2020
1,AK,48,5,NL,,2010,7237,0,0,1,0,02,2020
1,AK,57,3,,XY,1220,3005,759,1,1,X,02,2020
1,AK,57,5,NL,,2010,21017,0,0,1,0,02,2020
1,AK,59,5,DF,,2010,8375,0,0,1,0,02,2020
1,AK,59,5,TL,,2010,12360,0,0,2,0,02,2020
1,AK,63,3,,XM,1220,11372,132,392,1,X,02,2020
1,AK,69,5,NL,,2010,4071,0,0,2,0,02,2020
1,AK,73,3,,XY,1220,3608,144,3,1,X,02,2020
1,AK,76,5,NL,,2010,103929,0,0,1,0,02,2020
1,AK,76,5,PU,,2010,20113,0,0,1,0,02,2020
1,AK,82,3,,XA,1220,4442,5,87,1,X,02,2020
1,AK,83,5,CM,,2010,23969,0,0,1,0,02,2020
1,AK,84,3,,XA,1220,15321,37,300,1,X,02,2020
1,AK,84,3,,XA,1220,12573,7,602,2,X,02,2020
1,AK,84,3,,XC,1220,2556,29,50,1,X,02,2020
1,AK,84,3,,XO,1220,7786,90,151,2,X,02,2020
1,AK,84,5,,XC,1220,19313,0,2105,1,X,02,2020
1,AK,84,5,,XY,1220,295688,0,5058,1,X,02,2020
1,AK,84,5,,XY,1220,50567,0,1335,2,X,02,2020
1,AK,84,5,CM,,2010,51616,0,0,2,0,02,2020
1,AK,84,5,CO,,2010,120356,0,0,1,0,02,2020
1,AK,84,5,JA,,2010,12523,0,0,1,0,02,2020
1,AK,84,5,MX,,2010,19552,0,0,1,0,02,2020
1,AK,84,5,NL,,2010,73553,0,0,1,0,02,2020
1,AK,84,5,SL,,2010,46758,0,0,2,0,02,2020
1,AK,85,3,,XA,1220,9288,95,400,1,X,02,2020
1,AK,85,3,,XC,1220,11842,2,1045,1,X,02,2020
1,AK,85,3,,XO,1220,11083,187,0,1,X,02,2020
1,AK,85,3,,XY,1220,3227,26,1,1,X,02,2020
1,AK,85,3,XX,,2010,12193,88,0,1,0,02,2020
1,AK,85,5,,XC,1220,5741,0,112,1,X,02,2020
1,AK,85,5,,XO,1220,12079,0,237,1,X,02,2020
1,AK,85,5,CM,,2010,40339,0,0,1,0,02,2020
1,AK,85,5,DF,,2010,30000,0,0,1,0,02,2020
1,AK,85,5,MX,,2010,1819416,0,0,1,0,02,2020
1,AK,85,5,MX,,2010,20921,0,0,2,0,02,2020
1,AK,85,5,NL,,2010,23730,0,0,2,0,02,2020
1,AK,85,5,PU,,2010,92495,0,0,1,0,02,2020
1,AK,85,5,TM,,2010,7725,0,0,1,0,02,2020
1,AK,86,5,TM,,2010,4750,0,0,2,0,02,2020
1,AK,87,5,,XY,1220,176537,0,3461,1,X,02,2020
1,AK,87,5,NL,,2010,11633,0,0,2,0,02,2020
1,AK,87,8,JA,,2010,7763,0,0,1,X,02,2020
1,AK,87,8,TM,,2010,5066,0,0,1,X,02,2020
1,AK,88,3,,XA,1220,5647,4,344,1,X,02,2020
1,AK,88,3,,XA,1220,10354,27,383,2,X,02,2020
1,AK,88,3,,XC,1220,49264,45,3539,1,X,02,2020
1,AK,88,3,,XM,1220,15037,341,74,1,X,02,2020
1,AK,88,3,,XO,1220,9748,6,188,1,X,02,2020
1,AK,88,3,,XO,1220,5357,2,105,2,X,02,2020
1,AK,88,3,,XQ,1220,3539,8,89,1,X,02,2020
1,AK,88,3,,XY,1220,10020,4,6,1,X,02,2020
1,AK,88,5,,XC,1220,13684,0,621,1,X,02,2020
1,AK,88,5,,XO,1220,6662,0,392,1,X,02,2020
1,AK,88,5,,XY,1220,12319,0,367,1,X,02,2020
1,AK,90,3,,XA,1220,7691,91,195,1,X,02,2020
1,AK,90,3,,XC,1220,7632,12,90,2,X,02,2020
1,AK,90,3,,XO,1220,5285,2,103,1,X,02,2020
1,AK,90,3,,XO,1220,45286,118,888,2,X,02,2020
1,AK,90,3,,XQ,1220,9976,18,1,1,X,02,2020
1,AK,94,3,,XC,1220,12777,586,189,2,X,02,2020
1,AK,94,5,,XO,1220,4298,0,84,2,X,02,2020
1,AK,94,5,TL,,2010,152582,0,0,2,0,02,2020
1,AK,95,5,,XY,1220,2956,0,7,1,X,02,2020
1,AK,98,5,,XC,1220,12564,0,442,1,X,02,2020
1,AK,98,8,,XA,1220,10398,0,478,1,X,02,2020
1,AK,98,8,,XA,1220,4323,0,329,2,X,02,2020
1,AK,98,8,,XC,1220,43339,0,737,1,X,02,2020
1,AK,98,8,,XM,1220,4494,0,144,1,X,02,2020
1,AK,98,8,,XO,1220,2531,0,78,1,X,02,2020
1,AK,98,8,,XO,1220,256,0,6,2,X,02,2020
1,AK,98,8,,XQ,1220,2459,0,68,1,X,02,2020
1,AL,01,3,XX,,2010,2074002,3457,0,1,0,02,2020
1,AL,02,5,,XO,1220,460468,0,8485,1,X,02,2020
1,AL,02,5,JA,,2010,29940,0,0,1,1,02,2020
1,AL,03,5,,XO,1220,33745,0,620,1,X,02,2020
1,AL,03,5,MX,,2010,97809,0,0,1,0,02,2020
1,AL,04,5,,XC,1220,287877,0,9113,1,X,02,2020
1,AL,04,5,QT,,2010,256750,0,0,1,0,02,2020
1,AL,05,3,,XO,1220,16752,23040,797,1,X,02,2020
1,AL,05,5,,XB,1220,3693,0,72,1,X,02,2020
1,AL,05,5,,XO,1220,71851,0,3847,1,X,02,2020
1,AL,06,5,,XO,1220,6880,0,133,1,X,02,2020
1,AL,06,5,,XO,1220,3553,0,69,2,X,02,2020
1,AL,09,5,,XA,1220,9450,0,795,1,X,02,2020
1,AL,09,5,,XC,1220,51414,0,823,1,X,02,2020
1,AL,09,5,,XO,1220,29350,0,470,1,X,02,2020
1,AL,11,1,XX,,2010,179963,360396,0,2,0,02,2020
1,AL,12,5,,XC,1220,53411,0,1881,1,X,02,2020
1,AL,12,5,,XM,1220,17829,0,349,1,X,02,2020
1,AL,12,5,,XO,1220,210707,0,10026,1,X,02,2020
1,AL,12,5,JA,,2010,165000,0,0,1,0,02,2020
1,AL,12,5,NL,,2010,16280,0,0,1,0,02,2020
1,AL,14,5,,XM,1220,2727,0,150,2,X,02,2020
1,AL,15,5,,XC,1220,19786,0,1031,1,X,02,2020
1,AL,15,5,,XO,1220,6451,0,125,1,X,02,2020
1,AL,15,5,MX,,2010,81720,0,0,1,0,02,2020
1,AL,15,5,NL,,2010,77858,0,0,1,0,02,2020
1,AL,17,1,XX,,2010,275000,731434,0,1,0,02,2020
1,AL,17,1,XX,,2010,787335,2180905,0,1,1,02,2020
1,AL,18,5,,XO,1220,231535,0,1633,1,X,02,2020
1,AL,19,5,,XB,1220,174131,0,3414,1,X,02,2020
1,AL,19,5,,XO,1220,40293,0,5579,1,X,02,2020
1,AL,19,5,NL,,2010,11128,0,0,1,0,02,2020
1,AL,19,6,,XA,1220,51710,0,6485,1,X,02,2020
1,AL,20,5,,XC,1220,126887,0,4358,1,X,02,2020
1,AL,20,5,,XO,1220,52129,0,1018,1,X,02,2020
1,AL,20,5,NL,,2010,13500,0,0,1,0,02,2020
1,AL,21,5,MX,,2010,64930,0,0,1,0,02,2020
1,AL,23,5,,XO,1220,306780,0,5878,1,X,02,2020
1,AL,23,6,,XA,1220,237755,0,7302,1,X,02,2020
1,AL,23,6,,XO,1220,128922,0,2522,1,X,02,2020
1,AL,23,6,,XQ,1220,123090,0,2406,1,X,02,2020
1,AL,25,5,,XO,1220,80484,0,1080,1,X,02,2020
1,AL,25,5,,XO,1220,56455,0,1106,2,X,02,2020
1,AL,25,5,,XS,1220,29711,0,582,2,X,02,2020
1,AL,25,5,MX,,2010,78354,0,0,1,0,02,2020
1,AL,25,6,,XA,1220,2858,0,270,1,X,02,2020
1,AL,25,6,CO,,2010,5424,0,0,1,0,02,2020
1,AL,26,6,,XO,1220,66689,0,6774,1,X,02,2020
1,AL,26,6,NL,,2010,282528,0,0,1,0,02,2020
1,AL,27,5,,XA,1220,49389,0,967,1,X,02,2020
1,AL,27,5,,XC,1220,63293,0,1881,1,X,02,2020
1,AL,27,5,,XO,1220,130588,0,5269,1,X,02,2020
1,AL,27,5,,XS,1220,48790,0,3387,1,X,02,2020
1,AL,27,6,CO,,2010,2319490,0,0,1,0,02,2020
1,AL,27,6,HG,,2010,32558,0,0,1,0,02,2020
1,AL,27,6,PU,,2010,97929,0,0,1,0,02,2020
1,AL,28,1,XX,,2010,411443,599193,0,1,1,02,2020
1,AL,28,5,,XC,1220,147239,0,2898,1,X,02,2020
1,AL,28,5,,XO,1220,836836,0,37174,1,X,02,2020
1,AL,28,5,,XQ,1220,156362,0,3064,1,X,02,2020
1,AL,28,5,BC,,2010,23002,0,0,1,0,02,2020
1,AL,28,5,DG,,2010,33300,0,0,1,0,02,2020
1,AL,28,5,MX,,2010,490022,0,0,1,0,02,2020
1,AL,28,5,NL,,2010,185628,0,0,1,0,02,2020
1,AL,28,6,,XA,1220,7344,0,143,1,X,02,2020
1,AL,29,3,,XA,1220,2761,15,37,1,X,02,2020
1,AL,29,3,,XO,1220,4972,26,75,1,X,02,2020
1,AL,29,3,,XQ,1220,6415,42,125,1,X,02,2020
1,AL,29,5,,XA,1220,126598,0,2106,1,X,02,2020
1,AL,29,5,,XC,1220,95239,0,2349,1,X,02,2020
1,AL,29,5,,XO,1220,1131625,0,51975,1,X,02,2020
1,AL,29,5,,XO,1220,4009,0,78,2,X,02,2020
1,AL,29,5,CM,,2010,22225,0,0,1,0,02,2020
1,AL,29,5,DF,,2010,36567,0,0,1,0,02,2020
1,AL,29,5,MX,,2010,1141352,0,0,1,0,02,2020
1,AL,29,5,NL,,2010,67500,0,0,1,0,02,2020
1,AL,29,6,,XA,1220,98996,0,4713,1,X,02,2020
1,AL,29,6,,XM,1220,99196,0,4721,1,X,02,2020
1,AL,29,6,,XQ,1220,1061066,0,37257,1,X,02,2020
1,AL,29,6,DF,,2010,98159,0,0,1,0,02,2020
1,AL,29,6,MX,,2010,782736,0,0,1,0,02,2020
1,AL,30,3,,XC,1220,17973,3642,438,1,X,02,2020
1,AL,30,3,,XM,1220,24529,40,479,1,X,02,2020
1,AL,30,3,,XO,1220,102522,116,1866,1,X,02,2020
1,AL,30,3,XX,,2010,5918,2,0,1,0,02,2020
1,AL,30,5,,XO,1220,18264,0,573,1,X,02,2020
1,AL,31,5,,XO,1220,205059,0,4700,1,X,02,2020
