TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,BC,,2010,34800,0,0,1,0,01,2020
1,AK,02,5,CM,,2010,36055,0,0,1,0,01,2020
1,AK,03,3,,XQ,1220,2979,236,40,1,X,01,2020
1,AK,03,5,,XC,1220,678610,0,13524,1,X,01,2020
1,AK,03,5,,XC,1220,53448,0,732,2,X,01,2020
1,AK,08,3,,XC,1220,3765,142,76,1,X,01,2020
1,AK,15,5,,XC,1220,40618,0,3438,1,X,01,2020
1,AK,21,5,DG,,2010,6431,0,0,1,0,01,2020
1,AK,23,5,,XC,1220,186107,0,6612,1,X,01,2020
1,AK,23,5,,XO,1220,34750,0,568,1,X,01,2020
1,AK,25,5,,XC,1220,2691,0,52,1,X,01,2020
1,AK,26,5,SO,,2010,91302,0,0,1,1,01,2020
1,AK,27,5,,XC,1220,5281845,0,253401,1,X,01,2020
1,AK,27,5,,XY,1220,104072,0,6729,1,X,01,2020
1,AK,28,1,XX,,2010,20072,45682699,0,1,0,01,2020
1,AK,28,3,,XC,1220,7354,3186,111,1,X,01,2020
1,AK,28,5,,XS,1220,60216,0,1537,1,X,01,2020
1,AK,29,3,XX,,2010,2970,1,0,1,0,01,2020
1,AK,29,5,QT,,2010,24596,0,0,1,0,01,2020
1,AK,33,5,DF,,2010,205920,0,0,1,0,01,2020
1,AK,34,5,MX,,2010,2889,0,0,2,0,01,2020
1,AK,39,3,,XO,1220,2506,2,53,1,X,01,2020
1,AK,39,5,CO,,2010,20693,0,0,1,0,01,2020
1,AK,39,5,DF,,2010,11120,0,0,1,0,01,2020
1,AK,39,5,JA,,2010,9213,0,0,1,0,01,2020
1,AK,39,5,MX,,2010,10032,0,0,1,0,01,2020
1,AK,39,5,TL,,2010,14261,0,0,1,0,01,2020
1,AK,40,3,,XC,1220,6369,89,80,1,X,01,2020
1,AK,40,5,QT,,2010,7697,0,0,1,0,01,2020
1,AK,42,5,TL,,2010,15187,0,0,2,0,01,2020
1,AK,44,1,,XC,1220,1939845,2042605,19206,1,X,01,2020
1,AK,48,5,,XO,1220,3123,0,61,2,X,01,2020
1,AK,55,5,PU,,2010,28895,0,0,1,0,01,2020
1,AK,59,5,TL,,2010,44649,0,0,2,0,01,2020
1,AK,63,3,,XA,1220,3302,378,125,1,X,01,2020
1,AK,63,3,,XC,1220,4325,85,91,1,X,01,2020
1,AK,63,3,,XQ,1220,4597,526,482,1,X,01,2020
1,AK,70,3,,XA,1220,10291,50,382,1,X,01,2020
1,AK,72,5,NL,,2010,17977,0,0,1,0,01,2020
1,AK,73,3,,XC,1220,13921,29,1416,1,X,01,2020
1,AK,73,5,NL,,2010,4379,0,0,1,0,01,2020
1,AK,76,5,NL,,2010,39476,0,0,1,0,01,2020
1,AK,83,3,,XO,1220,3800,31,74,1,X,01,2020
1,AK,83,5,,XC,1220,3157,0,56,1,X,01,2020
1,AK,83,5,CM,,2010,2946,0,0,1,0,01,2020
1,AK,83,5,CM,,2010,29153,0,0,2,0,01,2020
1,AK,83,5,NL,,2010,4178,0,0,1,0,01,2020
1,AK,84,3,,XA,1220,2757,10,265,1,X,01,2020
1,AK,84,3,,XC,1220,2556,1,76,1,X,01,2020
1,AK,84,3,,XO,1220,20552,306,117,1,X,01,2020
1,AK,84,3,,XO,1220,120327,5187,114,2,X,01,2020
1,AK,84,5,,XA,1220,6388,0,125,1,X,01,2020
1,AK,84,5,,XC,1220,18112,0,399,1,X,01,2020
1,AK,84,5,,XY,1220,199327,0,219,1,X,01,2020
1,AK,84,5,,XY,1220,55613,0,1041,2,X,01,2020
1,AK,84,5,CM,,2010,39555,0,0,2,0,01,2020
1,AK,84,5,MX,,2010,93825,0,0,1,0,01,2020
1,AK,84,5,PU,,2010,17220,0,0,1,0,01,2020
1,AK,84,5,SL,,2010,55262,0,0,2,0,01,2020
1,AK,85,3,,XC,1220,22698,108,1536,1,X,01,2020
1,AK,85,3,,XM,1220,4253,2,75,1,X,01,2020
1,AK,85,3,,XO,1220,2792,9,315,1,X,01,2020
1,AK,85,5,,XY,1220,3293,0,3,2,X,01,2020
1,AK,85,5,CM,,2010,86985,0,0,1,0,01,2020
1,AK,85,5,CM,,2010,48465,0,0,2,0,01,2020
1,AK,85,5,DF,,2010,4040,0,0,1,0,01,2020
1,AK,85,5,MX,,2010,101162,0,0,1,0,01,2020
1,AK,85,5,MX,,2010,3378,0,0,2,0,01,2020
1,AK,85,5,QT,,2010,4040,0,0,2,0,01,2020
1,AK,87,5,,XC,1220,3040,0,59,1,X,01,2020
1,AK,87,5,,XY,1220,4875,0,216,1,X,01,2020
1,AK,87,5,NL,,2010,4870,0,0,1,0,01,2020
