TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XQ,1220,12182,0,461,1,X,07,2020
1,AK,20XX,3,,XA,1220,29921,1209,202,1,X,07,2020
1,AK,20XX,3,,XA,1220,2590,16,74,2,X,07,2020
1,AK,20XX,3,,XC,1220,58967,7843,857,1,X,07,2020
1,AK,20XX,3,,XC,1220,7201,1,133,2,X,07,2020
1,AK,20XX,3,,XO,1220,76586,846,819,1,X,07,2020
1,AK,20XX,3,,XO,1220,6967,18,136,2,X,07,2020
1,AK,20XX,3,,XQ,1220,35010,2934,2482,1,X,07,2020
1,AK,2301,5,TB,,2010,43200,0,0,1,0,07,2020
1,AK,2303,5,CO,,2010,7065,0,0,1,0,07,2020
1,AK,2304,5,CM,,2010,7744,0,0,1,0,07,2020
1,AK,2304,5,CM,,2010,84946,0,0,2,0,07,2020
1,AK,2304,5,DF,,2010,40287,0,0,1,0,07,2020
1,AK,2304,5,GT,,2010,6739,0,0,1,0,07,2020
1,AK,2304,5,JA,,2010,13075,0,0,1,0,07,2020
1,AK,2304,5,MX,,2010,23735,0,0,1,0,07,2020
1,AK,2304,5,MX,,2010,110342,0,0,2,0,07,2020
1,AK,2304,5,NL,,2010,187542,0,0,2,0,07,2020
1,AK,2304,5,PU,,2010,50919,0,0,1,0,07,2020
1,AK,2304,5,QT,,2010,25411,0,0,1,0,07,2020
1,AK,2304,5,QT,,2010,14008,0,0,2,0,07,2020
1,AK,2304,5,SL,,2010,44147,0,0,1,0,07,2020
1,AK,2304,5,SL,,2010,21166,0,0,2,0,07,2020
1,AK,2304,5,TL,,2010,205492,0,0,2,0,07,2020
1,AK,2305,5,NL,,2010,9823,0,0,1,0,07,2020
1,AK,2401,5,DF,,2010,59500,0,0,1,0,07,2020
1,AK,2506,5,BC,,2010,43372,0,0,1,0,07,2020
1,AK,2604,5,SI,,2010,19740,0,0,1,0,07,2020
1,AK,3001,5,,XY,1220,313162,0,16324,1,X,07,2020
1,AK,3004,5,,XC,1220,2679913,0,57726,1,X,07,2020
1,AK,3004,5,,XC,1220,43710,0,1518,2,X,07,2020
1,AK,3009,5,,XC,1220,199153,0,1438,1,X,07,2020
1,AK,30XX,3,,XC,1220,4247,44,82,1,X,07,2020
1,AK,3101,5,,XC,1220,53114,0,1161,1,X,07,2020
1,AK,3103,5,,XC,1220,2407613,0,47156,1,X,07,2020
1,AK,3104,5,,XY,1220,338164,0,9082,1,X,07,2020
1,AK,3104,5,,XY,1220,399305,0,6766,2,X,07,2020
1,AK,3105,5,,XC,1220,7224,0,157,1,X,07,2020
1,AK,3106,5,,XC,1220,559298,0,10950,1,X,07,2020
1,AK,3111,5,,XY,1220,47868,0,938,1,X,07,2020
1,AK,3126,5,,XC,1220,631934,0,12390,1,X,07,2020
1,AK,3126,5,,XY,1220,6035623,0,83039,1,X,07,2020
1,AK,31XX,1,,XB,1220,210842,49397,2890,1,X,07,2020
1,AK,31XX,1,,XC,1220,46940485,40966205,92711,1,X,07,2020
1,AK,31XX,3,,XC,1220,105129,596,7791,1,X,07,2020
1,AK,31XX,3,,XQ,1220,42217,230,37,2,X,07,2020
1,AK,31XX,3,XX,,2010,8590,15,0,2,0,07,2020
1,AK,3310,5,,XA,1220,39764,0,950,1,X,07,2020
1,AK,34XX,3,,XM,1220,12378,1428,468,1,X,07,2020
1,AK,3801,5,,XO,1220,226344,0,9316,1,X,07,2020
1,AK,3801,5,,XY,1220,239933,0,12508,1,X,07,2020
1,AK,3802,5,,XO,1220,23327,0,329,1,X,07,2020
1,AK,3802,6,,XO,1220,21808,0,2758,1,X,07,2020
1,AK,4101,3,,XQ,1220,3176,12,74,1,X,07,2020
1,AK,41XX,3,XX,,2010,11308,36,0,1,0,07,2020
1,AK,70XX,8,,XA,1220,214,0,0,1,X,07,2020
1,AK,70XX,8,,XC,1220,14,0,0,1,X,07,2020
1,AK,70XX,8,,XO,1220,2107,0,74,1,X,07,2020
1,AK,70XX,8,,XQ,1220,1341,0,88,1,X,07,2020
1,AL,0104,5,,XQ,1220,20451,0,832,1,X,07,2020
1,AL,0106,5,,XB,1220,189372,0,3314,1,X,07,2020
1,AL,0115,5,,XB,1220,138936,0,7198,1,X,07,2020
1,AL,0115,5,,XB,1220,24094,0,1435,2,X,07,2020
1,AL,04XX,3,XX,,2010,6106,2449,0,1,0,07,2020
1,AL,0701,5,,XO,1220,29748,0,547,1,X,07,2020
1,AL,0704,5,,XO,1220,36890,0,723,1,X,07,2020
1,AL,0708,5,,XO,1220,4690276,0,49557,1,X,07,2020
1,AL,0708,5,,XQ,1220,87111,0,297,1,X,07,2020
1,AL,0712,5,,XC,1220,18551,0,363,1,X,07,2020
1,AL,0712,5,,XM,1220,14198,0,1487,1,X,07,2020
1,AL,0712,5,,XO,1220,98651,0,6494,1,X,07,2020
1,AL,0712,5,,XQ,1220,3080697,0,65387,1,X,07,2020
1,AL,0712,5,,XQ,1220,520528,0,12193,2,X,07,2020
1,AL,0712,5,,XS,1220,6531,0,133,1,X,07,2020
1,AL,0712,6,,XO,1220,523762,0,24934,1,X,07,2020
1,AL,07XX,3,,XO,1220,2870,15,133,1,X,07,2020
1,AL,07XX,3,,XQ,1220,5521,29,148,2,X,07,2020
1,AL,0901,5,,XM,1220,277054,0,372,1,X,07,2020
1,AL,0901,5,,XO,1220,5188801,0,117605,1,X,07,2020
1,AL,0901,5,,XO,1220,980238,0,22256,2,X,07,2020
1,AL,0901,5,,XQ,1220,17944,0,478,1,X,07,2020
1,AL,0901,5,,XS,1220,26815,0,1088,1,X,07,2020
1,AL,0901,6,,XO,1220,402126,0,9546,1,X,07,2020
1,AL,09XX,3,,XO,1220,2983,54,58,1,X,07,2020
1,AL,09XX,3,,XO,1220,93722,158,148,2,X,07,2020
1,AL,17XX,1,XX,,2010,9860916,557022,0,1,0,07,2020
1,AL,17XX,3,XX,,2010,14192,229,0,2,0,07,2020
1,AL,18XX,1,XX,,2010,341000,907527,0,1,0,07,2020
1,AL,18XX,1,XX,,2010,147618,193746,0,1,1,07,2020
1,AL,19XX,1,XX,,2010,16948837,20056902,0,1,0,07,2020
1,AL,19XX,1,XX,,2010,1180888,3163491,0,1,1,07,2020
1,AL,19XX,1,XX,,2010,478783,1225977,0,2,0,07,2020
