TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,NL,,2010,14420,0,0,1,0,03,2020
1,AK,03,1,,XB,1220,301600,74027,4134,1,X,03,2020
1,AK,03,5,,XC,1220,1394967,0,22409,1,X,03,2020
1,AK,03,5,,XO,1220,74134,0,1016,1,X,03,2020
1,AK,03,5,,XY,1220,151362,0,2074,1,X,03,2020
1,AK,09,5,,XC,1220,60715,0,973,2,X,03,2020
1,AK,15,5,,XC,1220,89507,0,6444,1,X,03,2020
1,AK,16,5,,XC,1220,187304,0,1854,1,X,03,2020
1,AK,21,5,MX,,2010,111462,0,0,1,0,03,2020
1,AK,23,5,,XC,1220,95275,0,2864,1,X,03,2020
1,AK,26,5,,XC,1220,275100,0,3928,1,X,03,2020
1,AK,27,5,,XC,1220,5727569,0,288833,1,X,03,2020
1,AK,27,5,,XY,1220,32404,0,2338,1,X,03,2020
1,AK,28,5,,XS,1220,57096,0,6446,1,X,03,2020
1,AK,28,5,CH,,2010,11683,0,0,1,1,03,2020
1,AK,29,5,MX,,2010,15553,0,0,1,0,03,2020
1,AK,31,5,,XC,1220,16242,0,2039,1,X,03,2020
1,AK,38,5,,XY,1220,68442,0,1341,1,X,03,2020
1,AK,39,5,BC,,2010,5084,0,0,1,0,03,2020
1,AK,39,5,DF,,2010,3377,0,0,1,0,03,2020
1,AK,40,5,,XY,1220,2943,0,37,2,X,03,2020
1,AK,42,5,TL,,2010,9183,0,0,2,0,03,2020
1,AK,44,5,,XC,1220,17859,0,350,1,X,03,2020
1,AK,48,5,,XC,1220,5047,0,6,1,X,03,2020
1,AK,48,5,BC,,2010,5508,0,0,1,0,03,2020
1,AK,48,5,DF,,2010,22000,0,0,1,0,03,2020
1,AK,54,5,,XY,1220,6686,0,71,1,X,03,2020
1,AK,59,5,TL,,2010,68692,0,0,2,0,03,2020
1,AK,63,3,,XA,1220,2573,20,70,1,X,03,2020
1,AK,63,3,,XM,1220,14283,387,513,1,X,03,2020
1,AK,63,3,,XO,1220,2511,287,151,1,X,03,2020
1,AK,63,3,,XQ,1220,2568,38,250,1,X,03,2020
1,AK,63,5,,XC,1220,3162,0,206,1,X,03,2020
1,AK,63,5,,XO,1220,4654,0,339,1,X,03,2020
1,AK,72,6,NL,,2010,77866,0,0,1,0,03,2020
1,AK,73,3,,XC,1220,37285,18,143,1,X,03,2020
1,AK,73,5,,XY,1220,19852,0,388,1,X,03,2020
1,AK,73,5,NL,,2010,12008,0,0,1,0,03,2020
1,AK,76,5,,XC,1220,7438,0,161,1,X,03,2020
1,AK,82,3,,XO,1220,8799,83,175,1,X,03,2020
1,AK,83,5,CM,,2010,11248,0,0,1,0,03,2020
1,AK,83,5,CM,,2010,83367,0,0,2,0,03,2020
1,AK,84,3,,XA,1220,24020,440,2063,1,X,03,2020
1,AK,84,3,,XC,1220,28103,87,2629,1,X,03,2020
1,AK,84,3,,XQ,1220,63670,364,143,2,X,03,2020
1,AK,84,5,,XC,1220,55145,0,19,2,X,03,2020
1,AK,84,5,,XO,1220,48169,0,71,2,X,03,2020
1,AK,84,5,,XY,1220,224662,0,1378,1,X,03,2020
1,AK,84,5,,XY,1220,73843,0,1590,2,X,03,2020
1,AK,84,5,CM,,2010,29108,0,0,2,0,03,2020
1,AK,84,5,NL,,2010,248044,0,0,1,0,03,2020
1,AK,84,5,SL,,2010,36841,0,0,2,0,03,2020
1,AK,85,3,,XA,1220,41417,137,713,2,X,03,2020
1,AK,85,3,,XC,1220,47880,221,1099,1,X,03,2020
1,AK,85,3,,XO,1220,9654,50,189,2,X,03,2020
1,AK,85,5,,XC,1220,18068,0,209,1,X,03,2020
1,AK,85,5,,XC,1220,21979,0,431,2,X,03,2020
1,AK,85,5,,XO,1220,12451,0,244,1,X,03,2020
1,AK,85,5,,XY,1220,2985,0,1,2,X,03,2020
1,AK,85,5,AG,,2010,4632,0,0,1,0,03,2020
1,AK,85,5,CM,,2010,32379,0,0,1,0,03,2020
1,AK,85,5,CM,,2010,89436,0,0,2,0,03,2020
1,AK,85,5,JA,,2010,226350,0,0,2,0,03,2020
1,AK,85,5,NL,,2010,4131,0,0,1,0,03,2020
1,AK,85,5,NL,,2010,22311,0,0,2,0,03,2020
1,AK,85,8,TM,,2010,15041,0,0,1,X,03,2020
1,AK,87,5,,XY,1220,549897,0,5589,2,X,03,2020
1,AK,87,8,TM,,2010,10050,0,0,1,X,03,2020
1,AK,88,3,,XC,1220,66828,37,5938,1,X,03,2020
1,AK,88,3,,XQ,1220,3921,16,201,1,X,03,2020
1,AK,88,5,,XA,1220,70684,0,1385,2,X,03,2020
1,AK,88,5,,XC,1220,23628,0,141,1,X,03,2020
1,AK,88,5,,XO,1220,3075,0,110,1,X,03,2020
1,AK,88,5,,XY,1220,13565,0,513,1,X,03,2020
1,AK,90,3,,XC,1220,7175,13,341,2,X,03,2020
1,AK,90,3,,XQ,1220,11083,32,238,1,X,03,2020
1,AK,90,5,,XY,1220,23616,0,447,1,X,03,2020
1,AK,90,5,,XY,1220,29381,0,556,2,X,03,2020
1,AK,90,5,DF,,2010,3022,0,0,2,0,03,2020
1,AK,90,5,NL,,2010,66330,0,0,2,0,03,2020
1,AK,90,5,QT,,2010,27750,0,0,1,0,03,2020
1,AK,94,5,CO,,2010,91987,0,0,1,0,03,2020
1,AK,94,5,NL,,2010,11308,0,0,1,0,03,2020
1,AK,94,5,TL,,2010,7628,0,0,1,0,03,2020
1,AK,94,5,TL,,2010,138619,0,0,2,0,03,2020
1,AK,95,5,,XC,1220,3357,0,67,2,X,03,2020
1,AK,97,3,,XC,1220,9342,49,204,1,X,03,2020
1,AK,98,5,,XC,1220,9877,0,346,1,X,03,2020
1,AK,98,8,,XA,1220,7763,0,385,1,X,03,2020
1,AK,98,8,,XC,1220,1856,0,143,1,X,03,2020
1,AK,98,8,,XO,1220,3962,0,274,1,X,03,2020
1,AK,98,8,,XQ,1220,2096,0,107,2,X,03,2020
1,AL,01,3,XX,,2010,410565,723,0,1,0,03,2020
1,AL,02,5,,XO,1220,263216,0,4180,1,X,03,2020
1,AL,03,5,,XO,1220,45832,0,1116,1,X,03,2020
1,AL,03,5,,XQ,1220,16734,0,243,1,X,03,2020
1,AL,04,5,,XC,1220,256250,0,7264,1,X,03,2020
1,AL,04,5,QT,,2010,130000,0,0,1,0,03,2020
1,AL,05,5,,XO,1220,149002,0,7622,1,X,03,2020
1,AL,11,1,XX,,2010,91903,179685,0,2,0,03,2020
1,AL,12,5,,XB,1220,102398,0,9669,1,X,03,2020
1,AL,12,5,,XO,1220,556665,0,27576,1,X,03,2020
1,AL,12,5,JA,,2010,90640,0,0,1,0,03,2020
1,AL,12,5,NL,,2010,32560,0,0,1,0,03,2020
1,AL,15,5,,XO,1220,26432,0,1062,1,X,03,2020
1,AL,15,5,MX,,2010,121104,0,0,1,0,03,2020
1,AL,15,5,NL,,2010,144542,0,0,1,0,03,2020
1,AL,16,5,,XO,1220,143660,0,1421,1,X,03,2020
1,AL,17,1,XX,,2010,330000,877836,0,1,0,03,2020
1,AL,17,1,XX,,2010,1179140,3271280,0,1,1,03,2020
1,AL,17,5,,XO,1220,5441,0,106,1,X,03,2020
1,AL,18,5,,XO,1220,178400,0,1332,1,X,03,2020
1,AL,19,5,,XB,1220,195841,0,3840,1,X,03,2020
1,AL,19,5,,XM,1220,39954,0,3971,1,X,03,2020
1,AL,19,5,,XO,1220,25029,0,369,1,X,03,2020
1,AL,19,6,,XA,1220,31639,0,3223,1,X,03,2020
1,AL,20,5,,XC,1220,262977,0,9193,1,X,03,2020
1,AL,20,5,,XO,1220,164263,0,7863,1,X,03,2020
1,AL,21,5,,XM,1220,3471,0,407,1,X,03,2020
1,AL,21,5,,XO,1220,100757,0,1904,1,X,03,2020
1,AL,21,5,JA,,2010,25241,0,0,1,0,03,2020
1,AL,23,5,,XM,1220,25751,0,504,1,X,03,2020
1,AL,23,5,,XO,1220,443018,0,7453,1,X,03,2020
1,AL,23,5,,XS,1220,45590,0,892,1,X,03,2020
1,AL,23,6,,XA,1220,128729,0,2518,1,X,03,2020
1,AL,23,6,,XO,1220,171255,0,4868,1,X,03,2020
1,AL,23,6,,XQ,1220,89247,0,1745,1,X,03,2020
1,AL,25,5,,XO,1220,77484,0,1908,1,X,03,2020
1,AL,25,5,,XO,1220,7731,0,729,2,X,03,2020
1,AL,25,5,MX,,2010,28381,0,0,1,0,03,2020
1,AL,25,6,,XO,1220,182130,0,17188,1,X,03,2020
1,AL,26,5,,XO,1220,7098,0,947,1,X,03,2020
1,AL,26,6,NL,,2010,314165,0,0,1,0,03,2020
1,AL,27,5,,XO,1220,337414,0,28045,1,X,03,2020
1,AL,27,5,,XO,1220,4142,0,364,2,X,03,2020
1,AL,27,6,CO,,2010,1431487,0,0,1,0,03,2020
1,AL,27,6,PU,,2010,36195,0,0,1,0,03,2020
1,AL,27,6,QT,,2010,31318,0,0,1,0,03,2020
1,AL,28,1,XX,,2010,369606,555746,0,1,1,03,2020
1,AL,28,5,,XC,1220,122380,0,7126,1,X,03,2020
1,AL,28,5,,XO,1220,855196,0,33460,1,X,03,2020
1,AL,28,5,,XO,1220,8265,0,71,2,X,03,2020
1,AL,28,5,,XQ,1220,157166,0,3222,1,X,03,2020
1,AL,28,5,,XS,1220,18528,0,2771,1,X,03,2020
1,AL,28,5,CO,,2010,4724,0,0,2,0,03,2020
1,AL,28,5,DF,,2010,13663,0,0,1,0,03,2020
1,AL,28,5,MX,,2010,457463,0,0,1,0,03,2020
1,AL,28,5,NL,,2010,172039,0,0,1,0,03,2020
1,AL,28,6,,XA,1220,22125,0,314,1,X,03,2020
1,AL,28,6,NL,,2010,203415,0,0,1,0,03,2020
1,AL,29,1,XX,,2010,464192,609817,0,1,1,03,2020
1,AL,29,3,,XA,1220,3233,54,63,1,X,03,2020
1,AL,29,3,,XC,1220,2579,13,50,1,X,03,2020
1,AL,29,3,,XO,1220,6207,1194,86,1,X,03,2020
1,AL,29,3,,XQ,1220,2955,8,136,1,X,03,2020
1,AL,29,5,,XA,1220,177062,0,3215,1,X,03,2020
1,AL,29,5,,XC,1220,204414,0,5042,1,X,03,2020
1,AL,29,5,,XM,1220,94435,0,2214,1,X,03,2020
1,AL,29,5,,XO,1220,1756500,0,56045,1,X,03,2020
1,AL,29,5,,XO,1220,3840,0,75,2,X,03,2020
1,AL,29,5,,XQ,1220,3848,0,465,1,X,03,2020
1,AL,29,5,,XS,1220,45057,0,1718,1,X,03,2020
1,AL,29,5,MX,,2010,102755,0,0,1,0,03,2020
1,AL,29,5,NL,,2010,212560,0,0,1,0,03,2020
1,AL,29,5,NL,,2010,47640,0,0,2,0,03,2020
1,AL,29,6,,XA,1220,137464,0,6545,1,X,03,2020
1,AL,29,6,,XC,1220,70439,0,3354,1,X,03,2020
1,AL,29,6,,XM,1220,178050,0,8477,1,X,03,2020
1,AL,29,6,,XO,1220,763878,0,36361,1,X,03,2020
1,AL,29,6,,XQ,1220,1457679,0,48345,1,X,03,2020
