TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,3665,0,399,1,X,09,2020
1,AK,0708,5,,XO,1220,6786,0,96,1,X,09,2020
1,AK,0712,5,,XQ,1220,11712,0,443,1,X,09,2020
1,AK,20XX,3,,XA,1220,6427,61,197,1,X,09,2020
1,AK,20XX,3,,XA,1220,6986,129,7,2,X,09,2020
1,AK,20XX,3,,XC,1220,26075,884,871,1,X,09,2020
1,AK,20XX,3,,XO,1220,3636,9,75,2,X,09,2020
1,AK,20XX,3,,XQ,1220,11403,913,164,1,X,09,2020
1,AK,2303,5,MX,,2010,106351,0,0,1,0,09,2020
1,AK,2303,6,GT,,2010,29654,0,0,1,0,09,2020
1,AK,2304,5,AG,,2010,3998,0,0,1,0,09,2020
1,AK,2304,5,AG,,2010,4952,0,0,2,0,09,2020
1,AK,2304,5,CM,,2010,68323,0,0,1,0,09,2020
1,AK,2304,5,CM,,2010,133080,0,0,2,0,09,2020
1,AK,2304,5,DF,,2010,87323,0,0,1,0,09,2020
1,AK,2304,5,GT,,2010,2904,0,0,2,0,09,2020
1,AK,2304,5,NL,,2010,117412,0,0,1,0,09,2020
1,AK,2304,5,NL,,2010,96183,0,0,2,0,09,2020
1,AK,2304,5,OT,,2010,31384,0,0,1,0,09,2020
1,AK,2304,5,PU,,2010,73530,0,0,1,0,09,2020
1,AK,2304,5,SL,,2010,57067,0,0,2,0,09,2020
1,AK,2304,5,TL,,2010,9846,0,0,1,0,09,2020
1,AK,2304,5,TL,,2010,315719,0,0,2,0,09,2020
1,AK,2304,5,TM,,2010,66091,0,0,1,0,09,2020
1,AK,2305,5,DF,,2010,39732,0,0,1,0,09,2020
1,AK,2305,5,OT,,2010,20595,0,0,1,0,09,2020
1,AK,2305,5,VE,,2010,5494,0,0,1,0,09,2020
1,AK,2305,8,TM,,2010,5799,0,0,1,X,09,2020
1,AK,2506,5,BC,,2010,23779,0,0,1,0,09,2020
1,AK,2506,5,JA,,2010,10320,0,0,1,0,09,2020
