TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,,XC,1220,403080,48398,7903,1,X,08,2020
1,AK,03,3,,XO,1220,5198,609,377,1,X,08,2020
1,AK,03,5,,XC,1220,2458770,0,41204,1,X,08,2020
1,AK,03,5,,XY,1220,1911190,0,28913,1,X,08,2020
1,AK,05,5,,XY,1220,386590,0,7022,1,X,08,2020
1,AK,15,5,,XC,1220,1358191,0,21812,1,X,08,2020
1,AK,20,5,NL,,2010,15716,0,0,1,0,08,2020
1,AK,23,5,,XC,1220,94664,0,754,1,X,08,2020
1,AK,25,5,,XO,1220,6760,0,96,1,X,08,2020
1,AK,26,1,,XC,1220,39691196,26003141,75555,1,X,08,2020
1,AK,27,5,,XC,1220,3230100,0,63252,1,X,08,2020
1,AK,27,5,DF,,2010,5281,0,0,1,0,08,2020
1,AK,29,5,MX,,2010,36407,0,0,1,0,08,2020
1,AK,32,5,AG,,2010,10089,0,0,1,0,08,2020
1,AK,38,5,MX,,2010,181970,0,0,1,0,08,2020
1,AK,38,5,NL,,2010,42795,0,0,1,0,08,2020
1,AK,39,5,,XB,1220,13571,0,1511,1,X,08,2020
1,AK,39,5,BC,,2010,2796,0,0,1,0,08,2020
1,AK,39,5,GT,,2010,17586,0,0,2,0,08,2020
1,AK,39,5,JA,,2010,3440,0,0,1,0,08,2020
1,AK,39,5,NL,,2010,53996,0,0,1,0,08,2020
1,AK,39,5,SL,,2010,68330,0,0,1,0,08,2020
1,AK,40,5,BC,,2010,4240,0,0,1,0,08,2020
1,AK,42,5,TL,,2010,36618,0,0,2,0,08,2020
1,AK,44,1,,XC,1220,1381701,5137920,13680,1,X,08,2020
1,AK,44,5,,XC,1220,11091,0,217,1,X,08,2020
1,AK,47,6,MX,,2010,35705,0,0,1,0,08,2020
1,AK,48,5,BC,,2010,4950,0,0,1,0,08,2020
1,AK,48,5,NL,,2010,6580,0,0,2,0,08,2020
1,AK,56,5,BC,,2010,80048,0,0,1,0,08,2020
1,AK,58,5,BC,,2010,31525,0,0,1,0,08,2020
1,AK,59,5,TL,,2010,81833,0,0,2,0,08,2020
1,AK,61,5,JA,,2010,4150,0,0,1,0,08,2020
1,AK,63,3,,XC,1220,4538,518,75,1,X,08,2020
1,AK,63,5,,XQ,1220,17574,0,666,1,X,08,2020
1,AK,71,3,,XO,1220,1325360,23,13122,1,X,08,2020
1,AK,71,5,,XY,1220,177716,0,619,1,X,08,2020
1,AK,72,5,CO,,2010,19433,0,0,1,0,08,2020
1,AK,72,5,DF,,2010,15943,0,0,1,0,08,2020
1,AK,72,5,PU,,2010,20588,0,0,1,0,08,2020
1,AK,73,5,,XY,1220,2969,0,250,1,X,08,2020
1,AK,76,5,MX,,2010,97920,0,0,1,0,08,2020
1,AK,76,5,PU,,2010,3066,0,0,1,0,08,2020
1,AK,76,5,TM,,2010,61563,0,0,1,0,08,2020
1,AK,82,5,,XY,1220,49409,0,968,1,X,08,2020
1,AK,83,3,,XC,1220,6589,846,118,1,X,08,2020
1,AK,83,5,CM,,2010,34656,0,0,2,0,08,2020
1,AK,84,3,,XA,1220,3194,21,62,1,X,08,2020
1,AK,84,5,,XC,1220,28385,0,557,1,X,08,2020
1,AK,84,5,,XC,1220,25629,0,50,2,X,08,2020
1,AK,84,5,,XM,1220,3298,0,34,1,X,08,2020
1,AK,84,5,,XY,1220,40135,0,984,1,X,08,2020
1,AK,84,5,CM,,2010,140005,0,0,2,0,08,2020
1,AK,84,5,SL,,2010,18263,0,0,2,0,08,2020
1,AK,85,3,,XC,1220,3999,15,188,1,X,08,2020
1,AK,85,3,,XO,1220,2761,39,75,1,X,08,2020
1,AK,85,3,,XQ,1220,4054,2,79,2,X,08,2020
1,AK,85,3,XX,,2010,4535,2,0,2,0,08,2020
1,AK,85,5,,XB,1220,2538,0,1,1,X,08,2020
1,AK,85,5,,XC,1220,27865,0,546,1,X,08,2020
1,AK,85,5,,XO,1220,14754,0,288,1,X,08,2020
1,AK,85,5,CM,,2010,5429,0,0,2,0,08,2020
1,AK,85,5,JA,,2010,38924,0,0,1,0,08,2020
1,AK,85,5,MX,,2010,85646,0,0,2,0,08,2020
1,AK,85,5,NL,,2010,52151,0,0,1,0,08,2020
1,AK,85,5,NL,,2010,67587,0,0,2,0,08,2020
1,AK,85,5,PU,,2010,95689,0,0,1,0,08,2020
1,AK,85,5,PU,,2010,4632,0,0,2,0,08,2020
1,AK,85,5,QT,,2010,11312,0,0,2,0,08,2020
1,AK,87,5,,XY,1220,32056,0,623,2,X,08,2020
1,AK,87,5,NL,,2010,3097,0,0,1,0,08,2020
1,AK,87,8,TM,,2010,3775,0,0,1,X,08,2020
1,AK,88,3,,XC,1220,2922,7,90,1,X,08,2020
1,AK,88,3,,XC,1220,81431,24,1405,2,X,08,2020
1,AK,88,3,,XQ,1220,20112,32,72,1,X,08,2020
1,AK,88,3,,XQ,1220,454925,250,64,2,X,08,2020
1,AK,88,5,,XB,1220,37700,0,113,1,X,08,2020
1,AK,88,5,,XC,1220,3865,0,54,1,X,08,2020
1,AK,88,5,,XO,1220,6199,0,73,1,X,08,2020
1,AK,88,5,,XY,1220,23234,0,642,1,X,08,2020
1,AK,89,3,,XC,1220,2702,39,145,2,X,08,2020
1,AK,90,3,,XA,1220,5582,1,75,1,X,08,2020
1,AK,90,3,,XC,1220,6475,14,7,2,X,08,2020
1,AK,90,3,,XO,1220,10764,128,387,1,X,08,2020
1,AK,90,5,,XC,1220,55084,0,377,1,X,08,2020
1,AK,94,5,TL,,2010,131046,0,0,2,0,08,2020
1,AK,95,5,CM,,2010,49068,0,0,1,0,08,2020
1,AK,98,5,,XC,1220,10674,0,376,1,X,08,2020
1,AK,98,8,,XC,1220,124,0,3,1,X,08,2020
1,AL,01,3,XX,,2010,1366824,2478,0,1,0,08,2020
1,AL,01,5,,XA,1220,82009,0,748,1,X,08,2020
1,AL,02,5,,XO,1220,1189335,0,20139,1,X,08,2020
1,AL,02,5,CH,,2010,20252,0,0,1,1,08,2020
1,AL,02,5,CO,,2010,31600,0,0,1,0,08,2020
1,AL,02,5,DG,,2010,29600,0,0,1,0,08,2020
1,AL,02,5,NL,,2010,35132,0,0,1,0,08,2020
1,AL,03,5,,XO,1220,124346,0,7001,1,X,08,2020
1,AL,03,5,,XO,1220,3946,0,191,2,X,08,2020
1,AL,03,5,,XQ,1220,5484,0,84,1,X,08,2020
1,AL,03,5,NL,,2010,43051,0,0,1,0,08,2020
1,AL,04,3,XX,,2010,50700,1850,0,1,0,08,2020
1,AL,04,5,,XC,1220,401366,0,11529,1,X,08,2020
1,AL,04,5,GT,,2010,113400,0,0,1,0,08,2020
1,AL,05,5,,XO,1220,34412,0,2749,1,X,08,2020
1,AL,06,5,,XM,1220,4030,0,182,2,X,08,2020
1,AL,06,5,,XO,1220,28139,0,551,1,X,08,2020
1,AL,06,5,,XO,1220,13512,0,265,2,X,08,2020
1,AL,07,5,,XO,1220,32197,0,1241,1,X,08,2020
1,AL,08,5,,XO,1220,10164,0,75,2,X,08,2020
1,AL,09,5,,XA,1220,4749,0,400,1,X,08,2020
1,AL,10,1,XX,,2010,42000,80000,0,1,1,08,2020
1,AL,11,1,XX,,2010,48342,89684,0,2,0,08,2020
1,AL,12,5,,XO,1220,682027,0,47311,1,X,08,2020
1,AL,12,5,,XQ,1220,36237,0,3400,1,X,08,2020
1,AL,12,5,NL,,2010,16280,0,0,1,0,08,2020
1,AL,15,5,,XO,1220,40826,0,852,1,X,08,2020
