TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,20XX,3,,XA,1220,26593,460,2133,1,X,03,2020
1,AK,20XX,3,,XA,1220,41417,137,713,2,X,03,2020
1,AK,20XX,3,,XC,1220,41554,35,526,1,X,03,2020
1,AK,20XX,3,,XC,1220,7175,13,341,2,X,03,2020
1,AK,20XX,3,,XM,1220,14283,387,513,1,X,03,2020
1,AK,20XX,3,,XO,1220,2511,287,151,1,X,03,2020
1,AK,20XX,3,,XQ,1220,13651,70,488,1,X,03,2020
1,AK,2304,5,AG,,2010,4632,0,0,1,0,03,2020
1,AK,2304,5,CH,,2010,11683,0,0,1,1,03,2020
1,AK,2304,5,CM,,2010,43627,0,0,1,0,03,2020
1,AK,2304,5,CM,,2010,201911,0,0,2,0,03,2020
1,AK,2304,5,CO,,2010,91987,0,0,1,0,03,2020
1,AK,2304,5,DF,,2010,25377,0,0,1,0,03,2020
1,AK,2304,5,JA,,2010,226350,0,0,2,0,03,2020
1,AK,2304,5,MX,,2010,127015,0,0,1,0,03,2020
1,AK,2304,5,NL,,2010,289911,0,0,1,0,03,2020
1,AK,2304,5,NL,,2010,22311,0,0,2,0,03,2020
1,AK,2304,5,QT,,2010,27750,0,0,1,0,03,2020
1,AK,2304,5,SL,,2010,36841,0,0,2,0,03,2020
1,AK,2304,5,TL,,2010,7628,0,0,1,0,03,2020
1,AK,2304,5,TL,,2010,216494,0,0,2,0,03,2020
1,AK,2304,6,NL,,2010,77866,0,0,1,0,03,2020
1,AK,2304,8,TM,,2010,10050,0,0,1,X,03,2020
1,AK,2305,5,DF,,2010,3022,0,0,2,0,03,2020
1,AK,2305,5,NL,,2010,66330,0,0,2,0,03,2020
1,AK,2305,8,TM,,2010,15041,0,0,1,X,03,2020
1,AK,2506,5,BC,,2010,10592,0,0,1,0,03,2020
1,AK,3004,5,,XA,1220,70684,0,1385,2,X,03,2020
1,AK,3004,5,,XC,1220,1694864,0,28625,1,X,03,2020
1,AK,3004,5,,XC,1220,141196,0,1490,2,X,03,2020
1,AK,3009,5,,XC,1220,107366,0,6794,1,X,03,2020
1,AK,3019,5,,XC,1220,3162,0,206,1,X,03,2020
1,AK,3020,5,,XC,1220,275100,0,3928,1,X,03,2020
1,AK,3101,5,,XC,1220,48058,0,1052,1,X,03,2020
1,AK,3103,5,,XC,1220,4853316,0,237288,1,X,03,2020
1,AK,3104,5,,XY,1220,376918,0,6047,1,X,03,2020
1,AK,3104,5,,XY,1220,659049,0,7773,2,X,03,2020
1,AK,3106,5,,XC,1220,879300,0,51551,1,X,03,2020
1,AK,3126,5,,XY,1220,163671,0,2503,1,X,03,2020
1,AK,31XX,3,,XC,1220,104273,173,8771,1,X,03,2020
1,AK,31XX,3,,XO,1220,9654,50,189,2,X,03,2020
1,AK,3403,5,,XS,1220,57096,0,6446,1,X,03,2020
1,AK,3801,5,,XO,1220,78788,0,1355,1,X,03,2020
1,AK,3802,5,,XO,1220,15526,0,354,1,X,03,2020
1,AK,3802,5,,XO,1220,48169,0,71,2,X,03,2020
1,AK,38XX,1,,XB,1220,301600,74027,4134,1,X,03,2020
1,AK,4101,3,,XC,1220,43611,204,716,1,X,03,2020
1,AK,4101,3,,XQ,1220,3921,16,201,1,X,03,2020
1,AK,4101,3,,XQ,1220,63670,364,143,2,X,03,2020
1,AK,4102,3,,XO,1220,8799,83,175,1,X,03,2020
1,AK,70XX,5,,XC,1220,9877,0,346,1,X,03,2020
1,AK,70XX,8,,XA,1220,7763,0,385,1,X,03,2020
1,AK,70XX,8,,XC,1220,1856,0,143,1,X,03,2020
1,AK,70XX,8,,XO,1220,3962,0,274,1,X,03,2020
1,AK,70XX,8,,XQ,1220,2096,0,107,2,X,03,2020
1,AL,0106,5,,XB,1220,750314,0,19026,1,X,03,2020
1,AL,0115,5,,XB,1220,151883,0,4892,1,X,03,2020
1,AL,0115,5,,XB,1220,3055,0,103,2,X,03,2020
1,AL,0209,5,,XQ,1220,27686,0,1738,1,X,03,2020
1,AL,0209,5,,XQ,1220,89380,0,358,2,X,03,2020
1,AL,0701,5,,XO,1220,651741,0,8743,1,X,03,2020
1,AL,0701,5,,XO,1220,13189,0,215,2,X,03,2020
1,AL,0704,5,,XO,1220,33209,0,651,1,X,03,2020
