TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,1012,3,,XO,1220,32529,172,635,1,X,05,2020
1,AK,2006,3,,XM,1220,20151,44,7,1,X,05,2020
1,AK,20XX,3,,XA,1220,19925,102,229,1,X,05,2020
1,AK,20XX,3,,XC,1220,40526,395,1096,1,X,05,2020
1,AK,20XX,3,,XC,1220,165114,676,2379,2,X,05,2020
1,AK,20XX,3,,XM,1220,8518,596,210,1,X,05,2020
1,AK,20XX,3,,XM,1220,7487,14,816,2,X,05,2020
1,AK,20XX,3,,XO,1220,4966,250,102,1,X,05,2020
1,AK,2304,5,AG,,2010,3909,0,0,1,0,05,2020
1,AK,2304,5,BC,,2010,94650,0,0,2,0,05,2020
1,AK,2304,5,CM,,2010,19563,0,0,1,0,05,2020
1,AK,2304,5,CM,,2010,92312,0,0,2,0,05,2020
1,AK,2304,5,DF,,2010,38720,0,0,2,0,05,2020
1,AK,2304,5,JA,,2010,5700,0,0,2,0,05,2020
1,AK,2304,5,MI,,2010,18056,0,0,2,0,05,2020
1,AK,2304,5,MX,,2010,206955,0,0,1,0,05,2020
1,AK,2304,5,NL,,2010,346407,0,0,1,0,05,2020
1,AK,2304,5,NL,,2010,347728,0,0,2,0,05,2020
1,AK,2304,5,SL,,2010,23522,0,0,1,0,05,2020
1,AK,2304,5,SL,,2010,15539,0,0,2,0,05,2020
1,AK,2304,5,TL,,2010,6881,0,0,2,0,05,2020
1,AK,2304,6,MX,,2010,21830,0,0,1,0,05,2020
1,AK,2304,8,TM,,2010,13930,0,0,1,X,05,2020
1,AK,2305,5,DF,,2010,102713,0,0,1,0,05,2020
1,AK,2305,5,MX,,2010,9346,0,0,1,0,05,2020
1,AK,2507,5,SO,,2010,8858,0,0,1,0,05,2020
1,AK,3004,5,,XC,1220,702465,0,10247,1,X,05,2020
1,AK,3004,5,,XC,1220,7168,0,40,2,X,05,2020
1,AK,3009,5,,XC,1220,161211,0,2025,1,X,05,2020
1,AK,30XX,3,,XC,1220,45897,86,357,1,X,05,2020
1,AK,3101,5,,XC,1220,91984,0,2014,1,X,05,2020
1,AK,3103,5,,XC,1220,1736377,0,163147,1,X,05,2020
1,AK,3104,5,,XW,1220,122110,0,0,1,X,05,2020
1,AK,3104,5,,XW,1220,105204,0,0,2,X,05,2020
1,AK,3104,5,,XY,1220,810379,0,3368,1,X,05,2020
1,AK,3104,5,,XY,1220,13300,0,318,2,X,05,2020
1,AK,3106,5,,XC,1220,177033,0,17197,1,X,05,2020
1,AK,3126,5,,XY,1220,1302549,0,17849,1,X,05,2020
1,AK,31XX,1,,XB,1220,208583,49395,2859,1,X,05,2020
1,AK,31XX,3,,XC,1220,767356,988,68669,1,X,05,2020
1,AK,31XX,3,XX,,2010,3051,5,0,2,0,05,2020
1,AK,3310,5,,XA,1220,18863,0,633,1,X,05,2020
1,AK,34XX,3,,XM,1220,2994,342,70,1,X,05,2020
1,AK,3501,3,,XA,1220,13351,42,261,1,X,05,2020
1,AK,35XX,3,,XA,1220,2507,3,106,1,X,05,2020
1,AK,3802,5,,XO,1220,86445,0,1820,1,X,05,2020
1,AK,38XX,1,,XB,1220,214604,49261,2942,1,X,05,2020
1,AK,4101,3,,XC,1220,4658,183,421,1,X,05,2020
1,AK,4101,3,,XO,1220,26586,85,512,1,X,05,2020
1,AK,4101,3,,XO,1220,16422,54,322,2,X,05,2020
1,AK,70XX,8,,XA,1220,10730,0,333,1,X,05,2020
1,AK,70XX,8,,XA,1220,1522,0,40,2,X,05,2020
1,AK,70XX,8,,XC,1220,4196,0,218,1,X,05,2020
1,AK,70XX,8,,XC,1220,306,0,5,2,X,05,2020
1,AK,70XX,8,,XM,1220,10717,0,375,1,X,05,2020
1,AK,70XX,8,,XO,1220,12702,0,790,1,X,05,2020
1,AL,0106,5,,XB,1220,179417,0,4827,1,X,05,2020
1,AL,0106,5,,XB,1220,155061,0,2079,2,X,05,2020
1,AL,0115,5,,XB,1220,108369,0,5131,1,X,05,2020
1,AL,0115,5,,XO,1220,9219,0,181,1,X,05,2020
