TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,,XB,1220,206132,49307,3401,1,X,09,2020
1,AK,03,5,,XC,1220,1323791,0,24059,1,X,09,2020
1,AK,03,5,,XY,1220,1504342,0,20616,1,X,09,2020
1,AK,05,5,,XO,1220,41298,0,250,1,X,09,2020
1,AK,07,5,BC,,2010,4536,0,0,1,0,09,2020
1,AK,15,5,,XC,1220,208735,0,7996,1,X,09,2020
1,AK,19,5,,XC,1220,2691,0,107,1,X,09,2020
1,AK,23,5,,XC,1220,45980,0,151,1,X,09,2020
1,AK,23,6,GT,,2010,29654,0,0,1,0,09,2020
1,AK,25,5,,XO,1220,20295,0,287,1,X,09,2020
1,AK,26,1,,XC,1220,122566158,66266301,226753,1,X,09,2020
1,AK,27,5,,XC,1220,3371017,0,66029,1,X,09,2020
1,AK,27,5,,XS,1220,28025,0,549,1,X,09,2020
1,AK,28,5,OT,,2010,31384,0,0,1,0,09,2020
1,AK,29,5,,XO,1220,21687,0,2625,1,X,09,2020
1,AK,29,5,DF,,2010,39732,0,0,1,0,09,2020
1,AK,38,5,,XS,1220,5950,0,103,1,X,09,2020
1,AK,39,3,,XC,1220,6254,1032,702,1,X,09,2020
1,AK,39,3,,XQ,1220,6500,904,127,1,X,09,2020
1,AK,39,5,,XS,1220,3135,0,74,1,X,09,2020
1,AK,39,5,AG,,2010,4952,0,0,2,0,09,2020
1,AK,39,5,BC,,2010,23779,0,0,1,0,09,2020
1,AK,40,5,,XQ,1220,3181,0,75,1,X,09,2020
1,AK,40,5,,XY,1220,3290,0,86,2,X,09,2020
1,AK,42,5,TL,,2010,37812,0,0,2,0,09,2020
1,AK,44,1,,XC,1220,1498304,5550795,14834,1,X,09,2020
1,AK,44,5,,XC,1220,4166,0,41,1,X,09,2020
1,AK,44,5,SO,,2010,6317,0,0,1,0,09,2020
1,AK,44,6,,XO,1220,44749,0,5659,1,X,09,2020
1,AK,52,5,,XC,1220,3707,0,64,2,X,09,2020
1,AK,55,5,PU,,2010,63255,0,0,1,0,09,2020
1,AK,59,5,AG,,2010,3998,0,0,1,0,09,2020
1,AK,59,5,DF,,2010,8573,0,0,1,0,09,2020
1,AK,59,5,TL,,2010,59965,0,0,2,0,09,2020
1,AK,61,5,JA,,2010,10320,0,0,1,0,09,2020
1,AK,62,3,,XC,1220,2664,50,52,1,X,09,2020
1,AK,63,3,,XA,1220,2951,59,61,1,X,09,2020
1,AK,63,3,,XC,1220,9447,824,259,1,X,09,2020
1,AK,63,5,,XQ,1220,11712,0,443,1,X,09,2020
1,AK,63,5,NL,,2010,5947,0,0,2,0,09,2020
1,AK,72,5,MX,,2010,29281,0,0,1,0,09,2020
1,AK,72,5,NL,,2010,30845,0,0,1,0,09,2020
1,AK,73,5,NL,,2010,7135,0,0,2,0,09,2020
