TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,07XX,3,,XO,1220,13504,47,401,1,X,04,2021
1,AK,18XX,1,XX,,2010,6668,425,0,1,1,04,2021
1,AK,20XX,3,,XA,1220,5108,584,80,1,X,04,2021
1,AK,20XX,3,,XC,1220,24397,800,1002,1,X,04,2021
1,AK,20XX,3,,XC,1220,18429,101,80,2,X,04,2021
1,AK,20XX,3,,XM,1220,7159,379,125,1,X,04,2021
1,AK,20XX,3,,XM,1220,8248,536,245,2,X,04,2021
1,AK,20XX,3,,XO,1220,52645,1728,971,1,X,04,2021
1,AK,20XX,3,,XQ,1220,15455,47,239,1,X,04,2021
1,AK,2303,5,CO,,2010,21700,0,0,2,0,04,2021
1,AK,2304,5,CM,,2010,128024,0,0,2,0,04,2021
1,AK,2304,5,DF,,2010,34275,0,0,2,0,04,2021
1,AK,2304,5,GT,,2010,42277,0,0,1,0,04,2021
1,AK,2304,5,JA,,2010,26523,0,0,1,0,04,2021
1,AK,2304,5,JA,,2010,2717,0,0,2,0,04,2021
1,AK,2304,5,MX,,2010,223837,0,0,1,0,04,2021
1,AK,2304,5,MX,,2010,5282,0,0,2,0,04,2021
1,AK,2304,5,NL,,2010,113097,0,0,1,0,04,2021
1,AK,2304,5,NL,,2010,10953,0,0,2,0,04,2021
1,AK,2304,5,PU,,2010,109140,0,0,1,0,04,2021
1,AK,2304,5,QT,,2010,18605,0,0,2,0,04,2021
1,AK,2304,5,SL,,2010,4180,0,0,1,0,04,2021
1,AK,2304,5,SL,,2010,87653,0,0,2,0,04,2021
1,AK,2304,5,TL,,2010,57314,0,0,2,0,04,2021
1,AK,2304,5,TM,,2010,5591,0,0,1,0,04,2021
1,AK,2304,8,NL,,2010,12722,0,0,1,X,04,2021
1,AK,2305,5,JA,,2010,5751,0,0,1,0,04,2021
1,AK,2305,5,MX,,2010,4979,0,0,1,0,04,2021
1,AK,2305,5,NL,,2010,3114,0,0,2,0,04,2021
1,AK,2305,5,TB,,2010,9294,0,0,1,0,04,2021
1,AK,2305,5,TB,,2010,20417,0,0,2,0,04,2021
1,AK,2305,5,TM,,2010,5145,0,0,2,0,04,2021
1,AK,2404,8,CH,,2010,5750,0,0,1,X,04,2021
1,AK,2506,5,BC,,2010,146708,0,0,1,0,04,2021
1,AK,2506,5,BC,,2010,174532,0,0,2,0,04,2021
1,AK,2507,5,SO,,2010,4160,0,0,2,0,04,2021
1,AK,2604,5,SO,,2010,161780,0,0,1,0,04,2021
1,AK,2604,5,SO,,2010,2545,0,0,2,0,04,2021
1,AK,3004,5,,XC,1220,603281,0,9443,1,X,04,2021
1,AK,3004,5,,XC,1220,50344,0,317,2,X,04,2021
1,AK,3009,5,,XC,1220,16738,0,328,1,X,04,2021
1,AK,30XX,3,,XC,1220,14926,566,604,1,X,04,2021
1,AK,3101,5,,XC,1220,45976,0,1007,1,X,04,2021
1,AK,3103,5,,XC,1220,4022719,0,78823,1,X,04,2021
1,AK,3104,5,,XW,1220,36580,0,0,1,X,04,2021
1,AK,3104,5,,XY,1220,386972,0,7988,1,X,04,2021
