TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,TM,,2010,5591,0,0,1,0,04,2021
1,AK,03,5,,XC,1220,598244,0,9275,1,X,04,2021
1,AK,03,5,,XY,1220,804057,0,11021,1,X,04,2021
1,AK,04,5,BC,,2010,80546,0,0,1,0,04,2021
1,AK,05,5,,XO,1220,39073,0,236,1,X,04,2021
1,AK,17,5,,XC,1220,3962,0,77,2,X,04,2021
1,AK,19,5,,XC,1220,2764,0,54,1,X,04,2021
1,AK,27,5,,XC,1220,4774263,0,93541,1,X,04,2021
1,AK,27,5,,XY,1220,19057,0,373,1,X,04,2021
1,AK,34,5,MX,,2010,11674,0,0,1,0,04,2021
1,AK,38,5,JA,,2010,13356,0,0,1,0,04,2021
1,AK,38,5,MX,,2010,4979,0,0,1,0,04,2021
1,AK,39,5,,XC,1220,4399,0,209,1,X,04,2021
1,AK,39,5,BC,,2010,15544,0,0,1,0,04,2021
1,AK,39,5,BC,,2010,12650,0,0,2,0,04,2021
1,AK,39,5,NL,,2010,3114,0,0,2,0,04,2021
1,AK,39,5,SO,,2010,4160,0,0,2,0,04,2021
1,AK,47,5,NL,,2010,5768,0,0,1,0,04,2021
1,AK,48,5,BC,,2010,20590,0,0,1,0,04,2021
1,AK,48,8,NL,,2010,12722,0,0,1,X,04,2021
1,AK,49,5,BC,,2010,30028,0,0,1,0,04,2021
1,AK,56,5,GT,,2010,15383,0,0,1,0,04,2021
1,AK,57,3,,XY,1220,4025,45,24,1,X,04,2021
1,AK,59,5,TL,,2010,57314,0,0,2,0,04,2021
1,AK,63,3,,XA,1220,5108,584,80,1,X,04,2021
1,AK,63,3,,XC,1220,10489,1198,198,1,X,04,2021
1,AK,63,3,,XM,1220,12934,1478,268,1,X,04,2021
1,AK,63,3,,XO,1220,17839,1648,715,1,X,04,2021
1,AK,70,1,XX,,2010,3018,198,0,1,1,04,2021
1,AK,70,5,,XC,1220,20224,0,396,1,X,04,2021
1,AK,72,5,GT,,2010,26894,0,0,1,0,04,2021
1,AK,73,1,XX,,2010,3650,227,0,1,1,04,2021
1,AK,74,5,JA,,2010,5751,0,0,1,0,04,2021
1,AK,76,5,NL,,2010,91130,0,0,1,0,04,2021
1,AK,84,3,,XC,1220,5811,2,528,1,X,04,2021
1,AK,84,3,,XO,1220,34442,71,441,1,X,04,2021
1,AK,84,5,,XA,1220,13587,0,160,1,X,04,2021
1,AK,84,5,,XC,1220,40691,0,883,1,X,04,2021
1,AK,84,5,,XC,1220,46382,0,240,2,X,04,2021
1,AK,84,5,,XO,1220,20381,0,404,1,X,04,2021
1,AK,84,5,,XW,1220,36580,0,0,1,X,04,2021
1,AK,84,5,,XY,1220,347205,0,6999,1,X,04,2021
1,AK,84,5,,XY,1220,3737,0,237,2,X,04,2021
1,AK,84,5,CM,,2010,128024,0,0,2,0,04,2021
1,AK,84,5,DF,,2010,34275,0,0,2,0,04,2021
1,AK,84,5,MX,,2010,196215,0,0,1,0,04,2021
1,AK,84,5,NL,,2010,3895,0,0,1,0,04,2021
1,AK,84,5,PU,,2010,109140,0,0,1,0,04,2021
1,AK,84,5,SL,,2010,4180,0,0,1,0,04,2021
1,AK,84,5,SL,,2010,85053,0,0,2,0,04,2021
1,AK,84,5,TB,,2010,4414,0,0,1,0,04,2021
1,AK,85,3,,XQ,1220,5062,17,60,1,X,04,2021
1,AK,85,5,,XA,1220,16841,0,312,1,X,04,2021
1,AK,85,5,,XC,1220,7627,0,149,1,X,04,2021
1,AK,85,5,,XM,1220,8898,0,724,1,X,04,2021
1,AK,85,5,BC,,2010,161882,0,0,2,0,04,2021
1,AK,85,5,CO,,2010,21700,0,0,2,0,04,2021
1,AK,85,5,JA,,2010,13167,0,0,1,0,04,2021
1,AK,85,5,JA,,2010,2717,0,0,2,0,04,2021
1,AK,85,5,MX,,2010,15948,0,0,1,0,04,2021
