TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0102,5,,XY,1220,15135,0,92,1,X,08,2021
1,AK,0106,5,,XB,1220,761533,0,16680,1,X,08,2021
1,AK,0712,5,,XQ,1220,145561,0,1441,2,X,08,2021
1,AK,19XX,1,,XB,1220,6616561,3337136,144961,1,X,08,2021
1,AK,20XX,3,,XA,1220,85906,1440,4129,1,X,08,2021
1,AK,20XX,3,,XC,1220,92559,1292,2633,1,X,08,2021
1,AK,20XX,3,,XM,1220,17806,352,101,1,X,08,2021
1,AK,20XX,3,,XO,1220,13472,975,398,1,X,08,2021
1,AK,20XX,3,,XQ,1220,3152,196,247,1,X,08,2021
1,AK,20XX,3,,XQ,1220,6994,21,161,2,X,08,2021
1,AK,2303,5,CO,,2010,33303,0,0,1,0,08,2021
1,AK,2304,5,HG,,2010,3069,0,0,1,0,08,2021
1,AK,2304,5,JA,,2010,10600,0,0,1,0,08,2021
1,AK,2304,5,MX,,2010,58993,0,0,1,0,08,2021
1,AK,2304,5,MX,,2010,17421,0,0,2,0,08,2021
1,AK,2304,5,NL,,2010,437175,0,0,1,0,08,2021
1,AK,2304,5,NL,,2010,1099381,0,0,2,0,08,2021
1,AK,2304,5,QT,,2010,43790,0,0,2,0,08,2021
1,AK,2304,5,SL,,2010,49882,0,0,1,0,08,2021
1,AK,2304,5,TL,,2010,128358,0,0,2,0,08,2021
1,AK,2304,5,ZA,,2010,21735,0,0,1,0,08,2021
1,AK,2304,6,QT,,2010,34513,0,0,1,0,08,2021
1,AK,2305,5,CH,,2010,6718,0,0,1,0,08,2021
1,AK,2305,5,CO,,2010,9484,0,0,2,0,08,2021
1,AK,2305,5,MX,,2010,25380,0,0,1,0,08,2021
1,AK,2305,5,NL,,2010,60651,0,0,1,0,08,2021
1,AK,2305,5,SI,,2010,162000,0,0,2,0,08,2021
1,AK,2305,5,TB,,2010,3050,0,0,1,0,08,2021
1,AK,2305,5,VE,,2010,5082,0,0,1,0,08,2021
