TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,AK,0102,5,,XY,1220,1,X,2021,15135,0,92
1,AK,0106,5,,XB,1220,1,X,2021,761533,0,16680
1,AK,0106,5,,XY,1220,1,X,2021,62562,0,759
1,AK,0106,8,,XB,1220,1,X,2021,2140647,0,46899
1,AK,0115,5,,XB,1220,1,X,2021,18742,0,1387
1,AK,0115,5,,XB,1220,2,X,2021,14719,0,501
1,AK,01XX,1,,XB,1220,1,X,2021,115611,24698,3515
1,AK,0704,5,,XO,1220,1,X,2021,5993,0,130
1,AK,0708,5,,XO,1220,1,X,2021,102478,0,777
1,AK,0712,5,,XQ,1220,2,X,2021,306038,0,3029
1,AK,07XX,3,,XO,1220,1,X,2021,38164,65,3189
1,AK,07XX,3,,XQ,1220,1,X,2021,9579,2197,207
1,AK,0901,5,,XO,1220,1,X,2021,31048,0,602
1,AK,09XX,3,,XO,1220,2,X,2021,2572,111,79
1,AK,11XX,3,XX,,2010,2,0,2021,2851,7,0
1,AK,1704,3,,XC,1220,1,X,2021,9711,4,0
1,AK,18XX,1,XX,,2010,1,1,2021,100178,50609,0
1,AK,19XX,1,,XB,1220,1,X,2021,6616561,3337136,144961
1,AK,19XX,1,XX,,2010,1,0,2021,204839,227110,0
1,AK,20XX,1,,XB,1220,1,X,2021,20605818,7776129,461333
1,AK,20XX,3,,XA,1220,1,X,2021,318539,8383,8489
1,AK,20XX,3,,XA,1220,2,X,2021,173647,594,1999
1,AK,20XX,3,,XC,1220,1,X,2021,416896,7840,16379
1,AK,20XX,3,,XC,1220,2,X,2021,225241,332,555
1,AK,20XX,3,,XM,1220,1,X,2021,119975,6734,1763
1,AK,20XX,3,,XM,1220,2,X,2021,16184,809,323
1,AK,20XX,3,,XO,1220,1,X,2021,335215,10884,7935
1,AK,20XX,3,,XO,1220,2,X,2021,37175,41,454
1,AK,20XX,3,,XQ,1220,1,X,2021,128529,4247,2982
1,AK,20XX,3,,XQ,1220,2,X,2021,127741,211,744
1,AK,20XX,8,,XC,1220,1,X,2021,20148,0,78
1,AK,20XX,8,,XC,1220,2,X,2021,15210054,0,911
1,AK,2301,5,CM,,2010,1,0,2021,22709,0,0
1,AK,2301,5,CM,,2010,2,0,2021,8976,0,0
1,AK,2301,5,DF,,2010,1,0,2021,25499,0,0
1,AK,2301,5,NL,,2010,1,0,2021,23046,0,0
1,AK,2301,5,OT,,2010,1,0,2021,15046,0,0
1,AK,2303,5,CO,,2010,1,0,2021,167356,0,0
1,AK,2303,5,CO,,2010,2,0,2021,21700,0,0
1,AK,2303,6,MX,,2010,1,0,2021,281592,0,0
