TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,NL,,2010,29183,0,0,1,0,12,2021
1,AK,03,1,,XB,1220,449150,101892,8196,1,X,12,2021
1,AK,03,1,XX,,2010,71950,25946,0,1,1,12,2021
1,AK,03,3,,XB,1220,495569,149332,10854,1,X,12,2021
1,AK,03,5,,XC,1220,1346195,0,20430,1,X,12,2021
1,AK,03,5,,XO,1220,478324,0,14879,1,X,12,2021
1,AK,05,3,,XB,1220,77953,34020,2657,1,X,12,2021
1,AK,05,5,,XC,1220,67239,0,1316,1,X,12,2021
1,AK,08,5,CO,,2010,107964,0,0,2,0,12,2021
1,AK,08,5,JA,,2010,28347,0,0,1,0,12,2021
1,AK,15,5,,XC,1220,172857,0,10153,1,X,12,2021
1,AK,16,5,,XC,1220,1465544,0,40823,1,X,12,2021
1,AK,23,5,,XC,1220,116686,0,780,1,X,12,2021
1,AK,26,5,,XC,1220,127209,0,386,1,X,12,2021
1,AK,27,5,,XC,1220,7154002,0,137008,1,X,12,2021
1,AK,27,5,,XY,1220,45395,0,889,1,X,12,2021
1,AK,27,5,NL,,2010,36258,0,0,1,0,12,2021
1,AK,28,5,CH,,2010,40469,0,0,1,0,12,2021
1,AK,28,5,MX,,2010,12761,0,0,1,0,12,2021
1,AK,33,5,NL,,2010,87084,0,0,1,0,12,2021
1,AK,39,5,MX,,2010,3278,0,0,1,0,12,2021
1,AK,39,5,QR,,2010,47436,0,0,1,0,12,2021
1,AK,42,5,,XC,1220,2647,0,51,1,X,12,2021
1,AK,44,1,,XC,1220,245326,2758626,2428,1,X,12,2021
1,AK,44,6,NL,,2010,184499,0,0,1,0,12,2021
1,AK,48,5,CM,,2010,87328,0,0,1,0,12,2021
1,AK,56,5,JA,,2010,8343,0,0,1,0,12,2021
1,AK,56,5,JA,,2010,8222,0,0,2,0,12,2021
1,AK,56,5,NL,,2010,7950,0,0,1,0,12,2021
1,AK,62,3,,XC,1220,9901,51,98,2,X,12,2021
1,AK,63,3,,XC,1220,5701,446,135,1,X,12,2021
1,AK,63,5,,XA,1220,3899,0,79,1,X,12,2021
1,AK,63,5,,XO,1220,30883,0,3241,1,X,12,2021
1,AK,70,5,,XC,1220,10166,0,242,2,X,12,2021
1,AK,71,3,,XC,1220,3852,2,87,1,X,12,2021
1,AK,72,5,,XO,1220,90615,0,1775,1,X,12,2021
1,AK,73,3,,XA,1220,20892,697,847,1,X,12,2021
1,AK,73,5,CO,,2010,51954,0,0,1,0,12,2021
1,AK,73,5,NL,,2010,5498,0,0,1,0,12,2021
1,AK,79,5,MX,,2010,15508,0,0,2,0,12,2021
1,AK,82,5,,XY,1220,5594,0,117,1,X,12,2021
1,AK,84,3,,XA,1220,4269,24,421,1,X,12,2021
1,AK,84,3,,XC,1220,14348,21660,795,1,X,12,2021
1,AK,84,3,,XQ,1220,36629,35,66,2,X,12,2021
1,AK,84,3,XX,,2010,2851,7,0,2,0,12,2021
1,AK,84,5,,XA,1220,2931,0,3,1,X,12,2021
1,AK,84,5,,XY,1220,329766,0,6944,1,X,12,2021
1,AK,84,5,,XY,1220,292155,0,312,2,X,12,2021
1,AK,84,5,HG,,2010,2518,0,0,1,0,12,2021
1,AK,84,5,MX,,2010,19840,0,0,1,0,12,2021
1,AK,84,5,MX,,2010,132295,0,0,2,0,12,2021
1,AK,84,5,NL,,2010,3900,0,0,1,0,12,2021
1,AK,84,5,TB,,2010,120000,0,0,2,0,12,2021
1,AK,85,3,,XC,1220,21135,4757,1093,1,X,12,2021
1,AK,85,3,XX,,2010,68000,385,0,1,0,12,2021
1,AK,85,5,,XA,1220,6743,0,132,1,X,12,2021
1,AK,85,5,,XA,1220,36968,0,2184,2,X,12,2021
1,AK,85,5,,XM,1220,10362,0,209,1,X,12,2021
1,AK,85,5,,XY,1220,948159,0,312,1,X,12,2021
1,AK,85,5,MX,,2010,9725,0,0,2,0,12,2021
1,AK,85,5,NL,,2010,1454768,0,0,1,0,12,2021
1,AK,87,5,,XO,1220,14381,0,282,1,X,12,2021
1,AK,87,5,TM,,2010,14956,0,0,1,0,12,2021
1,AK,87,8,JA,,2010,3365,0,0,1,X,12,2021
1,AK,88,3,,XA,1220,5267,21,78,1,X,12,2021
1,AK,88,3,,XC,1220,158576,147,8640,1,X,12,2021
1,AK,88,3,,XM,1220,10350,25,263,1,X,12,2021
1,AK,88,3,,XO,1220,2745,1,78,1,X,12,2021
1,AK,88,5,,XA,1220,6299,0,74,1,X,12,2021
1,AK,88,5,,XM,1220,3267,0,14,1,X,12,2021
1,AK,88,5,,XO,1220,24133,0,427,1,X,12,2021
1,AK,88,5,,XY,1220,119508,0,1760,1,X,12,2021
1,AK,88,8,,XA,1220,16087,0,15,1,X,12,2021
1,AK,90,3,,XA,1220,3086,40,60,2,X,12,2021
1,AK,90,3,,XQ,1220,110839,68038,1406,1,X,12,2021
1,AK,90,3,XX,,2010,90270,210,0,1,0,12,2021
1,AK,90,5,,XC,1220,7135,0,182,2,X,12,2021
1,AK,90,5,,XY,1220,63039,0,858,1,X,12,2021
1,AK,90,5,MX,,2010,120003,0,0,2,0,12,2021
1,AK,98,3,,XO,1220,3346,36,65,2,X,12,2021
1,AK,98,3,,XQ,1220,3538,2,156,2,X,12,2021
1,AK,98,5,,XC,1220,9942,0,350,1,X,12,2021
1,AK,98,8,,XC,1220,23834,0,333,1,X,12,2021
1,AK,98,8,,XQ,1220,2384,0,250,1,X,12,2021
1,AL,01,3,XX,,2010,2737146,4457,0,1,0,12,2021
1,AL,01,5,,XC,1220,22452,0,573,1,X,12,2021
1,AL,01,5,,XO,1220,92333,0,1356,1,X,12,2021
1,AL,01,5,TM,,2010,3000,0,0,1,0,12,2021
1,AL,02,5,,XC,1220,17409,0,341,1,X,12,2021
1,AL,02,5,,XO,1220,635429,0,14728,1,X,12,2021
1,AL,02,5,GT,,2010,22399,0,0,1,0,12,2021
1,AL,02,5,NL,,2010,15655,0,0,1,1,12,2021
1,AL,02,5,YU,,2010,20520,0,0,1,0,12,2021
1,AL,03,5,,XO,1220,34621,0,730,1,X,12,2021
1,AL,03,5,,XQ,1220,5428,0,73,1,X,12,2021
1,AL,04,5,,XC,1220,522335,0,7380,1,X,12,2021
1,AL,04,5,QT,,2010,112950,0,0,1,0,12,2021
1,AL,05,5,,XO,1220,41593,0,2454,1,X,12,2021
1,AL,08,5,JA,,2010,4309,0,0,2,0,12,2021
1,AL,09,5,,XA,1220,5097,0,429,1,X,12,2021
1,AL,09,5,,XO,1220,13440,0,263,1,X,12,2021
1,AL,09,5,MX,,2010,92874,0,0,1,0,12,2021
1,AL,10,5,,XO,1220,78438,0,776,1,X,12,2021
1,AL,12,5,,XO,1220,382586,0,20060,1,X,12,2021
1,AL,12,5,,XQ,1220,25500,0,3515,1,X,12,2021
1,AL,12,5,JA,,2010,250360,0,0,1,0,12,2021
1,AL,12,5,MX,,2010,456676,0,0,1,0,12,2021
