TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0101,08,5,1220,2,X,2021,7604,0,170
1,0101,09,5,1220,1,X,2021,40320,0,790
1,0101,09,5,1220,2,X,2021,4401,0,86
1,0101,15,5,1220,1,X,2021,6223,0,121
1,0101,15,5,1220,2,X,2021,21057,0,319
1,0101,16,5,1220,1,X,2021,279115,0,4799
1,0101,17,5,1220,1,X,2021,21988,0,431
1,0101,18,5,1220,1,X,2021,41150,0,441
1,0101,19,5,1220,1,X,2021,394233,0,7185
1,0101,19,5,1220,2,X,2021,70628,0,934
1,0101,20,5,1220,1,X,2021,294147,0,5654
1,0101,20,5,1220,2,X,2021,145027,0,2815
1,0101,21,5,1220,1,X,2021,124750,0,2168
1,0101,22,5,1220,1,X,2021,24421,0,478
1,0101,23,5,1220,1,X,2021,9495,0,0
1,0101,25,5,1220,1,X,2021,25553,0,532
1,0101,25,5,1220,2,X,2021,16836,0,344
1,0101,25,6,1220,1,X,2021,108871,0,1778
1,0101,27,5,1220,1,X,2021,5976,0,0
1,0101,27,5,1220,2,X,2021,65037,0,823
1,0101,28,5,1220,1,X,2021,24232,0,287
1,0101,28,5,1220,2,X,2021,10604,0,192
1,0101,29,5,1220,1,X,2021,205314,0,3862
1,0101,29,5,1220,2,X,2021,423895,0,8304
1,0101,29,6,1220,1,X,2021,362728,0,7111
1,0101,30,5,1220,1,X,2021,47991,0,942
1,0101,30,5,1220,2,X,2021,126315,0,2406
1,0101,32,5,1220,1,X,2021,33580,0,651
1,0101,32,5,1220,2,X,2021,263689,0,5168
1,0101,33,5,1220,1,X,2021,153808,0,2896
1,0101,33,5,1220,2,X,2021,3519,0,39
1,0101,34,5,1220,1,X,2021,35977,0,737
1,0101,34,5,1220,2,X,2021,65737,0,1343
1,0101,35,5,1220,1,X,2021,49062,0,1133
1,0101,35,5,1220,2,X,2021,3326,0,65
1,0101,38,5,1220,1,X,2021,48812,0,819
1,0101,38,5,1220,2,X,2021,59702,0,910
1,0101,38,6,1220,1,X,2021,15480,0,0
1,0101,39,5,1220,1,X,2021,5748217,0,103387
1,0101,39,5,1220,2,X,2021,1112824,0,18675
1,0101,39,6,1220,1,X,2021,6176301,0,106130
1,0101,39,6,1220,2,X,2021,3087,0,78
1,0101,40,5,1220,1,X,2021,840470,0,16463
1,0101,42,5,1220,1,X,2021,50978,0,271
1,0101,42,5,1220,2,X,2021,12986,0,77
1,0101,44,5,1220,1,X,2021,8704,0,253
1,0101,44,6,1220,1,X,2021,82456,0,816
1,0101,47,5,1220,1,X,2021,14507,0,1189
1,0101,48,5,1220,1,X,2021,584144,0,10669
1,0101,48,5,1220,2,X,2021,10359,0,351
1,0101,49,5,1220,1,X,2021,13471,0,270
1,0101,54,5,1220,1,X,2021,26502,0,519
1,0101,55,5,1220,1,X,2021,10198,0,200
1,0101,55,5,1220,2,X,2021,7241,0,142
1,0101,56,5,1220,1,X,2021,18703,0,91
1,0101,57,5,1220,2,X,2021,53555,0,927
1,0101,59,5,1220,1,X,2021,74536,0,1461
1,0101,59,5,1220,2,X,2021,171077,0,3354
1,0101,60,5,1220,2,X,2021,11733,0,230
1,0101,61,5,1220,2,X,2021,67257,0,1304
1,0101,62,5,1220,2,X,2021,41262,0,823
1,0101,63,5,1220,1,X,2021,206136,0,2461
1,0101,63,5,1220,2,X,2021,84472,0,889
1,0101,64,5,1220,2,X,2021,327771,0,0
1,0101,66,5,1220,2,X,2021,2846,0,146
1,0101,68,5,1220,1,X,2021,94851,0,1796
1,0101,69,5,1220,1,X,2021,11807,0,236
1,0101,69,5,1220,2,X,2021,5576,0,109
1,0101,70,5,1220,1,X,2021,535430,0,10177
1,0101,70,5,1220,2,X,2021,13702,0,128
1,0101,72,5,1220,1,X,2021,3665685,0,63475
1,0101,72,5,1220,2,X,2021,1132552,0,17449
1,0101,72,6,1220,1,X,2021,1539286,0,42967
1,0101,73,5,1220,1,X,2021,1200966,0,17992
1,0101,73,5,1220,2,X,2021,31434,0,384
1,0101,73,6,1220,1,X,2021,26986,0,1259
1,0101,76,5,1220,1,X,2021,512799,0,8801
1,0101,76,5,1220,2,X,2021,80948,0,1397
1,0101,76,6,1220,1,X,2021,68395,0,1355
1,0101,82,5,1220,1,X,2021,167201,0,3265
1,0101,82,5,1220,2,X,2021,325693,0,4956
1,0101,83,5,1220,1,X,2021,30022,0,587
1,0101,83,5,1220,2,X,2021,24096,0,186
1,0101,84,5,1220,1,X,2021,1837782,0,30944
1,0101,84,5,1220,2,X,2021,1784592,0,21467
1,0101,84,6,1220,2,X,2021,34691,0,379
1,0101,85,5,1220,1,X,2021,1227338,0,23836
1,0101,85,5,1220,2,X,2021,1625252,0,2528
1,0101,85,6,1220,2,X,2021,27981,0,258
1,0101,86,5,1220,2,X,2021,111598,0,2168
1,0101,87,5,1220,1,X,2021,1071701,0,14289
1,0101,87,5,1220,2,X,2021,83108,0,1167
1,0101,89,5,1220,1,X,2021,171821,0,4667
1,0101,89,8,1220,1,X,2021,318791,0,3155
1,0101,89,8,1220,2,X,2021,2987728,0,24773
1,0101,90,5,1220,1,X,2021,316241,0,4760
1,0101,90,5,1220,2,X,2021,195877,0,1795
1,0101,90,6,1220,2,X,2021,581682,0,11344
1,0101,91,5,1220,2,X,2021,20714,0,267
1,0101,92,6,1220,2,X,2021,19496,0,161
1,0101,94,5,1220,1,X,2021,74002,0,1088
1,0101,94,5,1220,2,X,2021,165248,0,2677
1,0101,95,5,1220,1,X,2021,500608,0,8554
1,0101,95,5,1220,2,X,2021,1025133,0,7686
1,0101,96,5,1220,2,X,2021,17139,0,312
1,0102,05,5,1220,1,X,2021,15135,0,92
1,0102,25,5,1220,1,X,2021,4334,0,397
1,0102,44,5,1220,1,X,2021,21322,0,418
1,0102,48,5,1220,1,X,2021,12251,0,239
1,0102,72,5,1220,1,X,2021,23874,0,468
1,0102,72,6,1220,1,X,2021,2102913,0,30130
1,0102,74,6,1220,1,X,2021,83066,0,341
1,0102,76,5,1220,1,X,2021,42756,0,318
1,0102,76,6,1220,1,X,2021,36992,0,314
1,0102,85,5,1220,1,X,2021,11006,0,413
1,0102,88,5,1220,1,X,2021,14558,0,0
1,0102,88,5,1220,2,X,2021,30411,0,595
1,0102,89,8,1220,1,X,2021,442551,0,4381
1,0102,89,8,1220,2,X,2021,702216,0,6952
1,0102,94,5,1220,1,X,2021,213805,0,342
1,0102,94,5,1220,2,X,2021,3955,0,90
1,0102,98,8,1220,1,X,2021,503307,0,2008
1,0103,03,5,1220,1,X,2021,202460,0,2775
1,0103,05,5,1220,1,X,2021,316819,0,10232
1,0103,18,5,1220,1,X,2021,31842,0,159
1,0103,31,5,1220,2,X,2021,7267,0,142
1,0103,32,5,1220,1,X,2021,3314,0,116
1,0103,34,5,1220,1,X,2021,4179,0,81
1,0103,40,5,1220,1,X,2021,97828,0,392
1,0103,40,5,1220,2,X,2021,10172,0,0
1,0103,44,5,1220,1,X,2021,35042,0,874
1,0103,48,5,1220,1,X,2021,41854,0,821
1,0103,56,5,1220,1,X,2021,3100,0,80
1,0103,61,5,1220,1,X,2021,2743,0,85
1,0103,72,5,1220,1,X,2021,63230,0,91
1,0103,72,6,1220,1,X,2021,28198,0,397
1,0103,73,5,1220,1,X,2021,166097,0,6452
1,0103,73,5,1220,2,X,2021,3334,0,65
