TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0708,5,,XO,1220,24002,0,0,1,X,02,2021
1,AK,20XX,3,,XA,1220,16204,55,0,1,X,02,2021
1,AK,20XX,3,,XC,1220,30261,832,0,1,X,02,2021
1,AK,20XX,3,,XC,1220,46635,99,0,2,X,02,2021
1,AK,20XX,3,,XM,1220,5743,389,0,1,X,02,2021
1,AK,20XX,3,,XO,1220,14181,13,0,1,X,02,2021
1,AK,20XX,3,,XQ,1220,2990,8,0,1,X,02,2021
1,AK,2301,5,DF,,2010,25499,0,0,1,0,02,2021
1,AK,2303,5,CO,,2010,17349,0,0,1,0,02,2021
1,AK,2303,6,MX,,2010,67229,0,0,1,0,02,2021
1,AK,2304,5,CM,,2010,6102,0,0,1,0,02,2021
1,AK,2304,5,GT,,2010,19195,0,0,1,0,02,2021
1,AK,2304,5,JA,,2010,23780,0,0,1,0,02,2021
1,AK,2304,5,MX,,2010,194653,0,0,1,0,02,2021
1,AK,2304,5,MX,,2010,15079,0,0,2,0,02,2021
1,AK,2304,5,NL,,2010,290539,0,0,1,0,02,2021
1,AK,2304,5,PU,,2010,4667,0,0,1,0,02,2021
1,AK,2304,5,PU,,2010,95964,0,0,1,1,02,2021
1,AK,2304,5,QT,,2010,33983,0,0,1,0,02,2021
1,AK,2304,5,SL,,2010,64228,0,0,1,0,02,2021
1,AK,2304,5,SL,,2010,7990,0,0,2,0,02,2021
1,AK,2304,5,TL,,2010,46364,0,0,2,0,02,2021
1,AK,2304,6,MX,,2010,44252,0,0,2,0,02,2021
1,AK,2304,6,PU,,2010,42040,0,0,1,0,02,2021
1,AK,2304,8,JA,,2010,2646,0,0,1,X,02,2021
1,AK,2305,5,CL,,2010,13969,0,0,2,0,02,2021
1,AK,2305,5,CO,,2010,68998,0,0,2,0,02,2021
1,AK,2305,5,TM,,2010,71921,0,0,2,0,02,2021
1,AK,2305,8,NL,,2010,25480,0,0,1,X,02,2021
1,AK,2402,5,JA,,2010,9072,0,0,1,0,02,2021
1,AK,2402,5,MX,,2010,35000,0,0,1,1,02,2021
1,AK,2402,6,NL,,2010,25154,0,0,1,0,02,2021
1,AK,2506,5,BC,,2010,18006,0,0,1,0,02,2021
1,AK,2601,5,SO,,2010,13656,0,0,1,0,02,2021
1,AK,2604,5,QT,,2010,7000,0,0,1,0,02,2021
1,AK,2604,5,SO,,2010,43682,0,0,1,0,02,2021
1,AK,3002,5,,XY,1220,9629,0,0,2,X,02,2021
1,AK,3004,5,,XC,1220,632534,0,1373,1,X,02,2021
1,AK,3004,5,,XC,1220,16533,0,229,2,X,02,2021
1,AK,3004,5,,XY,1220,3103,0,111,1,X,02,2021
1,AK,3009,5,,XC,1220,15136,0,0,1,X,02,2021
1,AK,3023,5,,XC,1220,32435,0,0,1,X,02,2021
1,AK,3101,5,,XC,1220,23619,0,507,1,X,02,2021
1,AK,3103,5,,XC,1220,3962535,0,0,1,X,02,2021
1,AK,3104,5,,XY,1220,136350,0,0,1,X,02,2021
1,AK,3104,5,,XY,1220,31590,0,0,2,X,02,2021
1,AK,3106,5,,XC,1220,595065,0,0,1,X,02,2021
1,AK,31XX,1,,XB,1220,208353,49397,0,1,X,02,2021
1,AK,3310,5,,XA,1220,61297,0,0,1,X,02,2021
1,AK,3403,5,,XS,1220,3136,0,0,1,X,02,2021
1,AK,34XX,3,,XM,1220,7237,811,268,1,X,02,2021
1,AK,3501,3,,XA,1220,24164,131,0,1,X,02,2021
1,AK,35XX,3,,XA,1220,6126,77,0,1,X,02,2021
1,AK,3802,5,,XO,1220,2691,0,0,1,X,02,2021
1,AK,4101,3,,XO,1220,9977,90,0,1,X,02,2021
1,AK,4101,3,,XQ,1220,3051,11,0,1,X,02,2021
1,AK,41XX,3,,XO,1220,3406,11,0,2,X,02,2021
1,AK,70XX,5,,XC,1220,6092,0,210,1,X,02,2021
1,AK,70XX,8,,XA,1220,205,0,0,1,X,02,2021
