TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,BC,,2010,18006,0,0,1,0,02,2021
1,AK,02,5,NL,,2010,26568,0,0,1,0,02,2021
1,AK,02,5,SO,,2010,43682,0,0,1,0,02,2021
1,AK,03,1,,XB,1220,208353,49397,0,1,X,02,2021
1,AK,03,5,,XC,1220,428601,0,1880,1,X,02,2021
1,AK,08,5,CL,,2010,13969,0,0,2,0,02,2021
1,AK,16,5,,XC,1220,136889,0,0,1,X,02,2021
1,AK,27,5,,XC,1220,4557600,0,0,1,X,02,2021
1,AK,27,5,,XY,1220,73748,0,0,1,X,02,2021
1,AK,28,5,NL,,2010,5036,0,0,1,0,02,2021
1,AK,28,6,NL,,2010,25154,0,0,1,0,02,2021
1,AK,29,5,DF,,2010,25499,0,0,1,0,02,2021
1,AK,30,5,MX,,2010,191548,0,0,1,0,02,2021
1,AK,33,5,CO,,2010,68998,0,0,2,0,02,2021
1,AK,39,5,,XA,1220,4058,0,0,1,X,02,2021
1,AK,39,5,QT,,2010,7000,0,0,1,0,02,2021
1,AK,39,5,SL,,2010,64228,0,0,1,0,02,2021
1,AK,40,5,QT,,2010,16556,0,0,1,0,02,2021
1,AK,44,5,,XC,1220,32435,0,0,1,X,02,2021
1,AK,44,5,QT,,2010,17427,0,0,1,0,02,2021
1,AK,47,6,MX,,2010,67229,0,0,1,0,02,2021
1,AK,47,6,MX,,2010,44252,0,0,2,0,02,2021
1,AK,48,5,CO,,2010,17349,0,0,1,0,02,2021
1,AK,48,5,GT,,2010,19195,0,0,1,0,02,2021
1,AK,48,5,TM,,2010,63370,0,0,2,0,02,2021
1,AK,54,5,PU,,2010,95964,0,0,1,1,02,2021
1,AK,59,5,TL,,2010,46364,0,0,2,0,02,2021
1,AK,63,3,,XC,1220,4221,473,0,1,X,02,2021
1,AK,63,3,,XM,1220,12980,1200,268,1,X,02,2021
1,AK,69,8,JA,,2010,2646,0,0,1,X,02,2021
1,AK,72,5,JA,,2010,9072,0,0,1,0,02,2021
1,AK,72,5,NL,,2010,15295,0,0,1,0,02,2021
1,AK,72,6,PU,,2010,42040,0,0,1,0,02,2021
1,AK,73,5,,XS,1220,3136,0,0,1,X,02,2021
1,AK,76,5,NL,,2010,188499,0,0,1,0,02,2021
1,AK,82,5,TM,,2010,8551,0,0,2,0,02,2021
1,AK,83,5,PU,,2010,4667,0,0,1,0,02,2021
1,AK,84,3,,XA,1220,22330,132,0,1,X,02,2021
1,AK,84,3,,XO,1220,16905,89,0,1,X,02,2021
1,AK,84,5,,XC,1220,7873,0,229,2,X,02,2021
1,AK,84,5,,XY,1220,14860,0,0,1,X,02,2021
1,AK,84,5,,XY,1220,31590,0,0,2,X,02,2021
1,AK,84,5,CM,,2010,6102,0,0,1,0,02,2021
