TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,09,5,1220,4401,0,86,2,X,01,2021
1,0101,16,5,1220,114046,0,2233,1,X,01,2021
1,0101,17,5,1220,21988,0,431,1,X,01,2021
1,0101,19,5,1220,9659,0,189,1,X,01,2021
1,0101,20,5,1220,65812,0,1330,1,X,01,2021
1,0101,20,5,1220,65848,0,1289,2,X,01,2021
1,0101,21,5,1220,26064,0,614,1,X,01,2021
1,0101,29,5,1220,29955,0,561,1,X,01,2021
1,0101,29,5,1220,6719,0,132,2,X,01,2021
1,0101,32,5,1220,4519,0,88,1,X,01,2021
1,0101,33,5,1220,16425,0,314,1,X,01,2021
1,0101,34,5,1220,3180,0,73,1,X,01,2021
1,0101,35,5,1220,4017,0,110,1,X,01,2021
1,0101,38,5,1220,2818,0,55,1,X,01,2021
1,0101,39,5,1220,419786,0,8229,1,X,01,2021
1,0101,39,5,1220,20142,0,395,2,X,01,2021
1,0101,48,5,1220,154159,0,2915,1,X,01,2021
1,0101,49,5,1220,3661,0,78,1,X,01,2021
1,0101,56,5,1220,4829,0,91,1,X,01,2021
1,0101,60,5,1220,11733,0,230,2,X,01,2021
1,0101,66,5,1220,2846,0,146,2,X,01,2021
1,0101,68,5,1220,11050,0,216,1,X,01,2021
1,0101,72,5,1220,393744,0,7714,1,X,01,2021
1,0101,72,5,1220,276211,0,5411,2,X,01,2021
1,0101,72,6,1220,125228,0,4670,1,X,01,2021
1,0101,73,5,1220,12995,0,254,1,X,01,2021
1,0101,73,5,1220,3088,0,60,2,X,01,2021
1,0101,76,5,1220,123886,0,2429,1,X,01,2021
1,0101,82,5,1220,6104,0,116,1,X,01,2021
1,0101,82,5,1220,24363,0,463,2,X,01,2021
1,0101,83,5,1220,3353,0,66,2,X,01,2021
1,0101,84,5,1220,103428,0,2283,1,X,01,2021
1,0101,84,5,1220,176542,0,3379,2,X,01,2021
1,0101,85,5,1220,64977,0,1255,1,X,01,2021
1,0101,87,5,1220,11715,0,213,1,X,01,2021
1,0101,90,5,1220,8824,0,172,1,X,01,2021
