TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01,5,ZA,,2010,17866,0,0,1,0,01,2021
1,AK,03,1,,XB,1220,210344,49396,6286,1,X,01,2021
1,AK,03,3,,XC,1220,41617,2271,570,1,X,01,2021
1,AK,03,5,,XC,1220,1229801,0,18875,1,X,01,2021
1,AK,03,5,,XC,1220,193277,0,3796,2,X,01,2021
1,AK,03,5,,XO,1220,75687,0,1658,1,X,01,2021
1,AK,03,5,,XY,1220,827652,0,11345,1,X,01,2021
1,AK,05,5,,XO,1220,52639,0,355,1,X,01,2021
1,AK,15,5,,XC,1220,132798,0,8249,1,X,01,2021
1,AK,16,5,,XC,1220,37843,0,334,1,X,01,2021
1,AK,21,1,XX,,2010,5940,1136,0,1,1,01,2021
1,AK,27,5,,XC,1220,3302960,0,64714,1,X,01,2021
1,AK,27,5,,XY,1220,116597,0,2282,1,X,01,2021
1,AK,28,5,AG,,2010,3466,0,0,1,0,01,2021
1,AK,32,5,BC,,2010,3658,0,0,1,0,01,2021
1,AK,33,5,NL,,2010,62304,0,0,1,0,01,2021
1,AK,38,5,AG,,2010,17981,0,0,1,0,01,2021
1,AK,39,5,,XO,1220,4780,0,322,1,X,01,2021
1,AK,39,5,,XO,1220,4513,0,304,2,X,01,2021
1,AK,39,5,AG,,2010,35202,0,0,1,0,01,2021
1,AK,39,5,BC,,2010,28885,0,0,1,0,01,2021
1,AK,39,5,CH,,2010,32820,0,0,1,0,01,2021
1,AK,40,3,,XC,1220,4363,5,78,1,X,01,2021
1,AK,43,5,,XY,1220,27648,0,335,1,X,01,2021
1,AK,44,1,,XC,1220,668974,3449790,6622,1,X,01,2021
1,AK,44,6,NL,,2010,49690,0,0,1,0,01,2021
1,AK,48,5,TM,,2010,54995,0,0,2,0,01,2021
1,AK,59,5,TL,,2010,31957,0,0,2,0,01,2021
1,AK,63,3,,XC,1220,5892,401,134,1,X,01,2021
1,AK,63,3,,XM,1220,15451,1026,549,1,X,01,2021
1,AK,73,5,,XC,1220,27276,0,535,1,X,01,2021
1,AK,76,5,BC,,2010,5031,0,0,1,0,01,2021
1,AK,83,3,,XC,1220,4151,13,78,1,X,01,2021
1,AK,84,3,,XC,1220,5146,6,153,1,X,01,2021
1,AK,84,3,,XO,1220,31745,28,39,1,X,01,2021
1,AK,84,5,,XA,1220,4809,0,94,1,X,01,2021
1,AK,84,5,,XY,1220,221464,0,1576,1,X,01,2021
1,AK,84,5,JA,,2010,16516,0,0,1,0,01,2021
1,AK,84,5,MX,,2010,21690,0,0,1,0,01,2021
