TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,NL,,2010,15132,0,0,1,0,07,2021
1,AK,03,1,,XB,1220,216698,52496,3590,1,X,07,2021
1,AK,03,5,,XC,1220,5412235,0,88764,1,X,07,2021
1,AK,03,5,,XO,1220,77657,0,3591,1,X,07,2021
1,AK,03,5,,XY,1220,5723439,0,106702,1,X,07,2021
1,AK,05,5,,XC,1220,8710,0,319,1,X,07,2021
1,AK,08,5,BC,,2010,7854,0,0,1,0,07,2021
1,AK,08,5,SI,,2010,162000,0,0,2,0,07,2021
1,AK,15,5,,XC,1220,284855,0,1686,1,X,07,2021
1,AK,16,3,,XC,1220,5760,443,522,1,X,07,2021
1,AK,25,5,MX,,2010,4530,0,0,1,0,07,2021
1,AK,27,5,,XC,1220,6018860,0,117937,1,X,07,2021
1,AK,27,5,,XY,1220,167777,0,3287,1,X,07,2021
1,AK,28,6,NL,,2010,125295,0,0,1,0,07,2021
1,AK,34,5,,XA,1220,13684,0,268,2,X,07,2021
1,AK,35,5,NL,,2010,2761,0,0,2,0,07,2021
1,AK,38,5,,XC,1220,5266,0,102,1,X,07,2021
1,AK,38,5,JA,,2010,10640,0,0,1,0,07,2021
1,AK,38,5,NL,,2010,42336,0,0,1,0,07,2021
1,AK,39,5,,XB,1220,14719,0,501,2,X,07,2021
1,AK,39,5,NL,,2010,59991,0,0,1,0,07,2021
1,AK,39,5,NL,,2010,51150,0,0,2,0,07,2021
1,AK,39,5,SL,,2010,16808,0,0,1,0,07,2021
1,AK,39,5,SL,,2010,5600,0,0,2,0,07,2021
1,AK,39,5,TM,,2010,35224,0,0,1,0,07,2021
1,AK,42,5,TL,,2010,4736,0,0,2,0,07,2021
1,AK,44,1,,XC,1220,1086040,6945451,10752,1,X,07,2021
1,AK,44,5,,XC,1220,13833,0,270,1,X,07,2021
1,AK,48,5,BC,,2010,8752,0,0,1,0,07,2021
1,AK,48,5,JA,,2010,20100,0,0,1,0,07,2021
