TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,5715,0,194,1,X,06,2021
1,AK,0704,5,,XO,1220,5993,0,130,1,X,06,2021
1,AK,0712,5,,XQ,1220,59925,0,593,2,X,06,2021
1,AK,07XX,3,,XO,1220,24660,18,2788,1,X,06,2021
1,AK,19XX,1,XX,,2010,184564,206800,0,1,0,06,2021
1,AK,20XX,3,,XA,1220,21466,110,553,1,X,06,2021
1,AK,20XX,3,,XA,1220,2764,1,8,2,X,06,2021
1,AK,20XX,3,,XC,1220,58809,1104,3288,1,X,06,2021
1,AK,20XX,3,,XM,1220,11599,235,162,1,X,06,2021
1,AK,20XX,3,,XO,1220,12569,1182,1089,1,X,06,2021
1,AK,20XX,3,,XQ,1220,11322,34,326,1,X,06,2021
1,AK,20XX,3,,XQ,1220,49962,44,81,2,X,06,2021
1,AK,20XX,8,,XC,1220,15210054,0,911,2,X,06,2021
1,AK,2301,5,CM,,2010,22709,0,0,1,0,06,2021
1,AK,2301,5,CM,,2010,8976,0,0,2,0,06,2021
1,AK,2301,5,NL,,2010,23046,0,0,1,0,06,2021
1,AK,2303,5,CO,,2010,3679,0,0,1,0,06,2021
1,AK,2304,5,CM,,2010,39990,0,0,1,0,06,2021
1,AK,2304,5,CO,,2010,3556,0,0,1,0,06,2021
1,AK,2304,5,DF,,2010,5560,0,0,1,0,06,2021
1,AK,2304,5,JA,,2010,121157,0,0,1,0,06,2021
1,AK,2304,5,JA,,2010,6588,0,0,2,0,06,2021
1,AK,2304,5,MX,,2010,17521,0,0,2,0,06,2021
1,AK,2304,5,NL,,2010,70304,0,0,1,0,06,2021
1,AK,2304,5,PU,,2010,62905,0,0,1,0,06,2021
1,AK,2304,5,QT,,2010,28415,0,0,1,0,06,2021
1,AK,2304,5,SL,,2010,18955,0,0,1,0,06,2021
1,AK,2304,5,SL,,2010,13251,0,0,2,0,06,2021
1,AK,2304,5,TL,,2010,34856,0,0,2,0,06,2021
