TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0901,5,,XO,1220,16667,0,320,1,X,03,2021
1,AK,18XX,1,XX,,2010,37930,34473,0,1,1,03,2021
1,AK,20XX,3,,XA,1220,45607,3847,688,1,X,03,2021
1,AK,20XX,3,,XC,1220,56248,833,2322,1,X,03,2021
1,AK,20XX,3,,XC,1220,36797,21,158,2,X,03,2021
1,AK,20XX,3,,XM,1220,10196,860,145,1,X,03,2021
1,AK,20XX,3,,XO,1220,103039,2918,1299,1,X,03,2021
1,AK,20XX,3,,XO,1220,21107,5,119,2,X,03,2021
1,AK,20XX,3,,XQ,1220,2618,35,67,2,X,03,2021
1,AK,2303,5,CO,,2010,23031,0,0,1,0,03,2021
1,AK,2304,5,AG,,2010,10304,0,0,1,0,03,2021
1,AK,2304,5,CM,,2010,52432,0,0,1,0,03,2021
1,AK,2304,5,CO,,2010,3761,0,0,1,0,03,2021
1,AK,2304,5,JA,,2010,16894,0,0,1,0,03,2021
1,AK,2304,5,JA,,2010,6720,0,0,2,0,03,2021
1,AK,2304,5,MX,,2010,153121,0,0,1,0,03,2021
1,AK,2304,5,MX,,2010,14335,0,0,2,0,03,2021
1,AK,2304,5,NL,,2010,294515,0,0,1,0,03,2021
1,AK,2304,5,SL,,2010,2582,0,0,2,0,03,2021
1,AK,2304,5,TL,,2010,84614,0,0,2,0,03,2021
1,AK,2304,5,VE,,2010,4085,0,0,1,0,03,2021
1,AK,2304,8,TM,,2010,6087,0,0,1,X,03,2021
1,AK,2305,5,CH,,2010,2765,0,0,2,0,03,2021
1,AK,2305,5,CL,,2010,39956,0,0,2,0,03,2021
1,AK,2305,5,MX,,2010,5974,0,0,1,0,03,2021
1,AK,2305,5,TB,,2010,7434,0,0,2,0,03,2021
1,AK,2305,5,TM,,2010,2592,0,0,1,0,03,2021
1,AK,2305,5,TM,,2010,70158,0,0,2,0,03,2021
1,AK,2402,5,CH,,2010,10618,0,0,1,0,03,2021
1,AK,2403,5,ZA,,2010,29987,0,0,1,0,03,2021
1,AK,2404,8,CH,,2010,8033,0,0,1,X,03,2021
1,AK,2506,5,BC,,2010,36398,0,0,1,0,03,2021
1,AK,2608,5,DF,,2010,26870,0,0,1,0,03,2021
1,AK,3004,5,,XC,1220,732026,0,11452,1,X,03,2021
1,AK,3004,5,,XC,1220,169542,0,525,2,X,03,2021
1,AK,3009,5,,XC,1220,102500,0,1554,1,X,03,2021
1,AK,3019,5,,XC,1220,3736,0,39,2,X,03,2021
1,AK,3020,5,,XC,1220,221922,0,395,1,X,03,2021
1,AK,30XX,1,,XC,1220,188486,1363590,1866,1,X,03,2021
1,AK,30XX,3,,XC,1220,21717,723,1258,1,X,03,2021
1,AK,3101,5,,XC,1220,46098,0,1009,1,X,03,2021
1,AK,3103,5,,XC,1220,3423349,0,67045,1,X,03,2021
1,AK,3103,5,,XC,1220,82856,0,820,2,X,03,2021
1,AK,3104,5,,XY,1220,534310,0,3440,1,X,03,2021
1,AK,3104,5,,XY,1220,102757,0,2501,2,X,03,2021
1,AK,3106,5,,XC,1220,797321,0,15611,1,X,03,2021
