TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,18XX,1,XX,,2010,5940,1136,0,1,1,01,2021
1,AK,20XX,3,,XA,1220,7490,26,155,1,X,01,2021
1,AK,20XX,3,,XA,1220,24885,13,78,2,X,01,2021
1,AK,20XX,3,,XC,1220,16415,139,355,1,X,01,2021
1,AK,20XX,3,,XC,1220,9025,5,35,2,X,01,2021
1,AK,20XX,3,,XM,1220,18901,1069,649,1,X,01,2021
1,AK,20XX,3,,XM,1220,7936,273,78,2,X,01,2021
1,AK,20XX,3,,XO,1220,31745,28,39,1,X,01,2021
1,AK,20XX,3,,XO,1220,13074,35,256,2,X,01,2021
1,AK,2304,5,AG,,2010,56649,0,0,1,0,01,2021
1,AK,2304,5,CM,,2010,26232,0,0,2,0,01,2021
1,AK,2304,5,DF,,2010,39375,0,0,1,0,01,2021
1,AK,2304,5,JA,,2010,16516,0,0,1,0,01,2021
1,AK,2304,5,MX,,2010,39827,0,0,1,0,01,2021
1,AK,2304,5,MX,,2010,1151284,0,0,2,0,01,2021
1,AK,2304,5,QT,,2010,121950,0,0,1,0,01,2021
1,AK,2304,5,SL,,2010,10706,0,0,1,0,01,2021
1,AK,2304,5,SL,,2010,76024,0,0,2,0,01,2021
1,AK,2304,5,TL,,2010,6918,0,0,1,0,01,2021
1,AK,2304,5,TL,,2010,46303,0,0,2,0,01,2021
1,AK,2304,6,NL,,2010,49690,0,0,1,0,01,2021
1,AK,2304,8,TM,,2010,2773,0,0,1,X,01,2021
1,AK,2305,5,CM,,2010,7692,0,0,1,0,01,2021
1,AK,2305,5,NL,,2010,62304,0,0,1,0,01,2021
1,AK,2305,5,OT,,2010,376741,0,0,2,0,01,2021
1,AK,2305,5,TM,,2010,54995,0,0,2,0,01,2021
1,AK,2401,5,DG,,2010,8355,0,0,2,0,01,2021
1,AK,2402,5,CH,,2010,32820,0,0,1,0,01,2021
1,AK,2403,5,ZA,,2010,17866,0,0,1,0,01,2021
1,AK,2506,5,BC,,2010,37574,0,0,1,0,01,2021
1,AK,2506,5,BC,,2010,8072,0,0,2,0,01,2021
1,AK,2604,5,JA,,2010,12446,0,0,2,0,01,2021
1,AK,3004,5,,XC,1220,1275876,0,19301,1,X,01,2021
1,AK,3004,5,,XC,1220,193277,0,3796,2,X,01,2021
1,AK,3009,5,,XC,1220,28638,0,392,1,X,01,2021
1,AK,3023,5,,XC,1220,104160,0,7857,1,X,01,2021
1,AK,30XX,3,,XC,1220,36419,427,781,1,X,01,2021
1,AK,3101,5,,XC,1220,30390,0,664,1,X,01,2021
1,AK,3103,5,,XC,1220,2654751,0,52022,1,X,01,2021
1,AK,3104,5,,XY,1220,352235,0,3896,1,X,01,2021
1,AK,3104,5,,XY,1220,2565,0,49,2,X,01,2021
1,AK,3106,5,,XC,1220,648209,0,12692,1,X,01,2021
1,AK,3106,5,,XY,1220,36178,0,708,1,X,01,2021
1,AK,3126,5,,XY,1220,833016,0,11737,1,X,01,2021
1,AK,31XX,1,,XB,1220,210344,49396,6286,1,X,01,2021
1,AK,31XX,1,,XC,1220,668974,3449790,6622,1,X,01,2021
1,AK,31XX,3,,XC,1220,269365,2872,17592,1,X,01,2021
1,AK,3310,5,,XA,1220,23269,0,725,1,X,01,2021
1,AK,3401,5,,XM,1220,6664,0,370,1,X,01,2021
1,AK,3501,3,,XA,1220,30939,48,694,1,X,01,2021
1,AK,3801,5,,XO,1220,128326,0,2013,1,X,01,2021
1,AK,3802,5,,XO,1220,4780,0,322,1,X,01,2021
1,AK,3802,5,,XO,1220,4513,0,304,2,X,01,2021
1,AK,4101,3,,XO,1220,12204,5,0,1,X,01,2021
1,AK,70XX,5,,XC,1220,8938,0,315,1,X,01,2021
1,AK,70XX,8,,XA,1220,2678,0,75,1,X,01,2021
1,AK,70XX,8,,XC,1220,2652,0,227,1,X,01,2021
1,AK,70XX,8,,XQ,1220,1768,0,21,1,X,01,2021
1,AL,0106,5,,XB,1220,583532,0,8481,1,X,01,2021
1,AL,0115,5,,XB,1220,375576,0,17836,1,X,01,2021
1,AL,0115,5,,XB,1220,38620,0,1284,2,X,01,2021
1,AL,0701,5,,XO,1220,61400,0,1245,1,X,01,2021
1,AL,0701,5,,XO,1220,39577,0,777,2,X,01,2021
1,AL,0708,5,,XO,1220,1813396,0,62133,1,X,01,2021
1,AL,0708,5,,XQ,1220,4607,0,23,2,X,01,2021
1,AL,0712,5,,XC,1220,2861,0,152,1,X,01,2021
1,AL,0712,5,,XM,1220,19192,0,1821,1,X,01,2021
1,AL,0712,5,,XO,1220,24579,0,3457,1,X,01,2021
1,AL,0712,5,,XQ,1220,1982486,0,52430,1,X,01,2021
1,AL,0712,5,,XQ,1220,424853,0,7155,2,X,01,2021
1,AL,0712,6,,XO,1220,188550,0,9283,1,X,01,2021
1,AL,07XX,3,,XC,1220,15063,15,152,1,X,01,2021
1,AL,07XX,3,,XQ,1220,3590,3,180,1,X,01,2021
1,AL,07XX,3,,XQ,1220,3158,40,141,2,X,01,2021
1,AL,0901,5,,XB,1220,8341,0,410,1,X,01,2021
1,AL,0901,5,,XB,1220,9235,0,293,2,X,01,2021
1,AL,0901,5,,XO,1220,63288372,0,728960,1,X,01,2021
1,AL,0901,5,,XO,1220,1286036,0,23493,2,X,01,2021
1,AL,0901,5,,XQ,1220,4932,0,234,1,X,01,2021
1,AL,0901,6,,XO,1220,1128981,0,52311,1,X,01,2021
1,AL,0901,6,,XQ,1220,36953,0,1501,1,X,01,2021
1,AL,0901,8,,XO,1220,69895,0,0,1,X,01,2021
1,AL,09XX,3,,XO,1220,6987,20,141,1,X,01,2021
1,AL,09XX,3,,XQ,1220,89016,412,879,2,X,01,2021
1,AL,13XX,1,XX,,2010,228174,10290,0,1,0,01,2021
1,AL,17XX,1,XX,,2010,10607105,675921,0,1,0,01,2021
1,AL,17XX,1,XX,,2010,11675480,638057,0,1,1,01,2021
1,AL,18XX,1,XX,,2010,275000,731461,0,1,0,01,2021
1,AL,18XX,1,XX,,2010,77792,50093,0,1,1,01,2021
1,AL,19XX,1,XX,,2010,39839155,60453756,0,1,0,01,2021
1,AL,19XX,1,XX,,2010,3397498,6988014,0,1,1,01,2021
1,AL,19XX,1,XX,,2010,427509,1128575,0,2,0,01,2021
1,AL,19XX,1,XX,,2010,645450,1400009,0,2,1,01,2021
1,AL,19XX,3,,XO,1220,8566,61,58,1,X,01,2021
1,AL,19XX,8,,XA,1220,132292,0,0,1,X,01,2021
1,AL,20XX,3,,XA,1220,88992,1099,1606,1,X,01,2021
1,AL,20XX,3,,XA,1220,108357,768,1204,2,X,01,2021
1,AL,20XX,3,,XC,1220,378704,928,1059,1,X,01,2021
1,AL,20XX,3,,XC,1220,10193,5,208,2,X,01,2021
1,AL,20XX,3,,XM,1220,25000,621,284,1,X,01,2021
1,AL,20XX,3,,XO,1220,327785,669,2884,1,X,01,2021
1,AL,20XX,3,,XO,1220,195200,412,2922,2,X,01,2021
1,AL,20XX,3,,XQ,1220,1085448,5208,7215,1,X,01,2021
1,AL,20XX,3,,XQ,1220,315848,1546,1679,2,X,01,2021
1,AL,20XX,3,XX,,2010,353537,786,0,1,0,01,2021
1,AL,20XX,3,XX,,2010,52750,151,0,2,0,01,2021
1,AL,2301,5,CO,,2010,115208,0,0,1,0,01,2021
1,AL,2301,5,NL,,2010,22198,0,0,1,0,01,2021
1,AL,2301,5,OT,,2010,75017,0,0,1,0,01,2021
1,AL,2301,5,TM,,2010,12320,0,0,1,0,01,2021
1,AL,2301,5,ZA,,2010,189407,0,0,1,0,01,2021
1,AL,2301,5,ZA,,2010,52108,0,0,2,0,01,2021
1,AL,2301,6,NL,,2010,72695,0,0,1,0,01,2021
1,AL,2301,6,TM,,2010,94131,0,0,1,0,01,2021
1,AL,2301,8,TM,,2010,3300,0,0,1,X,01,2021
1,AL,2303,5,CO,,2010,1720611,0,0,1,0,01,2021
1,AL,2303,5,CO,,2010,9119,0,0,2,0,01,2021
1,AL,2303,5,DF,,2010,21030,0,0,1,0,01,2021
1,AL,2303,5,DG,,2010,354224,0,0,1,0,01,2021
1,AL,2303,5,MX,,2010,1263939,0,0,1,0,01,2021
1,AL,2303,5,MX,,2010,35220,0,0,1,1,01,2021
1,AL,2303,5,SO,,2010,17350,0,0,1,0,01,2021
1,AL,2303,6,CO,,2010,831115,0,0,1,0,01,2021
1,AL,2303,6,MX,,2010,1736727,0,0,1,0,01,2021
1,AL,2304,3,XX,,2010,112541,182,0,2,0,01,2021
1,AL,2304,5,AG,,2010,3021183,0,0,1,0,01,2021
1,AL,2304,5,AG,,2010,702141,0,0,2,0,01,2021
1,AL,2304,5,CH,,2010,394390,0,0,1,0,01,2021
1,AL,2304,5,CM,,2010,70766,0,0,1,0,01,2021
1,AL,2304,5,CM,,2010,84252,0,0,2,0,01,2021
1,AL,2304,5,CO,,2010,7651511,0,0,1,0,01,2021
1,AL,2304,5,CO,,2010,437902,0,0,1,1,01,2021
1,AL,2304,5,CO,,2010,46928,0,0,2,0,01,2021
1,AL,2304,5,DF,,2010,1489238,0,0,1,0,01,2021
1,AL,2304,5,DF,,2010,26744,0,0,1,1,01,2021
1,AL,2304,5,DF,,2010,153374,0,0,2,0,01,2021
1,AL,2304,5,DG,,2010,10330,0,0,1,0,01,2021
1,AL,2304,5,GT,,2010,8413566,0,0,1,0,01,2021
1,AL,2304,5,GT,,2010,20517,0,0,1,1,01,2021
1,AL,2304,5,GT,,2010,314767,0,0,2,0,01,2021
1,AL,2304,5,GT,,2010,6057,0,0,2,1,01,2021
1,AL,2304,5,HG,,2010,1535410,0,0,1,0,01,2021
1,AL,2304,5,JA,,2010,607005,0,0,1,0,01,2021
1,AL,2304,5,JA,,2010,57329,0,0,1,1,01,2021
1,AL,2304,5,JA,,2010,560685,0,0,2,0,01,2021
1,AL,2304,5,MI,,2010,36963,0,0,1,0,01,2021
1,AL,2304,5,MO,,2010,135207,0,0,1,0,01,2021
1,AL,2304,5,MX,,2010,10529671,0,0,1,0,01,2021
1,AL,2304,5,MX,,2010,106028,0,0,1,1,01,2021
1,AL,2304,5,MX,,2010,246775,0,0,2,0,01,2021
1,AL,2304,5,NA,,2010,3365,0,0,1,0,01,2021
1,AL,2304,5,NL,,2010,23671528,0,0,1,0,01,2021
1,AL,2304,5,NL,,2010,603868,0,0,1,1,01,2021
1,AL,2304,5,NL,,2010,442938,0,0,2,0,01,2021
1,AL,2304,5,OA,,2010,15991,0,0,1,0,01,2021
1,AL,2304,5,OT,,2010,995567,0,0,1,0,01,2021
1,AL,2304,5,OT,,2010,56534,0,0,2,0,01,2021
1,AL,2304,5,PU,,2010,897045,0,0,1,0,01,2021
1,AL,2304,5,PU,,2010,881949,0,0,1,1,01,2021
1,AL,2304,5,PU,,2010,38699,0,0,2,0,01,2021
1,AL,2304,5,QR,,2010,53376,0,0,1,0,01,2021
1,AL,2304,5,QT,,2010,1890205,0,0,1,0,01,2021
1,AL,2304,5,QT,,2010,1018350,0,0,1,1,01,2021
1,AL,2304,5,QT,,2010,134683,0,0,2,0,01,2021
1,AL,2304,5,SL,,2010,2374431,0,0,1,0,01,2021
1,AL,2304,5,SL,,2010,853561,0,0,2,0,01,2021
1,AL,2304,5,TL,,2010,37976,0,0,1,0,01,2021
1,AL,2304,5,TM,,2010,351995,0,0,1,0,01,2021
1,AL,2304,5,TM,,2010,238435,0,0,2,0,01,2021
1,AL,2304,5,VE,,2010,3365,0,0,1,0,01,2021
1,AL,2304,5,ZA,,2010,10561,0,0,1,0,01,2021
1,AL,2304,6,CO,,2010,58495,0,0,1,0,01,2021
1,AL,2304,6,DF,,2010,188926,0,0,1,0,01,2021
1,AL,2304,6,GT,,2010,216595,0,0,1,0,01,2021
1,AL,2304,6,HG,,2010,33760,0,0,1,0,01,2021
1,AL,2304,6,MI,,2010,225915,0,0,1,0,01,2021
1,AL,2304,6,MX,,2010,2211270,0,0,1,0,01,2021
1,AL,2304,6,MX,,2010,182731,0,0,1,1,01,2021
1,AL,2304,6,NL,,2010,10920210,0,0,1,0,01,2021
1,AL,2304,6,NL,,2010,278879,0,0,1,1,01,2021
1,AL,2304,6,OT,,2010,90046,0,0,1,0,01,2021
1,AL,2304,6,OT,,2010,41005,0,0,2,0,01,2021
1,AL,2304,6,PU,,2010,1005506,0,0,1,0,01,2021
1,AL,2304,6,QT,,2010,1308663,0,0,1,0,01,2021
1,AL,2304,6,QT,,2010,106014,0,0,1,1,01,2021
1,AL,2304,6,SL,,2010,729922,0,0,1,0,01,2021
1,AL,2304,6,TL,,2010,151601,0,0,1,0,01,2021
1,AL,2304,6,TM,,2010,94131,0,0,1,1,01,2021
1,AL,2304,6,VE,,2010,32220,0,0,1,0,01,2021
1,AL,2304,8,JA,,2010,4250,0,0,1,X,01,2021
1,AL,2304,8,NL,,2010,28518,0,0,1,X,01,2021
1,AL,2304,8,QT,,2010,5358,0,0,1,X,01,2021
1,AL,2304,8,TM,,2010,60617,0,0,1,X,01,2021
1,AL,2305,5,JA,,2010,15088,0,0,1,0,01,2021
1,AL,2305,5,NL,,2010,75755,0,0,1,0,01,2021
1,AL,2305,5,OT,,2010,24416,0,0,2,0,01,2021
1,AL,2305,5,QT,,2010,11714,0,0,2,0,01,2021
1,AL,2305,5,TM,,2010,262777,0,0,1,0,01,2021
1,AL,2305,5,TM,,2010,13807,0,0,2,0,01,2021
1,AL,2305,8,MX,,2010,5799,0,0,1,X,01,2021
1,AL,2305,8,MX,,2010,138677,0,0,2,X,01,2021
1,AL,2305,8,NL,,2010,5075,0,0,1,X,01,2021
1,AL,2305,8,TM,,2010,79039,0,0,1,X,01,2021
1,AL,2401,5,CH,,2010,228512,0,0,1,0,01,2021
1,AL,2401,5,CH,,2010,1062016,0,0,2,0,01,2021
1,AL,2401,5,DG,,2010,182040,0,0,1,0,01,2021
1,AL,2401,5,DG,,2010,1482153,0,0,2,0,01,2021
1,AL,2402,5,CH,,2010,50128,0,0,1,0,01,2021
1,AL,2402,5,DF,,2010,12425724,0,0,1,0,01,2021
1,AL,2402,5,DG,,2010,52993,0,0,1,0,01,2021
1,AL,2402,5,NL,,2010,5263,0,0,1,1,01,2021
1,AL,2402,5,TM,,2010,204657,0,0,1,0,01,2021
1,AL,2402,6,NL,,2010,389836,0,0,1,1,01,2021
1,AL,2402,6,SL,,2010,140168,0,0,1,0,01,2021
1,AL,2403,5,CH,,2010,4610,0,0,1,0,01,2021
1,AL,2404,8,CH,,2010,76222,0,0,1,X,01,2021
1,AL,2404,8,CH,,2010,11548,0,0,2,X,01,2021
1,AL,2503,3,XX,,2010,116003,576,0,1,0,01,2021
1,AL,2503,5,BC,,2010,342648,0,0,1,0,01,2021
1,AL,2503,6,BC,,2010,800284,0,0,1,0,01,2021
1,AL,2506,5,BC,,2010,168645,0,0,1,0,01,2021
1,AL,2506,5,BC,,2010,10432,0,0,2,0,01,2021
1,AL,2506,5,MX,,2010,3227,0,0,2,0,01,2021
1,AL,2506,5,NL,,2010,15259,0,0,1,0,01,2021
1,AL,2506,5,SO,,2010,23924,0,0,1,0,01,2021
1,AL,2507,5,BC,,2010,728056,0,0,1,0,01,2021
1,AL,2507,5,BC,,2010,50890,0,0,2,0,01,2021
1,AL,2604,5,MX,,2010,38252,0,0,1,0,01,2021
1,AL,2604,5,QT,,2010,31778,0,0,1,0,01,2021
1,AL,2604,5,SO,,2010,702196,0,0,1,0,01,2021
1,AL,2604,6,SO,,2010,580463,0,0,1,0,01,2021
1,AL,2608,5,SO,,2010,211691,0,0,1,0,01,2021
1,AL,2608,5,SO,,2010,38950,0,0,2,0,01,2021
1,AL,3001,5,,XC,1220,15933,0,410,1,X,01,2021
1,AL,3001,5,,XO,1220,4851,0,649,2,X,01,2021
1,AL,3004,5,,XB,1220,42594,0,422,1,X,01,2021
1,AL,3004,5,,XC,1220,2827608,0,71110,1,X,01,2021
1,AL,3004,5,,XC,1220,261202,0,4859,2,X,01,2021
1,AL,3004,5,,XM,1220,3626,0,322,1,X,01,2021
1,AL,3004,5,,XO,1220,116589,0,1986,1,X,01,2021
1,AL,3004,6,,XC,1220,681553,0,4316,1,X,01,2021
1,AL,3004,8,,XC,1220,25162,0,201,1,X,01,2021
1,AL,3009,5,,XC,1220,289935,0,7356,1,X,01,2021
1,AL,3019,5,,XC,1220,130624,0,1049,1,X,01,2021
1,AL,30XX,1,,XO,1220,640635,1845000,0,2,X,01,2021
1,AL,30XX,3,,XA,1220,18218,28,356,1,X,01,2021
1,AL,30XX,3,,XC,1220,143623,635,2473,1,X,01,2021
1,AL,30XX,3,,XC,1220,14246,111,313,2,X,01,2021
1,AL,30XX,3,,XO,1220,7148,35,126,2,X,01,2021
1,AL,3301,5,,XS,1220,27649,0,3346,1,X,01,2021
1,AL,3302,5,,XA,1220,8296,0,90,1,X,01,2021
1,AL,3302,5,,XC,1220,83979,0,1635,1,X,01,2021
1,AL,3310,5,,XA,1220,1099008,0,26959,1,X,01,2021
1,AL,3310,5,,XA,1220,88815,0,1372,2,X,01,2021
1,AL,3310,6,,XM,1220,99790,0,1956,1,X,01,2021
1,AL,3322,5,,XC,1220,15551,0,304,1,X,01,2021
1,AL,3401,5,,XA,1220,14650,0,234,1,X,01,2021
1,AL,3401,5,,XA,1220,14603,0,601,2,X,01,2021
1,AL,3401,5,,XM,1220,5982166,0,154822,1,X,01,2021
1,AL,3401,5,,XM,1220,456373,0,7013,2,X,01,2021
1,AL,3401,5,,XO,1220,6510,0,124,1,X,01,2021
1,AL,3401,5,,XQ,1220,2966,0,141,2,X,01,2021
1,AL,3401,6,,XM,1220,1443846,0,16579,1,X,01,2021
1,AL,3401,6,,XS,1220,69901,0,392,1,X,01,2021
1,AL,3403,5,,XA,1220,35970,0,1712,1,X,01,2021
1,AL,3403,5,,XC,1220,5754,0,23,1,X,01,2021
1,AL,3403,5,,XS,1220,4140463,0,78176,1,X,01,2021
