TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,BC,,2010,24571,0,0,1,0,03,2021
1,AK,03,5,,XC,1220,870596,0,13859,1,X,03,2021
1,AK,03,5,,XO,1220,78243,0,3580,1,X,03,2021
1,AK,05,5,,XO,1220,52453,0,318,1,X,03,2021
1,AK,08,5,CL,,2010,39956,0,0,2,0,03,2021
1,AK,08,5,DF,,2010,26870,0,0,1,0,03,2021
1,AK,26,5,,XC,1220,221922,0,395,1,X,03,2021
1,AK,27,5,,XC,1220,4214656,0,82567,1,X,03,2021
1,AK,27,5,,XY,1220,97272,0,1905,1,X,03,2021
1,AK,32,5,TM,,2010,2592,0,0,1,0,03,2021
1,AK,32,5,TM,,2010,2926,0,0,2,0,03,2021
1,AK,35,5,MX,,2010,122600,0,0,1,0,03,2021
1,AK,38,5,TM,,2010,67232,0,0,2,0,03,2021
1,AK,39,3,,XC,1220,4786,25,435,1,X,03,2021
1,AK,39,5,,XO,1220,12309,0,241,1,X,03,2021
1,AK,39,5,CO,,2010,3761,0,0,1,0,03,2021
1,AK,40,3,,XC,1220,4383,5,79,1,X,03,2021
1,AK,40,5,AG,,2010,10304,0,0,1,0,03,2021
1,AK,40,5,TB,,2010,7434,0,0,2,0,03,2021
1,AK,44,1,,XC,1220,610948,11363589,6048,1,X,03,2021
1,AK,44,5,,XO,1220,10803,0,519,1,X,03,2021
1,AK,48,5,BC,,2010,11827,0,0,1,0,03,2021
1,AK,48,5,CH,,2010,10618,0,0,1,0,03,2021
1,AK,48,5,CO,,2010,23031,0,0,1,0,03,2021
1,AK,54,5,CM,,2010,52432,0,0,1,0,03,2021
1,AK,59,5,TL,,2010,84614,0,0,2,0,03,2021
1,AK,63,3,,XA,1220,6128,700,354,1,X,03,2021
1,AK,63,3,,XC,1220,11665,1333,246,1,X,03,2021
1,AK,63,3,,XM,1220,10155,1192,172,1,X,03,2021
1,AK,63,3,,XO,1220,23386,2674,899,1,X,03,2021
1,AK,63,5,,XM,1220,10555,0,400,1,X,03,2021
1,AK,72,5,CH,,2010,2765,0,0,2,0,03,2021
1,AK,72,5,MX,,2010,30521,0,0,1,0,03,2021
1,AK,73,3,,XC,1220,3746,4409,465,1,X,03,2021
1,AK,73,3,,XQ,1220,2618,35,67,2,X,03,2021
1,AK,76,5,,XO,1220,33231,0,79,1,X,03,2021
