TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,1704,3,,XC,1220,9711,4,0,1,X,05,2021
1,AK,20XX,3,,XA,1220,37590,109,493,1,X,05,2021
1,AK,20XX,3,,XA,1220,48833,273,374,2,X,05,2021
1,AK,20XX,3,,XC,1220,29724,70,2378,1,X,05,2021
1,AK,20XX,3,,XC,1220,18271,2,32,2,X,05,2021
1,AK,20XX,3,,XM,1220,2713,310,74,1,X,05,2021
1,AK,20XX,3,,XO,1220,20237,1912,1808,1,X,05,2021
1,AK,20XX,3,,XQ,1220,50966,120,975,1,X,05,2021
1,AK,2303,5,CO,,2010,23596,0,0,1,0,05,2021
1,AK,2304,5,CM,,2010,62483,0,0,2,0,05,2021
1,AK,2304,5,CO,,2010,2835,0,0,1,0,05,2021
1,AK,2304,5,GT,,2010,2882268,0,0,1,0,05,2021
1,AK,2304,5,JA,,2010,13305,0,0,1,0,05,2021
1,AK,2304,5,JA,,2010,37672,0,0,2,0,05,2021
1,AK,2304,5,MX,,2010,4704,0,0,1,0,05,2021
1,AK,2304,5,MX,,2010,92444,0,0,2,0,05,2021
1,AK,2304,5,NL,,2010,87405,0,0,1,0,05,2021
1,AK,2304,5,NL,,2010,23958,0,0,2,0,05,2021
1,AK,2304,5,SL,,2010,14353,0,0,1,0,05,2021
1,AK,2304,5,SL,,2010,24852,0,0,2,0,05,2021
1,AK,2304,5,TL,,2010,35585,0,0,2,0,05,2021
1,AK,2304,5,VE,,2010,78215,0,0,1,0,05,2021
1,AK,2304,5,VE,,2010,9150,0,0,2,0,05,2021
1,AK,2305,5,CO,,2010,64648,0,0,2,0,05,2021
1,AK,2305,5,GT,,2010,4806,0,0,2,0,05,2021
1,AK,2305,5,MI,,2010,5315,0,0,2,0,05,2021
1,AK,2305,5,NL,,2010,62304,0,0,1,0,05,2021
1,AK,2305,5,TM,,2010,43513,0,0,2,0,05,2021
1,AK,2401,5,DG,,2010,28324,0,0,1,0,05,2021
1,AK,2401,5,DG,,2010,76719,0,0,2,0,05,2021
1,AK,2402,5,SO,,2010,26302,0,0,1,0,05,2021
1,AK,2404,8,CH,,2010,11988,0,0,2,X,05,2021
1,AK,2506,5,QT,,2010,8565,0,0,1,0,05,2021
1,AK,2506,8,BC,,2010,3000,0,0,2,X,05,2021
1,AK,2608,5,BC,,2010,90000,0,0,1,0,05,2021
