TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01,5,MX,,2010,27753,0,0,2,0,05,2021
1,AK,03,1,,XB,1220,453537,98726,8088,1,X,05,2021
1,AK,03,5,,XC,1220,653019,0,11769,1,X,05,2021
1,AK,03,5,,XC,1220,12593,0,412,2,X,05,2021
1,AK,03,5,,XY,1220,2673047,0,36633,1,X,05,2021
1,AK,08,5,CO,,2010,64648,0,0,2,0,05,2021
1,AK,08,5,VE,,2010,3150,0,0,1,0,05,2021
1,AK,15,5,,XC,1220,43669,0,164,1,X,05,2021
1,AK,19,5,,XC,1220,2934,0,130,1,X,05,2021
1,AK,23,5,,XC,1220,353198,0,1398,1,X,05,2021
1,AK,26,1,,XC,1220,23503310,2614303,6,1,X,05,2021
1,AK,27,5,,XC,1220,4509391,0,88352,1,X,05,2021
1,AK,33,5,NL,,2010,62304,0,0,1,0,05,2021
1,AK,34,5,MX,,2010,3327,0,0,2,0,05,2021
1,AK,38,5,CM,,2010,62483,0,0,2,0,05,2021
1,AK,39,5,,XA,1220,2961,0,87,1,X,05,2021
1,AK,39,5,CO,,2010,2835,0,0,1,0,05,2021
1,AK,39,5,DG,,2010,8831,0,0,2,0,05,2021
1,AK,39,5,VE,,2010,9998,0,0,1,0,05,2021
1,AK,40,5,CO,,2010,2985,0,0,1,0,05,2021
1,AK,40,5,VE,,2010,5192,0,0,1,0,05,2021
1,AK,42,3,,XC,1220,3649,94,82,1,X,05,2021
1,AK,42,5,TL,,2010,5096,0,0,2,0,05,2021
1,AK,44,5,,XC,1220,15268,0,299,1,X,05,2021
1,AK,44,5,MX,,2010,4067,0,0,2,0,05,2021
1,AK,47,5,NL,,2010,6302,0,0,1,0,05,2021
1,AK,48,5,CO,,2010,3068,0,0,1,0,05,2021
1,AK,48,5,QT,,2010,8565,0,0,1,0,05,2021
1,AK,48,5,TM,,2010,17726,0,0,2,0,05,2021
1,AK,59,5,JA,,2010,13305,0,0,1,0,05,2021
1,AK,59,5,TL,,2010,12941,0,0,2,0,05,2021
1,AK,63,3,,XM,1220,2713,310,74,1,X,05,2021
1,AK,63,3,,XO,1220,16445,1880,1726,1,X,05,2021
1,AK,63,5,VE,,2010,2669,0,0,1,0,05,2021
1,AK,68,5,SO,,2010,26302,0,0,1,0,05,2021
1,AK,70,5,NL,,2010,40218,0,0,1,0,05,2021
1,AK,71,3,,XA,1220,16672,13,155,2,X,05,2021
1,AK,71,3,,XC,1220,2887,2,102,1,X,05,2021
1,AK,73,5,,XY,1220,6863,0,278,1,X,05,2021
1,AK,73,5,NL,,2010,3407,0,0,1,0,05,2021
1,AK,73,5,VE,,2010,18450,0,0,1,0,05,2021
1,AK,75,5,NL,,2010,6000,0,0,1,0,05,2021
1,AK,81,5,NL,,2010,6000,0,0,1,0,05,2021
1,AK,82,3,,XC,1220,3043,50,272,1,X,05,2021
1,AK,82,5,CO,,2010,10402,0,0,1,0,05,2021
1,AK,82,5,TM,,2010,11428,0,0,2,0,05,2021
1,AK,83,5,,XO,1220,3366,0,148,1,X,05,2021
1,AK,84,3,,XA,1220,27607,259,137,2,X,05,2021
1,AK,84,5,,XA,1220,5006,0,98,2,X,05,2021
1,AK,84,5,,XC,1220,174341,0,24,1,X,05,2021
1,AK,84,5,,XC,1220,4205,0,82,2,X,05,2021
1,AK,84,5,,XO,1220,2712,0,20,1,X,05,2021
1,AK,84,5,,XY,1220,3009505,0,26780,1,X,05,2021
1,AK,84,5,,XY,1220,11222,0,1223,2,X,05,2021
1,AK,84,5,BC,,2010,90000,0,0,1,0,05,2021
1,AK,84,5,CO,,2010,7141,0,0,1,0,05,2021
1,AK,84,5,DG,,2010,5200,0,0,1,0,05,2021
1,AK,84,5,GT,,2010,2882268,0,0,1,0,05,2021
1,AK,84,5,SL,,2010,14353,0,0,1,0,05,2021
1,AK,84,5,SL,,2010,24852,0,0,2,0,05,2021
1,AK,84,5,VE,,2010,19856,0,0,1,0,05,2021
1,AK,85,3,,XA,1220,10669,32,233,1,X,05,2021
1,AK,85,3,,XA,1220,4554,1,82,2,X,05,2021
1,AK,85,3,,XC,1220,15775,3,1434,1,X,05,2021
1,AK,85,3,,XQ,1220,20380,16,138,2,X,05,2021
1,AK,85,5,,XA,1220,38598,0,726,1,X,05,2021
1,AK,85,5,,XY,1220,14484,0,315,1,X,05,2021
1,AK,85,5,DG,,2010,20586,0,0,1,0,05,2021
1,AK,85,5,DG,,2010,67888,0,0,2,0,05,2021
1,AK,85,5,JA,,2010,34648,0,0,2,0,05,2021
