TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0106,5,,XY,1220,62562,0,759,1,X,11,2021
1,AK,0106,8,,XB,1220,2140647,0,46899,1,X,11,2021
1,AK,0115,5,,XB,1220,13027,0,1193,1,X,11,2021
1,AK,07XX,3,,XQ,1220,9579,2197,207,1,X,11,2021
1,AK,09XX,3,,XO,1220,2572,111,79,2,X,11,2021
1,AK,18XX,1,XX,,2010,23858,7727,0,1,1,11,2021
1,AK,20XX,3,,XA,1220,8575,6,78,1,X,11,2021
1,AK,20XX,3,,XA,1220,12985,227,64,2,X,11,2021
1,AK,20XX,3,,XC,1220,20675,509,926,1,X,11,2021
1,AK,20XX,3,,XC,1220,2503,9,36,2,X,11,2021
1,AK,20XX,3,,XM,1220,4608,10,23,1,X,11,2021
1,AK,20XX,3,,XO,1220,11072,24,235,1,X,11,2021
1,AK,20XX,3,,XQ,1220,3078,28,83,1,X,11,2021
1,AK,2304,5,AG,,2010,68303,0,0,1,0,11,2021
1,AK,2304,5,CH,,2010,41237,0,0,1,0,11,2021
1,AK,2304,5,CM,,2010,18853,0,0,1,0,11,2021
1,AK,2304,5,CM,,2010,541748,0,0,2,0,11,2021
1,AK,2304,5,CO,,2010,37778,0,0,1,0,11,2021
1,AK,2304,5,CO,,2010,19192,0,0,2,0,11,2021
1,AK,2304,5,DF,,2010,24140,0,0,1,0,11,2021
1,AK,2304,5,DF,,2010,90444,0,0,2,0,11,2021
1,AK,2304,5,GT,,2010,71280,0,0,2,0,11,2021
1,AK,2304,5,JA,,2010,108740,0,0,1,0,11,2021
1,AK,2304,5,MX,,2010,176119,0,0,1,0,11,2021
1,AK,2304,5,MX,,2010,224223,0,0,2,0,11,2021
1,AK,2304,5,NL,,2010,142428,0,0,1,0,11,2021
1,AK,2304,5,OT,,2010,4257,0,0,1,0,11,2021
1,AK,2304,5,PU,,2010,5265,0,0,2,0,11,2021
1,AK,2304,5,QT,,2010,8057,0,0,2,0,11,2021
1,AK,2304,8,JA,,2010,3365,0,0,1,X,11,2021
1,AK,2305,5,CO,,2010,15660,0,0,2,0,11,2021
1,AK,2305,5,NL,,2010,2804,0,0,2,0,11,2021
1,AK,2305,5,OT,,2010,8676,0,0,2,0,11,2021
1,AK,2401,5,DG,,2010,17066,0,0,1,0,11,2021
1,AK,2401,5,DG,,2010,184394,0,0,2,0,11,2021
1,AK,2402,5,CH,,2010,13268,0,0,1,0,11,2021
1,AK,2506,5,BC,,2010,81958,0,0,1,0,11,2021
1,AK,2507,5,BC,,2010,28446,0,0,2,0,11,2021
1,AK,2604,5,SI,,2010,5425,0,0,2,0,11,2021
1,AK,3001,5,,XO,1220,3175,0,69,1,X,11,2021
1,AK,3004,5,,XC,1220,2464801,0,52375,1,X,11,2021
1,AK,3009,5,,XC,1220,434630,0,4957,1,X,11,2021
1,AK,3023,5,,XC,1220,268850,0,8767,1,X,11,2021
1,AK,30XX,3,,XC,1220,14329,1240,285,1,X,11,2021
1,AK,3101,5,,XC,1220,3512,0,77,1,X,11,2021
1,AK,3101,5,,XY,1220,34494,0,676,1,X,11,2021
1,AK,3103,5,,XC,1220,4368657,0,58271,1,X,11,2021
1,AK,3104,5,,XY,1220,1340834,0,7771,1,X,11,2021
1,AK,3104,5,,XY,1220,11112,0,218,2,X,11,2021
1,AK,3106,5,,XC,1220,1811672,0,35486,1,X,11,2021
1,AK,3126,5,,XY,1220,273943,0,3755,1,X,11,2021
1,AK,31XX,1,,XB,1220,223556,52496,3580,1,X,11,2021
1,AK,31XX,1,,XC,1220,54816359,45106007,79572,1,X,11,2021
1,AK,31XX,3,,XC,1220,101398,81,8867,1,X,11,2021
1,AK,3401,5,,XM,1220,72981,0,1747,1,X,11,2021
1,AK,3401,5,,XM,1220,11362,0,222,2,X,11,2021
1,AK,3501,3,,XA,1220,9370,54,183,1,X,11,2021
1,AK,3501,3,,XM,1220,9190,38,190,1,X,11,2021
1,AK,3801,5,,XO,1220,1362886,0,18627,1,X,11,2021
