TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,BC,,2010,28446,0,0,2,0,11,2021
1,AK,03,1,,XB,1220,223556,52496,3580,1,X,11,2021
1,AK,03,3,,XB,1220,655285,204070,14354,1,X,11,2021
1,AK,03,5,,XC,1220,2397534,0,50995,1,X,11,2021
1,AK,03,5,,XO,1220,77546,0,3580,1,X,11,2021
1,AK,03,5,,XY,1220,273943,0,3755,1,X,11,2021
1,AK,03,8,,XB,1220,2140647,0,46899,1,X,11,2021
1,AK,05,5,,XC,1220,64225,0,1258,1,X,11,2021
1,AK,08,5,CO,,2010,15660,0,0,2,0,11,2021
1,AK,15,5,,XC,1220,231370,0,8351,1,X,11,2021
1,AK,20,5,OT,,2010,8676,0,0,2,0,11,2021
1,AK,23,5,,XC,1220,116260,0,794,1,X,11,2021
1,AK,26,1,,XC,1220,54816359,45106007,79572,1,X,11,2021
1,AK,27,5,,XC,1220,6010188,0,91425,1,X,11,2021
1,AK,27,5,,XY,1220,46849,0,918,1,X,11,2021
1,AK,27,5,DF,,2010,68145,0,0,2,0,11,2021
1,AK,27,5,MX,,2010,2915,0,0,1,0,11,2021
1,AK,28,5,CH,,2010,25877,0,0,1,0,11,2021
1,AK,29,5,,XC,1220,31213,0,1193,1,X,11,2021
1,AK,34,5,CH,,2010,15360,0,0,1,0,11,2021
1,AK,34,5,MX,,2010,37611,0,0,1,0,11,2021
1,AK,38,5,MX,,2010,8691,0,0,2,0,11,2021
1,AK,39,5,,XB,1220,13027,0,1193,1,X,11,2021
1,AK,39,5,BC,,2010,70824,0,0,1,0,11,2021
1,AK,39,5,CO,,2010,19112,0,0,1,0,11,2021
1,AK,39,5,CO,,2010,19192,0,0,2,0,11,2021
1,AK,39,5,DG,,2010,2841,0,0,2,0,11,2021
1,AK,40,5,MX,,2010,5325,0,0,1,0,11,2021
1,AK,44,5,,XC,1220,26909,0,526,1,X,11,2021
1,AK,44,5,JA,,2010,34829,0,0,1,0,11,2021
1,AK,48,1,XX,,2010,23858,7727,0,1,1,11,2021
1,AK,54,5,AG,,2010,68303,0,0,1,0,11,2021
1,AK,59,5,CO,,2010,18666,0,0,1,0,11,2021
1,AK,59,5,DG,,2010,113638,0,0,2,0,11,2021
1,AK,63,3,,XC,1220,16808,1655,339,1,X,11,2021
1,AK,63,5,,XC,1220,37183,0,1409,1,X,11,2021
1,AK,63,5,,XO,1220,24421,0,2563,1,X,11,2021
1,AK,63,5,,XY,1220,7207,0,148,1,X,11,2021
1,AK,71,3,,XO,1220,1159092,23,4042,1,X,11,2021
1,AK,71,5,,XO,1220,1260919,0,12484,1,X,11,2021
1,AK,73,5,,XY,1220,11112,0,218,2,X,11,2021
1,AK,73,5,CH,,2010,13268,0,0,1,0,11,2021
1,AK,73,5,CM,,2010,18853,0,0,1,0,11,2021
1,AK,73,5,MX,,2010,120964,0,0,1,0,11,2021
1,AK,76,3,,XQ,1220,9579,2197,207,1,X,11,2021
1,AK,82,5,DF,,2010,24140,0,0,1,0,11,2021
1,AK,82,5,PU,,2010,5265,0,0,2,0,11,2021
1,AK,84,3,,XA,1220,3615,5,71,1,X,11,2021
1,AK,84,3,,XA,1220,12985,227,64,2,X,11,2021
1,AK,84,3,,XM,1220,4608,10,23,1,X,11,2021
1,AK,84,5,,XM,1220,52450,0,1136,1,X,11,2021
1,AK,84,5,,XY,1220,209832,0,754,1,X,11,2021
1,AK,84,5,CM,,2010,14950,0,0,2,0,11,2021
1,AK,84,5,DF,,2010,22299,0,0,2,0,11,2021
1,AK,84,5,MX,,2010,215532,0,0,2,0,11,2021
1,AK,84,5,NL,,2010,3711,0,0,1,0,11,2021
1,AK,84,5,NL,,2010,2804,0,0,2,0,11,2021
1,AK,84,5,OT,,2010,4257,0,0,1,0,11,2021
1,AK,84,5,SI,,2010,5425,0,0,2,0,11,2021
1,AK,85,3,,XA,1220,9370,54,183,1,X,11,2021
1,AK,85,3,,XC,1220,56141,15,4905,1,X,11,2021
1,AK,85,3,,XM,1220,4052,7,89,1,X,11,2021
1,AK,85,5,,XC,1220,24905,0,488,1,X,11,2021
1,AK,85,5,,XM,1220,11362,0,222,2,X,11,2021
1,AK,85,5,,XY,1220,1034917,0,4947,1,X,11,2021
1,AK,85,5,BC,,2010,11134,0,0,1,0,11,2021
1,AK,85,5,DG,,2010,17066,0,0,1,0,11,2021
1,AK,85,5,DG,,2010,67915,0,0,2,0,11,2021
1,AK,85,5,JA,,2010,73911,0,0,1,0,11,2021
1,AK,85,5,NL,,2010,34220,0,0,1,0,11,2021
1,AK,87,5,,XY,1220,11403,0,103,1,X,11,2021
1,AK,87,5,GT,,2010,71280,0,0,2,0,11,2021
1,AK,87,5,NL,,2010,101430,0,0,1,0,11,2021
1,AK,87,8,JA,,2010,3365,0,0,1,X,11,2021
1,AK,88,3,,XA,1220,4960,1,7,1,X,11,2021
1,AK,88,3,,XC,1220,60268,135,4663,1,X,11,2021
1,AK,88,3,,XC,1220,2503,9,36,2,X,11,2021
1,AK,88,3,,XM,1220,5138,31,101,1,X,11,2021
1,AK,88,3,,XO,1220,11072,24,235,1,X,11,2021
1,AK,88,3,,XQ,1220,3078,28,83,1,X,11,2021
1,AK,88,5,,XC,1220,332620,0,3351,1,X,11,2021
1,AK,88,5,,XM,1220,20531,0,611,1,X,11,2021
1,AK,88,5,,XO,1220,6330,0,137,1,X,11,2021
1,AK,88,5,,XY,1220,120920,0,2204,1,X,11,2021
1,AK,89,3,,XC,1220,3185,25,171,1,X,11,2021
1,AK,89,5,MX,,2010,9304,0,0,1,0,11,2021
1,AK,90,3,,XO,1220,4579,29,89,2,X,11,2021
1,AK,90,5,,XC,1220,79715,0,143,1,X,11,2021
1,AK,90,5,,XY,1220,6762,0,132,1,X,11,2021
1,AK,90,5,NL,,2010,3067,0,0,1,0,11,2021
1,AK,90,5,QT,,2010,8057,0,0,2,0,11,2021
1,AK,91,3,,XO,1220,8388,4,78,1,X,11,2021
1,AK,94,3,,XO,1220,2572,111,79,2,X,11,2021
1,AK,95,5,CM,,2010,526798,0,0,2,0,11,2021
1,AK,98,5,,XC,1220,11271,0,396,1,X,11,2021
1,AK,98,8,,XC,1220,2627,0,249,1,X,11,2021
1,AK,98,8,,XM,1220,1985,0,57,1,X,11,2021
1,AK,98,8,,XO,1220,1671,0,32,2,X,11,2021
1,AK,98,8,,XQ,1220,240,0,30,1,X,11,2021
1,AL,01,3,,XA,1220,36567,855,167,1,X,11,2021
1,AL,01,3,XX,,2010,708925,1237,0,1,0,11,2021
1,AL,01,5,,XO,1220,6039,0,118,1,X,11,2021
1,AL,02,5,,XC,1220,34633,0,679,1,X,11,2021
1,AL,02,5,,XO,1220,1034843,0,8568,1,X,11,2021
1,AL,02,5,BC,,2010,27714,0,0,1,0,11,2021
1,AL,02,5,CO,,2010,110581,0,0,1,0,11,2021
1,AL,02,5,JA,,2010,11368,0,0,1,0,11,2021
1,AL,02,5,MX,,2010,26531,0,0,1,0,11,2021
1,AL,02,5,QT,,2010,14356,0,0,1,0,11,2021
1,AL,02,5,TM,,2010,39600,0,0,1,1,11,2021
1,AL,03,5,,XO,1220,5866,0,186,1,X,11,2021
1,AL,03,5,,XQ,1220,2955,0,296,1,X,11,2021
1,AL,04,5,,XC,1220,248306,0,2993,1,X,11,2021
1,AL,04,5,,XM,1220,193236,0,3739,1,X,11,2021
1,AL,04,5,QT,,2010,414150,0,0,1,0,11,2021
1,AL,05,5,,XO,1220,37835,0,2716,1,X,11,2021
1,AL,06,5,,XO,1220,2808,0,54,2,X,11,2021
1,AL,07,5,BC,,2010,22785,0,0,2,0,11,2021
1,AL,09,5,,XA,1220,5085,0,428,1,X,11,2021
1,AL,09,5,,XC,1220,31374,0,614,1,X,11,2021
1,AL,12,5,,XB,1220,72740,0,10151,1,X,11,2021
1,AL,12,5,,XC,1220,90995,0,3189,1,X,11,2021
1,AL,12,5,,XO,1220,664063,0,76820,1,X,11,2021
1,AL,12,5,,XQ,1220,25550,0,3580,1,X,11,2021
1,AL,12,5,DF,,2010,68640,0,0,1,1,11,2021
1,AL,12,5,MX,,2010,380355,0,0,1,0,11,2021
1,AL,12,5,NL,,2010,94600,0,0,1,0,11,2021
1,AL,12,5,SI,,2010,25590,0,0,1,0,11,2021
1,AL,15,5,,XC,1220,17651,0,1833,1,X,11,2021
1,AL,15,5,,XM,1220,20281,0,397,1,X,11,2021
1,AL,15,5,,XO,1220,197600,0,10205,1,X,11,2021
1,AL,15,5,NL,,2010,29202,0,0,1,0,11,2021
1,AL,16,5,,XO,1220,82055,0,1274,1,X,11,2021
1,AL,17,1,XX,,2010,374000,994738,0,1,0,11,2021
1,AL,17,1,XX,,2010,728735,2178986,0,1,1,11,2021
1,AL,17,5,,XO,1220,14403,0,282,1,X,11,2021
1,AL,18,5,,XO,1220,95024,0,940,1,X,11,2021
1,AL,19,5,,XC,1220,72016,0,8016,1,X,11,2021
1,AL,19,5,,XM,1220,104805,0,10521,1,X,11,2021
1,AL,19,5,,XS,1220,79279,0,7836,1,X,11,2021
1,AL,20,5,,XO,1220,38325,0,1824,1,X,11,2021
1,AL,20,5,NL,,2010,16875,0,0,1,0,11,2021
1,AL,21,5,,XO,1220,99806,0,1955,1,X,11,2021
1,AL,22,5,DF,,2010,12356,0,0,1,0,11,2021
1,AL,22,5,MX,,2010,15142,0,0,1,0,11,2021
1,AL,23,5,,XO,1220,1255134,0,18143,1,X,11,2021
1,AL,23,5,JA,,2010,12584,0,0,1,0,11,2021
1,AL,23,6,,XA,1220,273013,0,5346,1,X,11,2021
1,AL,25,5,,XO,1220,5668,0,110,1,X,11,2021
1,AL,25,5,,XO,1220,263030,0,5154,2,X,11,2021
1,AL,26,6,NL,,2010,337589,0,0,1,0,11,2021
1,AL,27,1,XX,,2010,291151,189713,0,1,1,11,2021
1,AL,27,5,,XM,1220,52257,0,1975,1,X,11,2021
1,AL,27,5,,XO,1220,111838,0,5495,1,X,11,2021
1,AL,27,5,,XS,1220,73704,0,5145,1,X,11,2021
1,AL,27,6,AG,,2010,73893,0,0,1,0,11,2021
1,AL,27,6,CO,,2010,5391928,0,0,1,0,11,2021
1,AL,27,6,GT,,2010,36757,0,0,1,0,11,2021
1,AL,27,6,MX,,2010,104670,0,0,1,0,11,2021
1,AL,27,6,NL,,2010,912159,0,0,1,0,11,2021
1,AL,27,6,PU,,2010,33720,0,0,1,0,11,2021
1,AL,28,5,,XC,1220,25880,0,700,1,X,11,2021
1,AL,28,5,,XM,1220,42528,0,1226,1,X,11,2021
1,AL,28,5,,XO,1220,827454,0,35691,1,X,11,2021
1,AL,28,5,,XQ,1220,9041,0,230,1,X,11,2021
1,AL,28,5,,XS,1220,8795,0,302,1,X,11,2021
1,AL,28,5,,XS,1220,19427,0,381,2,X,11,2021
1,AL,28,5,BC,,2010,17178,0,0,1,0,11,2021
1,AL,28,5,MX,,2010,455828,0,0,1,0,11,2021
1,AL,28,5,NL,,2010,90836,0,0,1,0,11,2021
1,AL,28,6,,XA,1220,76653,0,369,1,X,11,2021
1,AL,28,6,NL,,2010,8159874,0,0,1,0,11,2021
1,AL,29,1,XX,,2010,132469,100363,0,1,1,11,2021
1,AL,29,3,,XO,1220,89985,20431,4036,1,X,11,2021
1,AL,29,3,,XQ,1220,2528,9,183,1,X,11,2021
1,AL,29,5,,XA,1220,163767,0,2895,1,X,11,2021
1,AL,29,5,,XC,1220,97027,0,4620,1,X,11,2021
1,AL,29,5,,XM,1220,129740,0,7331,1,X,11,2021
1,AL,29,5,,XO,1220,2330062,0,90467,1,X,11,2021
1,AL,29,5,,XO,1220,4399,0,85,2,X,11,2021
1,AL,29,5,,XS,1220,100651,0,1972,1,X,11,2021
1,AL,29,5,BC,,2010,5958,0,0,1,0,11,2021
1,AL,29,5,MX,,2010,140274,0,0,1,0,11,2021
1,AL,29,5,NL,,2010,113596,0,0,1,0,11,2021
1,AL,29,6,,XA,1220,78732,0,3749,1,X,11,2021
1,AL,29,6,,XC,1220,157222,0,7486,1,X,11,2021
1,AL,29,6,,XM,1220,646474,0,29081,1,X,11,2021
1,AL,29,6,,XO,1220,362872,0,17279,1,X,11,2021
1,AL,29,6,,XQ,1220,328184,0,10740,1,X,11,2021
1,AL,29,6,,XS,1220,77481,0,1989,1,X,11,2021
1,AL,30,3,,XO,1220,165764,364,2832,1,X,11,2021
1,AL,30,3,XX,,2010,8361,5,0,1,0,11,2021
1,AL,30,5,,XQ,1220,6416,0,125,1,X,11,2021
1,AL,31,5,,XO,1220,172057,0,1411,1,X,11,2021
1,AL,31,5,,XO,1220,8737,0,171,2,X,11,2021
1,AL,31,5,,XQ,1220,32191,0,631,2,X,11,2021
1,AL,31,6,,XB,1220,67884,0,672,1,X,11,2021
1,AL,31,6,,XO,1220,1803338,0,17468,1,X,11,2021
1,AL,31,6,,XQ,1220,816132,0,8072,1,X,11,2021
1,AL,31,6,JA,,2010,103836,0,0,1,0,11,2021
1,AL,32,3,,XO,1220,6123,114,119,1,X,11,2021
1,AL,32,5,,XA,1220,3208,0,62,1,X,11,2021
1,AL,32,5,,XO,1220,1112472,0,16744,1,X,11,2021
1,AL,32,5,,XQ,1220,5592,0,124,1,X,11,2021
1,AL,32,5,GT,,2010,3103,0,0,1,0,11,2021
1,AL,32,5,MX,,2010,68940,0,0,1,0,11,2021
1,AL,32,5,MX,,2010,103291,0,0,1,1,11,2021
1,AL,32,5,NL,,2010,69548,0,0,1,0,11,2021
1,AL,33,5,,XO,1220,20614,0,380,1,X,11,2021
1,AL,33,5,,XO,1220,5180,0,101,2,X,11,2021
1,AL,33,5,MX,,2010,83877,0,0,1,0,11,2021
1,AL,34,3,,XC,1220,8545,57,78,1,X,11,2021
1,AL,34,3,XX,,2010,16929,967,0,1,0,11,2021
1,AL,34,3,XX,,2010,8218,419,0,2,0,11,2021
1,AL,34,5,,XB,1220,7809,0,79,1,X,11,2021
1,AL,34,5,,XM,1220,8358,0,457,1,X,11,2021
1,AL,34,5,,XO,1220,120582,0,2473,1,X,11,2021
1,AL,34,5,,XO,1220,10039,0,619,2,X,11,2021
1,AL,34,5,,XQ,1220,14934,0,547,1,X,11,2021
1,AL,34,5,AG,,2010,3761,0,0,1,0,11,2021
1,AL,34,5,CO,,2010,4963,0,0,1,0,11,2021
1,AL,34,5,CO,,2010,5799,0,0,2,0,11,2021
1,AL,34,5,GT,,2010,10188,0,0,1,1,11,2021
1,AL,34,5,MX,,2010,7641,0,0,1,0,11,2021
1,AL,34,5,NL,,2010,97085,0,0,1,0,11,2021
1,AL,34,6,MX,,2010,113096,0,0,1,1,11,2021
1,AL,35,5,,XO,1220,30071,0,1469,1,X,11,2021
1,AL,35,5,BC,,2010,34560,0,0,1,0,11,2021
1,AL,35,5,CO,,2010,31293,0,0,1,0,11,2021
1,AL,35,5,MX,,2010,21431,0,0,1,0,11,2021
1,AL,36,5,,XO,1220,13736,0,1112,1,X,11,2021
1,AL,38,1,XX,,2010,52119,60937,0,1,1,11,2021
1,AL,38,3,,XC,1220,43821,10,803,1,X,11,2021
1,AL,38,3,,XO,1220,7691,1142,211,1,X,11,2021
1,AL,38,3,XX,,2010,6240,1,0,1,0,11,2021
1,AL,38,5,,XA,1220,76159,0,3580,1,X,11,2021
1,AL,38,5,,XC,1220,153799,0,2997,1,X,11,2021
1,AL,38,5,,XM,1220,47714,0,2276,1,X,11,2021
1,AL,38,5,,XO,1220,665272,0,35745,1,X,11,2021
1,AL,38,5,,XO,1220,25325,0,737,2,X,11,2021
1,AL,38,5,,XQ,1220,4756,0,74,1,X,11,2021
1,AL,38,5,,XS,1220,511565,0,8314,1,X,11,2021
1,AL,38,5,AG,,2010,9840,0,0,1,0,11,2021
1,AL,38,5,CO,,2010,226867,0,0,1,0,11,2021
1,AL,38,5,JA,,2010,10281,0,0,1,0,11,2021
1,AL,38,5,MO,,2010,36558,0,0,1,0,11,2021
1,AL,38,5,MX,,2010,276137,0,0,1,0,11,2021
1,AL,38,5,NL,,2010,32260,0,0,1,0,11,2021
1,AL,38,5,OT,,2010,24608,0,0,1,0,11,2021
1,AL,38,6,,XA,1220,711147,0,22822,1,X,11,2021
1,AL,38,6,,XO,1220,672840,0,11241,1,X,11,2021
1,AL,38,6,JA,,2010,170368,0,0,1,0,11,2021
1,AL,39,3,,XC,1220,7267,454,142,1,X,11,2021
1,AL,39,3,,XO,1220,9287,129,1133,1,X,11,2021
1,AL,39,3,,XQ,1220,16838,463,446,1,X,11,2021
1,AL,39,3,,XQ,1220,9730,37,39,2,X,11,2021
1,AL,39,3,XX,,2010,7202,101,0,1,0,11,2021
1,AL,39,3,XX,,2010,22414,28,0,2,0,11,2021
1,AL,39,5,,XA,1220,45753,0,3619,1,X,11,2021
