TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XQ,1220,100552,0,995,2,X,10,2021
1,AK,18XX,1,XX,,2010,25782,6848,0,1,1,10,2021
1,AK,20XX,3,,XA,1220,37823,968,581,1,X,10,2021
1,AK,20XX,3,,XA,1220,13267,17,80,2,X,10,2021
1,AK,20XX,3,,XC,1220,10981,858,495,1,X,10,2021
1,AK,20XX,3,,XO,1220,4489,513,289,1,X,10,2021
1,AK,20XX,3,,XQ,1220,2676,1,51,1,X,10,2021
1,AK,2304,5,CH,,2010,13538,0,0,1,0,10,2021
1,AK,2304,5,HG,,2010,6087,0,0,1,0,10,2021
1,AK,2304,5,JA,,2010,73449,0,0,1,0,10,2021
1,AK,2304,5,JA,,2010,22833,0,0,2,0,10,2021
1,AK,2304,5,MX,,2010,88922,0,0,1,0,10,2021
1,AK,2304,5,MX,,2010,10255,0,0,2,0,10,2021
1,AK,2304,5,NL,,2010,158246,0,0,1,0,10,2021
1,AK,2304,5,NL,,2010,7848,0,0,2,0,10,2021
1,AK,2304,5,PU,,2010,8446,0,0,2,0,10,2021
1,AK,2304,5,SL,,2010,66952,0,0,2,0,10,2021
1,AK,2304,5,TM,,2010,5362,0,0,1,0,10,2021
1,AK,2305,5,CO,,2010,4876,0,0,2,0,10,2021
1,AK,2305,5,DF,,2010,172266,0,0,1,0,10,2021
1,AK,2305,5,JA,,2010,78975,0,0,1,0,10,2021
1,AK,2305,5,TB,,2010,16500,0,0,1,0,10,2021
1,AK,2305,5,TM,,2010,12683,0,0,1,0,10,2021
1,AK,2305,5,TM,,2010,77251,0,0,2,0,10,2021
1,AK,2506,5,BC,,2010,71695,0,0,1,0,10,2021
1,AK,3004,5,,XC,1220,3105987,0,48268,1,X,10,2021
1,AK,3004,5,,XC,1220,51231,0,676,2,X,10,2021
1,AK,3009,5,,XC,1220,263591,0,2724,1,X,10,2021
1,AK,3019,5,,XC,1220,1272942,0,24958,1,X,10,2021
1,AK,3023,5,,XC,1220,228815,0,2006,1,X,10,2021
1,AK,3101,5,,XC,1220,17202,0,375,1,X,10,2021
1,AK,3103,5,,XC,1220,5949134,0,97864,1,X,10,2021
1,AK,3103,5,,XY,1220,8117,0,159,1,X,10,2021
1,AK,3104,5,,XA,1220,61770,0,0,1,X,10,2021
1,AK,3104,5,,XY,1220,948015,0,13072,1,X,10,2021
1,AK,3106,5,,XC,1220,1185999,0,23236,1,X,10,2021
1,AK,3126,5,,XY,1220,3320668,0,46269,1,X,10,2021
1,AK,31XX,1,,XB,1220,231128,52496,3168,1,X,10,2021
1,AK,31XX,1,,XC,1220,247747769,110562734,345161,1,X,10,2021
1,AK,31XX,3,,XC,1220,118243,708,10720,1,X,10,2021
1,AK,31XX,3,XX,,2010,3488,10,0,2,0,10,2021
1,AK,3302,5,,XC,1220,1507397,0,1608,1,X,10,2021
1,AK,3310,5,,XA,1220,68135,0,895,1,X,10,2021
1,AK,3310,5,,XY,1220,149132,0,16,1,X,10,2021
1,AK,3401,5,,XM,1220,14558,0,88,1,X,10,2021
1,AK,34XX,3,,XM,1220,43691,1045,135,1,X,10,2021
1,AK,3501,3,,XA,1220,7561,1386,134,1,X,10,2021
1,AK,3801,5,,XO,1220,85573,0,2520,1,X,10,2021
1,AK,4101,3,,XO,1220,2553136,45,8904,1,X,10,2021
1,AK,4504,3,,XB,1220,270263,74095,7310,1,X,10,2021
1,AK,52XX,3,XX,,2010,8336,33,0,1,0,10,2021
1,AK,70XX,5,,XC,1220,11904,0,418,1,X,10,2021
1,AK,70XX,8,,XA,1220,2090,0,72,1,X,10,2021
1,AK,70XX,8,,XC,1220,2222,0,204,1,X,10,2021
1,AK,70XX,8,,XQ,1220,260,0,8,1,X,10,2021
1,AL,0106,5,,XB,1220,931885,0,20306,1,X,10,2021
1,AL,0106,5,,XB,1220,109922,0,3673,2,X,10,2021
1,AL,0115,5,,XB,1220,246201,0,7912,1,X,10,2021
1,AL,0115,5,,XB,1220,13970,0,404,2,X,10,2021
1,AL,0212,5,,XQ,1220,27902,0,0,1,X,10,2021
1,AL,0701,5,,XO,1220,17667,0,346,1,X,10,2021
1,AL,0704,5,,XO,1220,2618,0,51,1,X,10,2021
1,AL,0708,5,,XM,1220,24834,0,402,1,X,10,2021
1,AL,0708,5,,XO,1220,9380035,0,132745,1,X,10,2021
1,AL,0708,5,,XO,1220,767927,0,11667,2,X,10,2021
1,AL,0708,5,,XQ,1220,140762,0,3785,1,X,10,2021
1,AL,0708,5,,XQ,1220,21664,0,424,2,X,10,2021
1,AL,0712,5,,XA,1220,4764,0,637,1,X,10,2021
1,AL,0712,5,,XM,1220,28603,0,2572,1,X,10,2021
1,AL,0712,5,,XO,1220,119106,0,8169,1,X,10,2021
1,AL,0712,5,,XO,1220,3872,0,402,2,X,10,2021
1,AL,0712,5,,XQ,1220,1941420,0,65422,1,X,10,2021
1,AL,0712,5,,XQ,1220,2865219,0,7369,2,X,10,2021
1,AL,0712,6,,XO,1220,708874,0,26815,1,X,10,2021
1,AL,0712,6,,XQ,1220,226889,0,7238,1,X,10,2021
1,AL,07XX,3,,XQ,1220,22864,86,288,1,X,10,2021
1,AL,07XX,3,,XQ,1220,3701,1,80,2,X,10,2021
1,AL,0901,5,,XO,1220,37870221,0,418588,1,X,10,2021
1,AL,0901,5,,XO,1220,686743,0,19032,2,X,10,2021
1,AL,0901,5,,XQ,1220,142294,0,4305,1,X,10,2021
1,AL,0901,5,,XQ,1220,25407,0,131,2,X,10,2021
1,AL,0901,6,,XA,1220,156512,0,7238,1,X,10,2021
1,AL,0901,6,,XO,1220,247336,0,3320,1,X,10,2021
1,AL,0901,6,,XO,1220,82531,0,989,2,X,10,2021
1,AL,0901,6,,XQ,1220,32910,0,645,1,X,10,2021
1,AL,17XX,1,XX,,2010,30749205,1730205,0,1,0,10,2021
1,AL,17XX,3,XX,,2010,10876,24,0,2,0,10,2021
1,AL,18XX,1,XX,,2010,253000,672911,0,1,0,10,2021
1,AL,18XX,1,XX,,2010,210472,173877,0,1,1,10,2021
1,AL,19XX,1,XX,,2010,38306945,55585812,0,1,0,10,2021
1,AL,19XX,1,XX,,2010,5714183,11661486,0,1,1,10,2021
1,AL,19XX,1,XX,,2010,2020079,2509436,0,2,0,10,2021
1,AL,2006,3,,XO,1220,4808,2,94,1,X,10,2021
1,AL,20XX,3,,XA,1220,479602,5111,3465,1,X,10,2021
1,AL,20XX,3,,XA,1220,466103,524,5934,2,X,10,2021
1,AL,20XX,3,,XC,1220,116785,822,1222,1,X,10,2021
1,AL,20XX,3,,XC,1220,21191,63,276,2,X,10,2021
1,AL,20XX,3,,XM,1220,12590,123,228,1,X,10,2021
1,AL,20XX,3,,XO,1220,911023,2985,3706,1,X,10,2021
1,AL,20XX,3,,XO,1220,318122,461,2707,2,X,10,2021
1,AL,20XX,3,,XQ,1220,2859158,6907,14812,1,X,10,2021
1,AL,20XX,3,,XQ,1220,260336,4115,2077,2,X,10,2021
1,AL,20XX,3,XX,,2010,924169,2085,0,1,0,10,2021
1,AL,20XX,3,XX,,2010,169756,1049,0,2,0,10,2021
1,AL,20XX,8,,XA,1220,18312,0,358,1,X,10,2021
1,AL,20XX,8,,XQ,1220,17668,0,98,1,X,10,2021
1,AL,2301,5,CO,,2010,102159,0,0,1,0,10,2021
1,AL,2301,5,NL,,2010,236258,0,0,1,0,10,2021
1,AL,2301,5,ZA,,2010,412590,0,0,1,0,10,2021
1,AL,2301,5,ZA,,2010,67888,0,0,2,0,10,2021
1,AL,2301,8,TM,,2010,13408,0,0,1,X,10,2021
1,AL,2303,5,CO,,2010,704228,0,0,1,0,10,2021
1,AL,2303,5,CO,,2010,48226,0,0,2,0,10,2021
1,AL,2303,5,DG,,2010,315001,0,0,1,0,10,2021
1,AL,2303,5,HG,,2010,479325,0,0,1,0,10,2021
1,AL,2303,5,MX,,2010,1047984,0,0,1,0,10,2021
1,AL,2303,5,MX,,2010,6175,0,0,2,0,10,2021
1,AL,2303,6,CO,,2010,3326474,0,0,1,0,10,2021
1,AL,2303,6,MX,,2010,1716037,0,0,1,0,10,2021
1,AL,2303,6,NL,,2010,308464,0,0,1,0,10,2021
1,AL,2304,3,XX,,2010,39302,311,0,1,0,10,2021
1,AL,2304,3,XX,,2010,10393,67,0,2,0,10,2021
1,AL,2304,5,AG,,2010,2684400,0,0,1,0,10,2021
1,AL,2304,5,AG,,2010,63894,0,0,2,0,10,2021
1,AL,2304,5,CH,,2010,9732,0,0,1,0,10,2021
1,AL,2304,5,CH,,2010,37470,0,0,2,0,10,2021
1,AL,2304,5,CM,,2010,375962,0,0,1,0,10,2021
1,AL,2304,5,CO,,2010,1676509,0,0,1,0,10,2021
1,AL,2304,5,CO,,2010,302355,0,0,1,1,10,2021
1,AL,2304,5,CO,,2010,19112,0,0,2,0,10,2021
1,AL,2304,5,DF,,2010,877135,0,0,1,0,10,2021
1,AL,2304,5,DF,,2010,105259,0,0,2,0,10,2021
1,AL,2304,5,DG,,2010,59386,0,0,1,0,10,2021
1,AL,2304,5,GT,,2010,11927140,0,0,1,0,10,2021
1,AL,2304,5,GT,,2010,36704,0,0,1,1,10,2021
1,AL,2304,5,GT,,2010,257917,0,0,2,0,10,2021
1,AL,2304,5,GT,,2010,30875,0,0,2,1,10,2021
1,AL,2304,5,HG,,2010,15409319,0,0,1,0,10,2021
1,AL,2304,5,JA,,2010,708534,0,0,1,0,10,2021
1,AL,2304,5,JA,,2010,23843,0,0,1,1,10,2021
1,AL,2304,5,MI,,2010,153865,0,0,1,0,10,2021
1,AL,2304,5,MO,,2010,191112,0,0,1,0,10,2021
1,AL,2304,5,MX,,2010,10177400,0,0,1,0,10,2021
1,AL,2304,5,MX,,2010,23513,0,0,1,1,10,2021
1,AL,2304,5,MX,,2010,215211,0,0,2,0,10,2021
1,AL,2304,5,MX,,2010,6854,0,0,2,1,10,2021
1,AL,2304,5,NL,,2010,36387034,0,0,1,0,10,2021
1,AL,2304,5,NL,,2010,434102,0,0,1,1,10,2021
1,AL,2304,5,NL,,2010,466161,0,0,2,0,10,2021
1,AL,2304,5,OT,,2010,1383769,0,0,1,0,10,2021
1,AL,2304,5,OT,,2010,526080,0,0,2,0,10,2021
1,AL,2304,5,PU,,2010,1130160,0,0,1,0,10,2021
1,AL,2304,5,PU,,2010,570613,0,0,1,1,10,2021
1,AL,2304,5,PU,,2010,139298,0,0,2,0,10,2021
1,AL,2304,5,QR,,2010,131040,0,0,1,0,10,2021
