TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,NL,,2010,67420,0,0,1,0,10,2021
1,AK,03,1,,XB,1220,231128,52496,3168,1,X,10,2021
1,AK,03,3,,XB,1220,156292,49396,3424,1,X,10,2021
1,AK,03,3,,XC,1220,2766,325,80,1,X,10,2021
1,AK,03,5,,XC,1220,3040424,0,48050,1,X,10,2021
1,AK,03,5,,XC,1220,46537,0,636,2,X,10,2021
1,AK,03,5,,XO,1220,77800,0,1704,1,X,10,2021
1,AK,03,5,,XY,1220,3320668,0,46269,1,X,10,2021
1,AK,05,3,,XB,1220,113971,24699,3886,1,X,10,2021
1,AK,05,5,,XC,1220,129223,0,2531,1,X,10,2021
1,AK,07,5,TM,,2010,31979,0,0,2,0,10,2021
1,AK,15,5,,XC,1220,100023,0,722,1,X,10,2021
1,AK,21,5,,XC,1220,48483,0,950,1,X,10,2021
1,AK,23,5,,XC,1220,289901,0,1526,1,X,10,2021
1,AK,26,1,,XC,1220,245376823,94221733,321688,1,X,10,2021
1,AK,27,5,,XC,1220,7128417,0,120485,1,X,10,2021
1,AK,27,5,,XY,1220,94159,0,1844,1,X,10,2021
1,AK,27,5,NL,,2010,18926,0,0,1,0,10,2021
1,AK,28,5,CH,,2010,13538,0,0,1,0,10,2021
1,AK,29,5,MX,,2010,41730,0,0,1,0,10,2021
1,AK,30,5,BC,,2010,9830,0,0,1,0,10,2021
1,AK,32,5,TM,,2010,5362,0,0,1,0,10,2021
1,AK,34,5,MX,,2010,37088,0,0,1,0,10,2021
1,AK,38,5,,XY,1220,6881,0,174,1,X,10,2021
1,AK,39,1,XX,,2010,13662,1437,0,1,1,10,2021
1,AK,39,3,,XC,1220,3502,397,416,1,X,10,2021
1,AK,39,5,BC,,2010,19623,0,0,1,0,10,2021
1,AK,44,1,,XC,1220,2370946,16341001,23473,1,X,10,2021
1,AK,44,5,,XC,1220,27743,0,543,1,X,10,2021
1,AK,44,5,JA,,2010,10920,0,0,1,0,10,2021
1,AK,48,1,XX,,2010,12120,5411,0,1,1,10,2021
1,AK,48,5,BC,,2010,42242,0,0,1,0,10,2021
1,AK,48,5,CO,,2010,4876,0,0,2,0,10,2021
1,AK,48,5,TM,,2010,12683,0,0,1,0,10,2021
1,AK,48,5,TM,,2010,45272,0,0,2,0,10,2021
1,AK,49,5,MX,,2010,7141,0,0,1,0,10,2021
1,AK,63,3,,XA,1220,7254,829,353,1,X,10,2021
1,AK,63,3,,XC,1220,5329,530,153,1,X,10,2021
1,AK,63,3,,XM,1220,3973,455,79,1,X,10,2021
1,AK,63,3,,XO,1220,4489,513,289,1,X,10,2021
1,AK,63,5,,XO,1220,7773,0,816,1,X,10,2021
1,AK,68,3,,XC,1220,15783,111,1432,1,X,10,2021
1,AK,70,5,,XC,1220,17861,0,349,1,X,10,2021
1,AK,71,3,,XO,1220,2553136,45,8904,1,X,10,2021
1,AK,72,5,JA,,2010,40176,0,0,1,0,10,2021
1,AK,73,5,JA,,2010,19358,0,0,1,0,10,2021
1,AK,73,5,NL,,2010,7848,0,0,2,0,10,2021
1,AK,74,5,MX,,2010,10255,0,0,2,0,10,2021
1,AK,82,5,JA,,2010,2995,0,0,1,0,10,2021
1,AK,82,5,PU,,2010,3862,0,0,2,0,10,2021
1,AK,84,3,,XA,1220,4040,28,60,1,X,10,2021
