TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,20XX,1,,XB,1220,20605818,7776129,461333,1,X,09,2021
1,AK,20XX,3,,XA,1220,22517,484,756,1,X,09,2021
1,AK,20XX,3,,XC,1220,32349,785,1232,1,X,09,2021
1,AK,20XX,3,,XM,1220,16824,1645,187,1,X,09,2021
1,AK,20XX,3,,XO,1220,40818,946,1137,1,X,09,2021
1,AK,20XX,3,,XQ,1220,18982,3215,255,1,X,09,2021
1,AK,20XX,3,,XQ,1220,22248,70,134,2,X,09,2021
1,AK,2301,5,OT,,2010,15046,0,0,1,0,09,2021
1,AK,2303,6,MX,,2010,214363,0,0,1,0,09,2021
1,AK,2304,5,CH,,2010,26823,0,0,1,0,09,2021
1,AK,2304,5,CM,,2010,216812,0,0,1,0,09,2021
1,AK,2304,5,CM,,2010,52844,0,0,2,0,09,2021
1,AK,2304,5,JA,,2010,26574,0,0,1,0,09,2021
1,AK,2304,5,JA,,2010,15920,0,0,2,0,09,2021
1,AK,2304,5,MX,,2010,10800,0,0,1,0,09,2021
1,AK,2304,5,MX,,2010,49945,0,0,2,0,09,2021
1,AK,2304,5,NL,,2010,494853,0,0,1,0,09,2021
1,AK,2304,5,NL,,2010,1209992,0,0,2,0,09,2021
1,AK,2304,5,PU,,2010,127467,0,0,1,0,09,2021
1,AK,2304,5,TM,,2010,43704,0,0,1,0,09,2021
1,AK,2304,6,MX,,2010,30095,0,0,1,0,09,2021
1,AK,2304,6,NL,,2010,109753,0,0,1,0,09,2021
1,AK,2305,5,CO,,2010,128349,0,0,2,0,09,2021
1,AK,2305,5,TM,,2010,40758,0,0,1,0,09,2021
1,AK,2305,5,VE,,2010,2988,0,0,1,0,09,2021
1,AK,2401,5,CH,,2010,47054,0,0,1,0,09,2021
1,AK,2506,5,BC,,2010,7000,0,0,1,0,09,2021
1,AK,2506,5,BS,,2010,4743,0,0,1,0,09,2021
1,AK,2604,6,JA,,2010,45472,0,0,1,0,09,2021
1,AK,3004,5,,XC,1220,9291723,0,154641,1,X,09,2021
1,AK,3004,5,,XC,1220,128088,0,2392,2,X,09,2021
1,AK,3004,5,,XY,1220,21662,0,644,2,X,09,2021
1,AK,3009,5,,XC,1220,391566,0,3846,1,X,09,2021
1,AK,3019,5,,XC,1220,64355,0,636,1,X,09,2021
1,AK,3023,5,,XC,1220,152902,0,1544,1,X,09,2021
1,AK,3101,5,,XC,1220,31952,0,697,1,X,09,2021
1,AK,3103,5,,XC,1220,5114160,0,98243,1,X,09,2021
1,AK,3103,5,,XY,1220,49999,0,980,1,X,09,2021
1,AK,3104,5,,XA,1220,8581,0,244,2,X,09,2021
1,AK,3104,5,,XY,1220,1263036,0,13030,1,X,09,2021
1,AK,3104,5,,XY,1220,379873,0,7832,2,X,09,2021
1,AK,3106,5,,XC,1220,1879620,0,24819,1,X,09,2021
1,AK,3126,5,,XY,1220,2194540,0,30511,1,X,09,2021
1,AK,31XX,1,,XC,1220,109209322,52516654,97599,1,X,09,2021
1,AK,31XX,3,,XC,1220,165075,148,14651,1,X,09,2021
1,AK,31XX,3,,XY,1220,132568,140,772,1,X,09,2021
1,AK,3302,5,,XC,1220,177069,0,1753,1,X,09,2021
1,AK,3310,5,,XA,1220,47839,0,308,1,X,09,2021
1,AK,3401,5,,XY,1220,15114,0,296,1,X,09,2021
1,AK,34XX,3,,XO,1220,262949,236,6713,1,X,09,2021
1,AK,3501,3,,XA,1220,31471,87,617,1,X,09,2021
1,AK,35XX,3,,XA,1220,3641,27,299,1,X,09,2021
1,AK,3801,5,,XO,1220,7746,0,813,1,X,09,2021
1,AK,3802,5,,XC,1220,61798,0,847,1,X,09,2021
1,AK,3802,5,,XO,1220,87506,0,2216,1,X,09,2021
1,AK,3802,5,,XO,1220,4865,0,92,2,X,09,2021
1,AK,4504,3,,XB,1220,2979613,451224,65271,1,X,09,2021
1,AK,4504,8,,XB,1220,611925,0,13406,1,X,09,2021
1,AK,5203,1,XX,,2010,8075,64,0,1,1,09,2021
1,AK,70XX,5,,XC,1220,3586,0,126,1,X,09,2021
1,AK,70XX,8,,XA,1220,317,0,38,1,X,09,2021
1,AK,70XX,8,,XC,1220,5034,0,287,1,X,09,2021
1,AK,70XX,8,,XM,1220,3073,0,57,1,X,09,2021
1,AK,70XX,8,,XO,1220,1369,0,149,2,X,09,2021
1,AK,70XX,8,,XQ,1220,29,0,0,1,X,09,2021
