TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,,XB,1220,19794737,7179835,433678,1,X,09,2021
1,AK,03,3,,XB,1220,2979613,451224,65271,1,X,09,2021
1,AK,03,5,,XC,1220,9363163,0,156477,1,X,09,2021
1,AK,03,5,,XC,1220,118071,0,2314,2,X,09,2021
1,AK,03,5,,XY,1220,2383811,0,32995,1,X,09,2021
1,AK,03,8,,XB,1220,611925,0,13406,1,X,09,2021
1,AK,05,1,,XB,1220,811081,596294,27655,1,X,09,2021
1,AK,05,5,,XO,1220,52643,0,1533,1,X,09,2021
1,AK,05,5,,XY,1220,60564,0,1186,1,X,09,2021
1,AK,08,5,CO,,2010,128349,0,0,2,0,09,2021
1,AK,15,5,,XC,1220,697356,0,6872,1,X,09,2021
1,AK,23,6,JA,,2010,45472,0,0,1,0,09,2021
1,AK,26,1,,XC,1220,107361879,38467878,79309,1,X,09,2021
1,AK,27,5,,XC,1220,6350001,0,122450,1,X,09,2021
1,AK,27,5,,XY,1220,98044,0,1754,1,X,09,2021
1,AK,27,5,OT,,2010,15046,0,0,1,0,09,2021
1,AK,27,5,PU,,2010,66295,0,0,1,0,09,2021
1,AK,28,5,CH,,2010,26823,0,0,1,0,09,2021
1,AK,34,6,MX,,2010,12324,0,0,1,0,09,2021
1,AK,38,5,JA,,2010,5300,0,0,1,0,09,2021
1,AK,39,5,CH,,2010,47054,0,0,1,0,09,2021
1,AK,39,5,CM,,2010,52844,0,0,2,0,09,2021
1,AK,39,5,MX,,2010,12570,0,0,2,0,09,2021
1,AK,39,5,NL,,2010,7370,0,0,1,0,09,2021
1,AK,39,5,NL,,2010,15045,0,0,2,0,09,2021
1,AK,39,5,TM,,2010,43704,0,0,1,0,09,2021
1,AK,39,5,VE,,2010,2988,0,0,1,0,09,2021
1,AK,44,1,,XC,1220,1847443,14048776,18290,1,X,09,2021
1,AK,44,5,,XC,1220,42961,0,336,1,X,09,2021
1,AK,47,5,JA,,2010,21274,0,0,1,0,09,2021
1,AK,47,6,MX,,2010,214363,0,0,1,0,09,2021
1,AK,48,5,BC,,2010,7000,0,0,1,0,09,2021
1,AK,48,5,CM,,2010,35856,0,0,1,0,09,2021
1,AK,48,5,NL,,2010,17850,0,0,2,0,09,2021
1,AK,48,5,TM,,2010,40758,0,0,1,0,09,2021
1,AK,48,6,NL,,2010,109753,0,0,1,0,09,2021
1,AK,55,5,PU,,2010,61172,0,0,1,0,09,2021
1,AK,61,5,BS,,2010,4743,0,0,1,0,09,2021
1,AK,63,3,,XA,1220,3457,395,363,1,X,09,2021
1,AK,63,3,,XC,1220,8921,716,145,1,X,09,2021
1,AK,63,3,,XM,1220,12763,1459,109,1,X,09,2021
1,AK,63,3,,XO,1220,5998,685,509,1,X,09,2021
1,AK,63,5,,XO,1220,29329,0,1236,1,X,09,2021
1,AK,71,3,,XC,1220,7580,2,78,1,X,09,2021
1,AK,73,5,,XY,1220,6874,0,152,2,X,09,2021
1,AK,73,5,NL,,2010,8575,0,0,1,0,09,2021
1,AK,73,5,NL,,2010,23043,0,0,2,0,09,2021
1,AK,82,5,,XY,1220,4661,0,91,1,X,09,2021
1,AK,84,3,,XA,1220,8146,42,159,1,X,09,2021
1,AK,84,3,,XQ,1220,5055,14,59,1,X,09,2021
1,AK,84,5,,XA,1220,33879,0,39,1,X,09,2021
1,AK,84,5,,XA,1220,8581,0,244,2,X,09,2021
1,AK,84,5,,XC,1220,664408,0,497,1,X,09,2021
1,AK,84,5,,XO,1220,4865,0,92,2,X,09,2021
1,AK,84,5,,XY,1220,915312,0,7505,1,X,09,2021
1,AK,84,5,,XY,1220,394661,0,8324,2,X,09,2021
1,AK,84,5,CM,,2010,180956,0,0,1,0,09,2021
1,AK,84,5,NL,,2010,4968,0,0,2,0,09,2021
1,AK,84,6,MX,,2010,17771,0,0,1,0,09,2021
1,AK,85,1,XX,,2010,8075,64,0,1,1,09,2021
1,AK,85,3,,XA,1220,3641,27,299,1,X,09,2021
1,AK,85,3,,XC,1220,13420,9,1100,1,X,09,2021
1,AK,85,3,,XQ,1220,5055,18,59,1,X,09,2021
1,AK,85,3,,XQ,1220,7685,35,67,2,X,09,2021
1,AK,85,5,,XA,1220,11000,0,215,1,X,09,2021
1,AK,85,5,,XC,1220,10017,0,78,2,X,09,2021
1,AK,85,5,,XO,1220,13280,0,260,1,X,09,2021
1,AK,85,5,MX,,2010,10800,0,0,1,0,09,2021
1,AK,85,5,NL,,2010,269110,0,0,1,0,09,2021
1,AK,85,5,NL,,2010,855585,0,0,2,0,09,2021
1,AK,87,5,JA,,2010,15920,0,0,2,0,09,2021
1,AK,87,5,NL,,2010,24397,0,0,1,0,09,2021
1,AK,88,3,,XA,1220,4124,34,78,1,X,09,2021
1,AK,88,3,,XC,1220,107920,184,9302,1,X,09,2021
1,AK,88,3,,XO,1220,34820,261,628,1,X,09,2021
1,AK,88,3,,XQ,1220,8872,3183,137,1,X,09,2021
1,AK,88,3,,XY,1220,132568,140,772,1,X,09,2021
1,AK,88,5,,XY,1220,60297,0,1286,1,X,09,2021
1,AK,89,5,,XA,1220,2960,0,54,1,X,09,2021
1,AK,90,3,,XA,1220,38261,100,773,1,X,09,2021
1,AK,90,3,,XC,1220,59583,22,5258,1,X,09,2021
1,AK,90,3,,XO,1220,262949,236,6713,1,X,09,2021
1,AK,90,3,,XQ,1220,14563,35,67,2,X,09,2021
1,AK,90,5,,XC,1220,47256,0,394,1,X,09,2021
1,AK,90,5,MX,,2010,37375,0,0,2,0,09,2021
1,AK,94,3,,XM,1220,4061,186,78,1,X,09,2021
1,AK,94,5,NL,,2010,185401,0,0,1,0,09,2021
1,AK,94,5,NL,,2010,293501,0,0,2,0,09,2021
1,AK,98,5,,XC,1220,3586,0,126,1,X,09,2021
1,AK,98,8,,XA,1220,317,0,38,1,X,09,2021
1,AK,98,8,,XC,1220,5034,0,287,1,X,09,2021
1,AK,98,8,,XM,1220,3073,0,57,1,X,09,2021
1,AK,98,8,,XO,1220,1369,0,149,2,X,09,2021
1,AK,98,8,,XQ,1220,29,0,0,1,X,09,2021
1,AK,98,8,,XY,1220,1194,0,11,1,X,09,2021
1,AL,01,3,XX,,2010,1080308,2252,0,1,0,09,2021
1,AL,01,5,,XA,1220,5138,0,118,1,X,09,2021
1,AL,01,5,,XO,1220,3674,0,197,1,X,09,2021
1,AL,01,5,,XO,1220,23694,0,78,2,X,09,2021
1,AL,01,5,,XQ,1220,14234,0,279,1,X,09,2021
1,AL,02,5,,XO,1220,144019,0,4655,1,X,09,2021
1,AL,02,5,CO,,2010,40730,0,0,1,0,09,2021
1,AL,03,5,,XO,1220,22073,0,609,1,X,09,2021
1,AL,04,5,,XC,1220,516818,0,5794,1,X,09,2021
1,AL,04,5,QT,,2010,150600,0,0,1,0,09,2021
1,AL,05,5,,XC,1220,4752,0,93,1,X,09,2021
1,AL,05,5,,XO,1220,33478,0,2394,1,X,09,2021
1,AL,05,5,,XS,1220,4774,0,93,1,X,09,2021
1,AL,06,5,,XM,1220,3299,0,64,1,X,09,2021
1,AL,06,5,,XO,1220,4875,0,95,1,X,09,2021
1,AL,07,5,,XO,1220,15095,0,1483,1,X,09,2021
1,AL,09,5,,XA,1220,5291,0,445,1,X,09,2021
1,AL,09,5,,XC,1220,56646,0,1109,1,X,09,2021
1,AL,09,5,,XO,1220,7625,0,149,1,X,09,2021
1,AL,09,6,,XC,1220,54791,0,1072,1,X,09,2021
1,AL,12,5,,XB,1220,23569,0,3315,1,X,09,2021
1,AL,12,5,,XC,1220,86995,0,3818,1,X,09,2021
1,AL,12,5,,XO,1220,143558,0,9023,1,X,09,2021
1,AL,12,5,MX,,2010,552761,0,0,1,0,09,2021
1,AL,12,5,NL,,2010,110000,0,0,1,0,09,2021
1,AL,15,5,,XM,1220,20150,0,395,1,X,09,2021
1,AL,15,5,,XO,1220,227186,0,16627,1,X,09,2021
1,AL,15,5,,XS,1220,23494,0,460,1,X,09,2021
1,AL,15,5,MX,,2010,5757,0,0,1,0,09,2021
1,AL,15,5,NL,,2010,91985,0,0,1,0,09,2021
1,AL,15,6,QT,,2010,4756406,0,0,1,0,09,2021
1,AL,16,5,,XO,1220,82114,0,812,1,X,09,2021
1,AL,17,1,XX,,2010,330000,877746,0,1,0,09,2021
1,AL,17,1,XX,,2010,932198,2781671,0,1,1,09,2021
1,AL,18,5,,XO,1220,48174,0,288,1,X,09,2021
1,AL,19,5,,XA,1220,47574,0,3382,1,X,09,2021
1,AL,19,5,,XM,1220,36696,0,4470,1,X,09,2021
1,AL,19,5,,XO,1220,16228,0,1493,1,X,09,2021
1,AL,19,5,,XS,1220,42778,0,3801,1,X,09,2021
1,AL,20,5,,XC,1220,97342,0,3646,1,X,09,2021
1,AL,20,5,,XO,1220,11320,0,221,1,X,09,2021
1,AL,21,5,,XO,1220,276762,0,5107,1,X,09,2021
1,AL,23,5,,XA,1220,14615,0,286,1,X,09,2021
1,AL,23,5,,XO,1220,1140675,0,20317,1,X,09,2021
1,AL,23,5,JA,,2010,8936,0,0,1,0,09,2021
1,AL,23,6,,XA,1220,191995,0,3758,1,X,09,2021
1,AL,25,5,,XO,1220,8069,0,156,1,X,09,2021
1,AL,25,5,,XO,1220,26752,0,524,2,X,09,2021
1,AL,26,6,NL,,2010,562163,0,0,1,0,09,2021
1,AL,27,1,XX,,2010,435887,284293,0,1,1,09,2021
1,AL,27,5,,XO,1220,31384,0,3069,1,X,09,2021
1,AL,27,6,CO,,2010,754409,0,0,1,0,09,2021
1,AL,27,6,DF,,2010,64537,0,0,1,0,09,2021
1,AL,27,6,GT,,2010,61997,0,0,1,0,09,2021
1,AL,27,6,HG,,2010,65536,0,0,1,0,09,2021
1,AL,27,6,NL,,2010,554647,0,0,1,0,09,2021
1,AL,27,6,PU,,2010,98925,0,0,1,0,09,2021
1,AL,28,3,XX,,2010,10696,36,0,1,0,09,2021
1,AL,28,5,,XC,1220,84742,0,1675,1,X,09,2021
1,AL,28,5,,XM,1220,23827,0,988,1,X,09,2021
1,AL,28,5,,XO,1220,763430,0,23953,1,X,09,2021
1,AL,28,5,,XQ,1220,132375,0,1973,1,X,09,2021
1,AL,28,5,,XS,1220,101039,0,659,1,X,09,2021
1,AL,28,5,BC,,2010,40540,0,0,1,0,09,2021
1,AL,28,5,DF,,2010,14136,0,0,1,0,09,2021
1,AL,28,5,MX,,2010,800789,0,0,1,0,09,2021
1,AL,28,5,NL,,2010,146476,0,0,1,0,09,2021
1,AL,28,6,,XA,1220,10947,0,214,1,X,09,2021
1,AL,28,6,DF,,2010,29546,0,0,1,0,09,2021
1,AL,28,6,NL,,2010,8254564,0,0,1,0,09,2021
1,AL,29,1,XX,,2010,379175,342557,0,1,1,09,2021
