TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,09XX,3,,XC,1220,7091,36,644,1,X,04,2022
1,AK,19XX,1,XX,,2010,39775,33470,0,1,0,04,2022
1,AK,20XX,3,,XA,1220,11775,425,438,1,X,04,2022
1,AK,20XX,3,,XA,1220,11103,17,37,2,X,04,2022
1,AK,20XX,3,,XC,1220,45731,550,3548,1,X,04,2022
1,AK,20XX,3,,XC,1220,7931,12,7,2,X,04,2022
1,AK,20XX,3,,XM,1220,11673,252,442,1,X,04,2022
1,AK,20XX,3,,XO,1220,105973,2853,1124,1,X,04,2022
1,AK,20XX,3,,XQ,1220,31961,97,620,1,X,04,2022
1,AK,20XX,3,,XQ,1220,30571,44,173,2,X,04,2022
1,AK,20XX,8,,XO,1220,26102,0,158,1,X,04,2022
1,AK,2303,5,CO,,2010,152882,0,0,1,0,04,2022
1,AK,2303,6,MX,,2010,119749,0,0,1,0,04,2022
1,AK,2304,5,CM,,2010,51654,0,0,2,0,04,2022
1,AK,2304,5,CO,,2010,19550,0,0,1,0,04,2022
1,AK,2304,5,CO,,2010,12329,0,0,2,0,04,2022
1,AK,2304,5,JA,,2010,92996,0,0,1,0,04,2022
1,AK,2304,5,JA,,2010,12071,0,0,2,0,04,2022
1,AK,2304,5,MX,,2010,90600,0,0,1,0,04,2022
1,AK,2304,5,MX,,2010,12272,0,0,2,0,04,2022
1,AK,2304,5,NL,,2010,384712,0,0,1,0,04,2022
1,AK,2304,5,NL,,2010,20432,0,0,2,0,04,2022
1,AK,2304,5,PU,,2010,18744,0,0,1,0,04,2022
1,AK,2304,5,QT,,2010,19682,0,0,1,0,04,2022
1,AK,2304,5,SL,,2010,47145,0,0,1,0,04,2022
1,AK,2304,5,TM,,2010,65340,0,0,1,0,04,2022
1,AK,2304,5,VE,,2010,59260,0,0,1,0,04,2022
1,AK,2304,6,MX,,2010,145429,0,0,1,0,04,2022
1,AK,2304,8,MX,,2010,4000,0,0,1,X,04,2022
1,AK,2305,5,TM,,2010,25260,0,0,2,0,04,2022
1,AK,2305,8,TM,,2010,10000,0,0,1,X,04,2022
1,AK,2401,5,DG,,2010,15946,0,0,1,0,04,2022
1,AK,2401,5,DG,,2010,172065,0,0,2,0,04,2022
1,AK,2506,5,BC,,2010,1612757,0,0,1,0,04,2022
1,AK,2506,5,BC,,2010,41636,0,0,2,0,04,2022
1,AK,2601,5,MX,,2010,357155,0,0,1,1,04,2022
1,AK,2604,5,NL,,2010,10156,0,0,2,0,04,2022
1,AK,3004,5,,XC,1220,1992781,0,40154,1,X,04,2022
1,AK,3004,5,,XC,1220,5668,0,30,2,X,04,2022
1,AK,3004,5,,XO,1220,12381,0,582,1,X,04,2022
1,AK,3009,5,,XC,1220,222719,0,1352,1,X,04,2022
1,AK,3023,5,,XC,1220,307342,0,3988,1,X,04,2022
1,AK,30XX,3,,XC,1220,3109,155,264,1,X,04,2022
1,AK,3101,5,,XC,1220,38462,0,842,1,X,04,2022
1,AK,3103,5,,XC,1220,5013685,0,57643,1,X,04,2022
1,AK,3103,5,,XC,1220,40461,0,820,2,X,04,2022
1,AK,3104,5,,XY,1220,491244,0,4397,1,X,04,2022
1,AK,3104,5,,XY,1220,1323064,0,14883,2,X,04,2022
1,AK,3106,5,,XC,1220,1797606,0,35222,1,X,04,2022
1,AK,3126,5,,XY,1220,965085,0,13779,1,X,04,2022
1,AK,3126,8,,XO,1220,1377731,0,203,1,X,04,2022
1,AK,31XX,1,,XC,1220,37060402,13129536,16750,1,X,04,2022
1,AK,31XX,3,,XC,1220,73489,149,6571,1,X,04,2022
1,AK,31XX,3,,XY,1220,25304,486,2,1,X,04,2022
1,AK,31XX,3,,XY,1220,39857,16,3,2,X,04,2022
1,AK,31XX,3,XX,,2010,3245,1,0,2,0,04,2022
1,AK,3310,5,,XA,1220,3997134,0,4675,1,X,04,2022
1,AK,3401,5,,XM,1220,15879,0,158,1,X,04,2022
1,AK,3403,5,,XS,1220,5963,0,6,1,X,04,2022
1,AK,34XX,3,,XM,1220,3153,361,79,1,X,04,2022
1,AK,3801,5,,XO,1220,123342,0,6378,1,X,04,2022
1,AK,3802,5,,XO,1220,6672,0,302,1,X,04,2022
