TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,PU,,2010,18744,0,0,1,0,04,2022
1,AK,03,5,,XC,1220,1612821,0,34563,1,X,04,2022
1,AK,03,5,,XO,1220,87587,0,3563,1,X,04,2022
1,AK,03,5,,XY,1220,869273,0,11914,1,X,04,2022
1,AK,05,5,,XC,1220,44406,0,439,1,X,04,2022
1,AK,15,5,,XC,1220,325123,0,4302,1,X,04,2022
1,AK,16,5,,XC,1220,161589,0,3959,1,X,04,2022
1,AK,18,5,SL,,2010,47145,0,0,1,0,04,2022
1,AK,19,5,,XC,1220,4459,0,212,1,X,04,2022
1,AK,19,5,,XM,1220,11251,0,45,1,X,04,2022
1,AK,23,5,,XC,1220,341720,0,2163,1,X,04,2022
1,AK,25,5,,XO,1220,10328,0,147,1,X,04,2022
1,AK,26,1,,XC,1220,35376156,4637858,76,1,X,04,2022
1,AK,27,5,,XC,1220,6800016,0,92618,1,X,04,2022
1,AK,27,5,,XC,1220,34045,0,667,2,X,04,2022
1,AK,27,5,NL,,2010,82592,0,0,1,0,04,2022
1,AK,27,6,MX,,2010,119749,0,0,1,0,04,2022
1,AK,28,5,,XY,1220,3235,0,28,1,X,04,2022
1,AK,28,5,VE,,2010,59260,0,0,1,0,04,2022
1,AK,32,5,NL,,2010,17050,0,0,2,0,04,2022
1,AK,33,5,CM,,2010,9352,0,0,2,0,04,2022
1,AK,33,5,MX,,2010,46238,0,0,1,1,04,2022
1,AK,34,5,NL,,2010,14392,0,0,1,0,04,2022
1,AK,38,5,NL,,2010,20288,0,0,1,0,04,2022
1,AK,38,5,TM,,2010,6124,0,0,2,0,04,2022
1,AK,39,3,,XY,1220,16344,279,2,1,X,04,2022
1,AK,39,5,,XO,1220,2924,0,58,2,X,04,2022
1,AK,39,5,BC,,2010,1277602,0,0,1,0,04,2022
1,AK,39,5,DG,,2010,3728,0,0,1,0,04,2022
1,AK,39,5,DG,,2010,31012,0,0,2,0,04,2022
1,AK,39,5,JA,,2010,7721,0,0,2,0,04,2022
1,AK,39,5,TM,,2010,65340,0,0,1,0,04,2022
1,AK,39,6,MX,,2010,145429,0,0,1,0,04,2022
1,AK,44,1,,XC,1220,1684246,8491678,16674,1,X,04,2022
1,AK,44,5,,XO,1220,12381,0,582,1,X,04,2022
1,AK,47,5,NL,,2010,45905,0,0,1,0,04,2022
1,AK,48,5,MX,,2010,19204,0,0,1,0,04,2022
1,AK,49,5,CO,,2010,12329,0,0,2,0,04,2022
1,AK,52,3,,XC,1220,3109,155,264,1,X,04,2022
1,AK,56,5,NL,,2010,3382,0,0,2,0,04,2022
1,AK,57,3,,XY,1220,4421,205,0,1,X,04,2022
1,AK,59,5,CO,,2010,12942,0,0,1,0,04,2022
1,AK,60,5,MX,,2010,23259,0,0,1,1,04,2022
1,AK,61,5,MX,,2010,102233,0,0,1,1,04,2022
1,AK,63,3,,XA,1220,5307,416,267,1,X,04,2022
1,AK,63,3,,XC,1220,3249,372,95,1,X,04,2022
1,AK,63,3,,XM,1220,14826,613,521,1,X,04,2022
1,AK,63,3,,XO,1220,21136,2417,79,1,X,04,2022
1,AK,63,5,,XM,1220,4628,0,113,1,X,04,2022
1,AK,63,5,,XO,1220,25427,0,2668,1,X,04,2022
1,AK,63,5,MX,,2010,75000,0,0,1,1,04,2022
1,AK,64,5,MX,,2010,4997,0,0,1,1,04,2022
1,AK,70,5,,XC,1220,6416,0,153,2,X,04,2022
1,AK,70,5,CO,,2010,3920,0,0,1,0,04,2022
1,AK,70,5,TM,,2010,19136,0,0,2,0,04,2022
1,AK,71,5,,XY,1220,29130,0,101,1,X,04,2022
1,AK,72,1,XX,,2010,39775,33470,0,1,0,04,2022
1,AK,72,5,CO,,2010,152882,0,0,1,0,04,2022
1,AK,73,3,,XO,1220,10308,344,418,1,X,04,2022
1,AK,73,5,BC,,2010,16798,0,0,1,0,04,2022
1,AK,73,5,BC,,2010,4359,0,0,2,0,04,2022
1,AK,73,5,CO,,2010,2688,0,0,1,0,04,2022
1,AK,76,5,BC,,2010,13237,0,0,1,0,04,2022
1,AK,76,5,BC,,2010,16952,0,0,2,0,04,2022
1,AK,82,5,JA,,2010,4350,0,0,2,0,04,2022
1,AK,82,5,MX,,2010,3400,0,0,1,1,04,2022
1,AK,83,5,MX,,2010,12272,0,0,2,0,04,2022
1,AK,84,3,,XA,1220,3627,1,107,1,X,04,2022
1,AK,84,3,,XC,1220,12861,52,1285,1,X,04,2022
1,AK,84,3,,XO,1220,304008,238,3128,1,X,04,2022
1,AK,84,3,,XQ,1220,7108,6,145,1,X,04,2022
1,AK,84,5,,XA,1220,167939,0,3292,1,X,04,2022
1,AK,84,5,,XC,1220,70449,0,776,1,X,04,2022
1,AK,84,5,,XC,1220,5668,0,30,2,X,04,2022
1,AK,84,5,,XS,1220,5963,0,6,1,X,04,2022
1,AK,84,5,,XY,1220,289962,0,3055,1,X,04,2022
1,AK,84,5,,XY,1220,591425,0,7516,2,X,04,2022
1,AK,84,5,BC,,2010,8955,0,0,1,0,04,2022
1,AK,84,5,CM,,2010,42302,0,0,2,0,04,2022
1,AK,84,5,JA,,2010,7340,0,0,1,0,04,2022
1,AK,84,5,MX,,2010,71396,0,0,1,0,04,2022
1,AK,84,5,NL,,2010,4029,0,0,1,0,04,2022
1,AK,84,5,NL,,2010,10156,0,0,2,0,04,2022
1,AK,85,3,,XO,1220,3484,1,26,1,X,04,2022
1,AK,85,3,,XQ,1220,3555,3,59,1,X,04,2022
1,AK,85,3,,XQ,1220,27795,35,67,2,X,04,2022
1,AK,85,5,,XA,1220,3787067,0,1187,1,X,04,2022
1,AK,85,5,,XY,1220,14328,0,139,1,X,04,2022
1,AK,85,5,,XY,1220,5347,0,45,2,X,04,2022
1,AK,85,5,BC,,2010,195383,0,0,1,0,04,2022
1,AK,85,5,BC,,2010,20325,0,0,2,0,04,2022
1,AK,85,5,DG,,2010,12218,0,0,1,0,04,2022
1,AK,85,5,DG,,2010,132397,0,0,2,0,04,2022
1,AK,85,5,MX,,2010,88722,0,0,1,1,04,2022
1,AK,85,5,QT,,2010,19682,0,0,1,0,04,2022
1,AK,86,5,,XY,1220,6578,0,129,2,X,04,2022
1,AK,87,5,NL,,2010,217506,0,0,1,0,04,2022
1,AK,87,8,MX,,2010,4000,0,0,1,X,04,2022
1,AK,87,8,TM,,2010,10000,0,0,1,X,04,2022
1,AK,88,3,,XA,1220,2841,8,64,1,X,04,2022
1,AK,88,3,,XC,1220,110201,311,9383,1,X,04,2022
1,AK,88,3,,XO,1220,69504,76,529,1,X,04,2022
1,AK,88,3,,XQ,1220,16787,83,357,1,X,04,2022
1,AK,88,3,,XY,1220,4539,2,0,1,X,04,2022
1,AK,88,3,,XY,1220,39857,16,3,2,X,04,2022
1,AK,88,3,XX,,2010,3245,1,0,2,0,04,2022
1,AK,88,5,,XC,1220,12012,0,169,1,X,04,2022
1,AK,88,5,,XO,1220,3307,0,237,1,X,04,2022
1,AK,88,5,,XY,1220,135856,0,1921,1,X,04,2022
1,AK,88,5,,XY,1220,11131,0,218,2,X,04,2022
1,AK,90,3,,XA,1220,11103,17,37,2,X,04,2022
1,AK,90,3,,XC,1220,7931,12,7,2,X,04,2022
1,AK,90,3,,XO,1220,54704,8,473,1,X,04,2022
1,AK,90,3,,XO,1220,9646,22,189,2,X,04,2022
