TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,XX,,2010,1842633,388262,0,1,1,08,2022
1,AK,03,5,,XC,1220,3799364,0,75496,1,X,08,2022
1,AK,03,5,,XY,1220,2548039,0,34920,1,X,08,2022
1,AK,05,5,,XC,1220,23965,0,387,1,X,08,2022
1,AK,05,5,,XY,1220,151461,0,2155,1,X,08,2022
1,AK,07,5,GT,,2010,35816,0,0,1,0,08,2022
1,AK,15,5,,XC,1220,1494604,0,14789,1,X,08,2022
1,AK,15,5,,XC,1220,122008,0,1207,2,X,08,2022
1,AK,16,5,,XC,1220,8734496,0,295349,1,X,08,2022
1,AK,23,5,,XC,1220,331498,0,3010,1,X,08,2022
1,AK,23,5,,XO,1220,43104,0,886,1,X,08,2022
1,AK,26,1,,XC,1220,194400194,67628948,309663,1,X,08,2022
1,AK,27,5,,XC,1220,11450774,0,118347,1,X,08,2022
1,AK,27,5,SO,,2010,65940,0,0,1,0,08,2022
1,AK,32,5,,XC,1220,5973,0,116,1,X,08,2022
1,AK,34,5,SO,,2010,4060,0,0,1,0,08,2022
1,AK,38,5,JA,,2010,2650,0,0,1,0,08,2022
1,AK,38,5,TM,,2010,4600,0,0,1,0,08,2022
1,AK,38,5,TM,,2010,28644,0,0,2,0,08,2022
1,AK,39,5,,XO,1220,14269,0,1548,1,X,08,2022
1,AK,39,5,,XY,1220,87962,0,870,1,X,08,2022
1,AK,39,5,BC,,2010,2670,0,0,1,0,08,2022
1,AK,39,5,JA,,2010,16390,0,0,2,0,08,2022
1,AK,39,5,SL,,2010,10392,0,0,1,0,08,2022
1,AK,39,5,SO,,2010,46224,0,0,1,0,08,2022
1,AK,44,1,,XC,1220,3144954,11175958,31137,1,X,08,2022
1,AK,44,5,,XC,1220,24214,0,387,1,X,08,2022
1,AK,44,5,MX,,2010,96417,0,0,1,0,08,2022
1,AK,49,5,,XC,1220,2660,0,90,1,X,08,2022
1,AK,49,5,CO,,2010,5304,0,0,2,0,08,2022
1,AK,63,3,,XC,1220,4983,570,71,1,X,08,2022
1,AK,63,3,,XM,1220,4845,554,183,1,X,08,2022
1,AK,63,3,,XO,1220,5724,654,70,1,X,08,2022
1,AK,63,5,,XM,1220,3168,0,85,1,X,08,2022
1,AK,63,5,,XO,1220,34092,0,3577,1,X,08,2022
1,AK,69,5,QT,,2010,294538,0,0,1,0,08,2022
1,AK,70,3,,XQ,1220,24431,11,584,2,X,08,2022
1,AK,71,3,,XO,1220,853700,16,2977,1,X,08,2022
1,AK,72,5,NL,,2010,39420,0,0,1,0,08,2022
1,AK,73,5,,XC,1220,134465,0,1331,1,X,08,2022
1,AK,73,5,,XY,1220,17348,0,361,1,X,08,2022
1,AK,73,5,SL,,2010,21975,0,0,1,0,08,2022
1,AK,76,5,MX,,2010,31714,0,0,2,0,08,2022
1,AK,83,3,,XY,1220,5259,205,0,2,X,08,2022
1,AK,83,3,XX,,2010,4400,3,0,1,0,08,2022
1,AK,84,1,,XB,1220,5594,454,610,1,X,08,2022
1,AK,84,3,,XC,1220,3710,16,387,1,X,08,2022
1,AK,84,3,,XO,1220,30262,58,574,1,X,08,2022
1,AK,84,3,,XQ,1220,2566,7,71,1,X,08,2022
1,AK,84,3,,XY,1220,23830,596,3,2,X,08,2022
1,AK,84,5,,XA,1220,403603,0,7655,1,X,08,2022
1,AK,84,5,,XO,1220,110662,0,1069,1,X,08,2022
1,AK,84,5,,XS,1220,131372,0,2575,1,X,08,2022
1,AK,84,5,,XY,1220,109208,0,2495,1,X,08,2022
1,AK,84,5,,XY,1220,1448159,0,18247,2,X,08,2022
1,AK,84,5,CM,,2010,49609,0,0,2,0,08,2022
1,AK,84,5,CO,,2010,9700,0,0,1,0,08,2022
1,AK,84,5,NL,,2010,25783,0,0,1,0,08,2022
1,AK,84,5,NL,,2010,4627,0,0,2,0,08,2022
1,AK,84,5,SL,,2010,25358,0,0,1,0,08,2022
1,AK,85,3,,XA,1220,10724,124,329,1,X,08,2022
1,AK,85,3,,XC,1220,9302,38,50,1,X,08,2022
1,AK,85,3,,XC,1220,18276,220,89,2,X,08,2022
1,AK,85,3,,XQ,1220,10467,75,259,1,X,08,2022
1,AK,85,3,,XY,1220,43290,72,4,1,X,08,2022
1,AK,85,3,,XY,1220,4771,47,0,2,X,08,2022
1,AK,85,5,,XC,1220,43510,0,852,1,X,08,2022
1,AK,85,5,,XM,1220,3377,0,309,1,X,08,2022
1,AK,85,5,SL,,2010,18259,0,0,1,0,08,2022
1,AK,85,5,SL,,2010,3687,0,0,2,0,08,2022
1,AK,87,5,,XY,1220,10252,0,201,1,X,08,2022
1,AK,87,5,,XY,1220,5193,0,230,2,X,08,2022
1,AK,87,5,CO,,2010,11190,0,0,2,0,08,2022
1,AK,87,5,NL,,2010,17765,0,0,1,0,08,2022
1,AK,87,8,TM,,2010,3620,0,0,1,X,08,2022
1,AK,88,3,,XA,1220,5675,89,44,1,X,08,2022
1,AK,88,3,,XC,1220,89931,237,7720,1,X,08,2022
1,AK,88,3,,XM,1220,3176,17,77,1,X,08,2022
