TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,AK,0115,5,,XB,1220,1,X,2022,31837,0,3236
1,AK,01XX,3,,XQ,1220,1,X,2022,15428,2,16
1,AK,0701,5,,XO,1220,1,X,2022,2564,0,50
1,AK,0712,5,,XQ,1220,1,X,2022,30563,0,293
1,AK,0712,5,,XY,1220,1,X,2022,11216,0,1223
1,AK,07XX,3,,XO,1220,1,X,2022,16554,5,1872
1,AK,0901,5,,XO,1220,1,X,2022,34083,0,1688
1,AK,0901,5,,XO,1220,2,X,2022,12765,0,168
1,AK,09XX,3,,XC,1220,1,X,2022,7091,36,644
1,AK,09XX,3,,XO,1220,1,X,2022,2568,4,65
1,AK,18XX,1,XX,,2010,1,1,2022,16594,63,0
1,AK,19XX,1,XX,,2010,1,0,2022,139775,62492,0
1,AK,2006,3,,XC,1220,2,X,2022,3863,115,183
1,AK,20XX,3,,XA,1220,1,X,2022,543149,5746,13340
1,AK,20XX,3,,XA,1220,2,X,2022,213867,819,3798
1,AK,20XX,3,,XC,1220,1,X,2022,835484,29598,55076
1,AK,20XX,3,,XC,1220,2,X,2022,110340,486,1332
1,AK,20XX,3,,XM,1220,1,X,2022,194828,5456,2248
1,AK,20XX,3,,XM,1220,2,X,2022,14273,10,148
1,AK,20XX,3,,XO,1220,1,X,2022,516740,10888,10590
1,AK,20XX,3,,XO,1220,2,X,2022,109997,230,1817
1,AK,20XX,3,,XQ,1220,1,X,2022,555551,10866,5561
1,AK,20XX,3,,XQ,1220,2,X,2022,221535,3651,1619
1,AK,20XX,3,XX,,2010,1,0,2022,4400,3,0
1,AK,20XX,8,,XO,1220,1,X,2022,26102,0,158
1,AK,20XX,8,,XQ,1220,1,X,2022,70437,0,78
1,AK,2301,5,MO,,2010,1,0,2022,47844,0,0
1,AK,2301,5,MX,,2010,1,0,2022,10458,0,0
1,AK,2301,5,NL,,2010,1,0,2022,28655,0,0
1,AK,2301,8,TM,,2010,1,X,2022,2525,0,0
1,AK,2303,5,CO,,2010,1,0,2022,203176,0,0
1,AK,2303,5,CO,,2010,2,0,2022,29348,0,0
1,AK,2303,6,CO,,2010,1,0,2022,113471,0,0
1,AK,2303,6,MX,,2010,1,0,2022,360069,0,0
1,AK,2304,5,AG,,2010,1,0,2022,40774,0,0
1,AK,2304,5,BS,,2010,1,0,2022,11438,0,0
1,AK,2304,5,BS,,2010,2,0,2022,28692,0,0
1,AK,2304,5,CH,,2010,1,0,2022,40926,0,0
1,AK,2304,5,CL,,2010,1,0,2022,189396,0,0
1,AK,2304,5,CM,,2010,1,0,2022,496576,0,0
1,AK,2304,5,CM,,2010,2,0,2022,1071148,0,0
1,AK,2304,5,CO,,2010,1,0,2022,146305,0,0
1,AK,2304,5,CO,,2010,2,0,2022,90248,0,0
1,AK,2304,5,DF,,2010,1,0,2022,201667,0,0
1,AK,2304,5,DG,,2010,1,0,2022,37848,0,0
1,AK,2304,5,DG,,2010,2,0,2022,3749,0,0
1,AK,2304,5,GT,,2010,1,0,2022,1030094,0,0
1,AK,2304,5,GT,,2010,2,0,2022,149000,0,0
1,AK,2304,5,HG,,2010,1,0,2022,59297,0,0
1,AK,2304,5,JA,,2010,1,0,2022,661906,0,0
1,AK,2304,5,JA,,2010,2,0,2022,93372,0,0
1,AK,2304,5,MO,,2010,1,0,2022,47908,0,0
1,AK,2304,5,MX,,2010,1,0,2022,2526159,0,0
1,AK,2304,5,MX,,2010,1,1,2022,5850,0,0
1,AK,2304,5,MX,,2010,2,0,2022,228195,0,0
1,AK,2304,5,NL,,2010,1,0,2022,5859327,0,0
1,AK,2304,5,NL,,2010,1,1,2022,4720,0,0
1,AK,2304,5,NL,,2010,2,0,2022,133835,0,0
1,AK,2304,5,PU,,2010,1,0,2022,128269,0,0
1,AK,2304,5,PU,,2010,2,0,2022,165519,0,0
1,AK,2304,5,QT,,2010,1,0,2022,657513,0,0
1,AK,2304,5,QT,,2010,2,0,2022,266414,0,0
1,AK,2304,5,SI,,2010,1,0,2022,207992,0,0
1,AK,2304,5,SL,,2010,1,0,2022,920156,0,0
1,AK,2304,5,SL,,2010,2,0,2022,71711,0,0
1,AK,2304,5,TL,,2010,2,0,2022,44983,0,0
1,AK,2304,5,TM,,2010,1,0,2022,269352,0,0
1,AK,2304,5,TM,,2010,2,0,2022,12395,0,0
1,AK,2304,5,VE,,2010,1,0,2022,59260,0,0
1,AK,2304,6,MX,,2010,1,0,2022,236422,0,0
1,AK,2304,6,NL,,2010,1,0,2022,159868,0,0
1,AK,2304,6,PU,,2010,1,0,2022,31323,0,0
1,AK,2304,6,QT,,2010,1,0,2022,52775,0,0
1,AK,2304,6,VE,,2010,1,0,2022,161865,0,0
1,AK,2304,8,MX,,2010,1,X,2022,31740,0,0
1,AK,2304,8,NL,,2010,1,X,2022,15208,0,0
1,AK,2304,8,TM,,2010,1,X,2022,7303,0,0
1,AK,2304,8,ZA,,2010,1,X,2022,3850,0,0
1,AK,2305,5,CO,,2010,1,0,2022,89254,0,0
1,AK,2305,5,CO,,2010,2,0,2022,259730,0,0
1,AK,2305,5,DF,,2010,1,0,2022,4697,0,0
1,AK,2305,5,DF,,2010,2,0,2022,414559,0,0
1,AK,2305,5,GT,,2010,1,0,2022,35816,0,0
1,AK,2305,5,GT,,2010,2,0,2022,19750,0,0
1,AK,2305,5,JA,,2010,2,0,2022,132038,0,0
1,AK,2305,5,MI,,2010,2,0,2022,14540,0,0
1,AK,2305,5,MX,,2010,1,0,2022,22207,0,0
1,AK,2305,5,NL,,2010,1,0,2022,55791,0,0
1,AK,2305,5,NL,,2010,2,0,2022,21754,0,0
1,AK,2305,5,SI,,2010,1,0,2022,51732,0,0
1,AK,2305,5,TB,,2010,1,0,2022,41599,0,0
1,AK,2305,5,TM,,2010,1,0,2022,201799,0,0
1,AK,2305,5,TM,,2010,2,0,2022,145888,0,0
1,AK,2305,8,TM,,2010,1,X,2022,37862,0,0
1,AK,2309,5,TM,,2010,1,0,2022,365961,0,0
1,AK,2310,5,JA,,2010,1,0,2022,24915,0,0
1,AK,2401,5,DG,,2010,1,0,2022,15946,0,0
1,AK,2401,5,DG,,2010,2,0,2022,172065,0,0
1,AK,2401,5,NL,,2010,1,0,2022,2820,0,0
1,AK,2402,5,CH,,2010,1,0,2022,6476,0,0
1,AK,2402,6,CH,,2010,2,0,2022,258903,0,0
1,AK,2402,6,JA,,2010,1,0,2022,28793,0,0
1,AK,2404,8,CH,,2010,1,X,2022,23658,0,0
