TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,AG,,2010,31320,0,0,1,0,12,2022
1,AK,03,3,,XA,1220,2513,35,34,1,X,12,2022
1,AK,03,5,,XC,1220,1154900,0,18497,1,X,12,2022
1,AK,10,5,JA,,2010,21420,0,0,1,0,12,2022
1,AK,10,5,TM,,2010,365961,0,0,1,0,12,2022
1,AK,12,5,NL,,2010,51690,0,0,1,0,12,2022
1,AK,12,5,PU,,2010,28640,0,0,1,0,12,2022
1,AK,15,5,,XC,1220,311865,0,2485,1,X,12,2022
1,AK,23,5,,XC,1220,730151,0,5572,1,X,12,2022
1,AK,23,5,,XO,1220,243385,0,2919,1,X,12,2022
1,AK,25,5,NL,,2010,16670,0,0,1,0,12,2022
1,AK,27,5,,XC,1220,8835716,0,92716,1,X,12,2022
1,AK,27,5,,XY,1220,264757,0,4422,1,X,12,2022
1,AK,28,5,GT,,2010,207213,0,0,1,0,12,2022
1,AK,38,5,CM,,2010,63186,0,0,1,0,12,2022
1,AK,38,5,MX,,2010,8632,0,0,2,0,12,2022
1,AK,39,5,,XB,1220,6580,0,881,1,X,12,2022
1,AK,39,5,,XC,1220,2903,0,368,1,X,12,2022
1,AK,39,5,BC,,2010,3217,0,0,1,0,12,2022
1,AK,39,5,CO,,2010,40588,0,0,1,0,12,2022
1,AK,39,5,DF,,2010,19500,0,0,1,0,12,2022
1,AK,39,5,NL,,2010,622513,0,0,1,0,12,2022
1,AK,39,5,NL,,2010,52000,0,0,2,0,12,2022
1,AK,39,5,SL,,2010,37744,0,0,1,0,12,2022
1,AK,39,5,TM,,2010,9660,0,0,1,0,12,2022
1,AK,40,3,,XA,1220,4958,11,73,1,X,12,2022
1,AK,42,5,JA,,2010,3011,0,0,2,0,12,2022
1,AK,44,1,,XC,1220,1694750,6121069,16779,1,X,12,2022
1,AK,44,5,,XC,1220,22989,0,368,1,X,12,2022
1,AK,44,5,CO,,2010,15483,0,0,1,0,12,2022
1,AK,47,6,MX,,2010,90993,0,0,1,0,12,2022
1,AK,48,5,MX,,2010,59823,0,0,1,0,12,2022
1,AK,48,6,QT,,2010,52775,0,0,1,0,12,2022
1,AK,49,3,,XC,1220,22164,2086,2014,1,X,12,2022
1,AK,56,5,NL,,2010,16065,0,0,2,0,12,2022
1,AK,59,5,SL,,2010,91191,0,0,1,0,12,2022
1,AK,63,3,,XC,1220,8591,683,260,1,X,12,2022
1,AK,63,5,,XO,1220,11237,0,323,1,X,12,2022
1,AK,63,5,,XQ,1220,5443,0,77,1,X,12,2022
1,AK,65,5,,XO,1220,6006,0,117,1,X,12,2022
1,AK,70,5,,XC,1220,12984,0,310,2,X,12,2022
1,AK,71,3,,XO,1220,4606,1,73,1,X,12,2022
1,AK,73,3,,XA,1220,2641,19,51,2,X,12,2022
1,AK,73,3,,XM,1220,3513,67,73,1,X,12,2022
1,AK,73,5,,XC,1220,3279,0,64,2,X,12,2022
1,AK,73,5,GT,,2010,14996,0,0,1,0,12,2022
1,AK,73,5,MX,,2010,1229597,0,0,1,0,12,2022
1,AK,73,5,SL,,2010,2660,0,0,1,0,12,2022
1,AK,76,5,MX,,2010,15177,0,0,1,0,12,2022
1,AK,76,5,NL,,2010,105575,0,0,1,0,12,2022
1,AK,82,3,,XA,1220,37096,611,159,1,X,12,2022
1,AK,83,5,MX,,2010,4390,0,0,2,0,12,2022
1,AK,84,3,,XA,1220,5029,23,73,1,X,12,2022
1,AK,84,3,,XA,1220,15781,66,309,2,X,12,2022
1,AK,84,5,,XA,1220,241897,0,4741,1,X,12,2022
1,AK,84,5,,XY,1220,251403,0,5946,1,X,12,2022
1,AK,84,5,AG,,2010,9454,0,0,1,0,12,2022
1,AK,84,5,CL,,2010,189396,0,0,1,0,12,2022
1,AK,84,5,CM,,2010,41206,0,0,2,0,12,2022
1,AK,84,5,CO,,2010,22707,0,0,1,0,12,2022
1,AK,84,5,GT,,2010,19750,0,0,2,0,12,2022
1,AK,84,5,NL,,2010,5000,0,0,1,0,12,2022
1,AK,84,5,SL,,2010,18776,0,0,1,0,12,2022
1,AK,85,3,,XA,1220,5080,7,89,1,X,12,2022
1,AK,85,3,,XA,1220,40234,200,73,2,X,12,2022
1,AK,85,3,,XC,1220,5382,11,306,1,X,12,2022
1,AK,85,3,,XO,1220,4088,4,80,1,X,12,2022
1,AK,85,5,,XC,1220,5468,0,107,1,X,12,2022
1,AK,85,5,,XO,1220,2564,0,50,1,X,12,2022
1,AK,85,5,,XO,1220,19595,0,33,2,X,12,2022
1,AK,85,5,,XY,1220,48355,0,905,1,X,12,2022
1,AK,85,5,BC,,2010,13115,0,0,1,0,12,2022
1,AK,85,5,CM,,2010,16314,0,0,1,0,12,2022
1,AK,85,5,CM,,2010,5845,0,0,2,0,12,2022
1,AK,85,5,MX,,2010,26880,0,0,1,0,12,2022
1,AK,85,5,MX,,2010,49520,0,0,2,0,12,2022
1,AK,85,5,NL,,2010,9192,0,0,2,0,12,2022
1,AK,87,5,,XC,1220,2833,0,34,1,X,12,2022
1,AK,87,5,,XY,1220,4847,0,94,1,X,12,2022
1,AK,87,5,GT,,2010,473531,0,0,1,0,12,2022
1,AK,87,5,GT,,2010,72591,0,0,2,0,12,2022
1,AK,87,5,JA,,2010,13619,0,0,2,0,12,2022
1,AK,87,5,MX,,2010,149759,0,0,1,0,12,2022
1,AK,87,8,CH,,2010,7311,0,0,1,X,12,2022
1,AK,87,8,SO,,2010,2766,0,0,1,X,12,2022
1,AK,88,3,,XA,1220,7479,52,435,1,X,12,2022
1,AK,88,3,,XA,1220,5240,2,60,2,X,12,2022
1,AK,88,3,,XC,1220,43845,256,2724,1,X,12,2022
1,AK,88,3,,XM,1220,10044,750,72,1,X,12,2022
1,AK,88,3,,XO,1220,170652,200,275,1,X,12,2022
1,AK,88,3,,XQ,1220,4925,4,39,1,X,12,2022
1,AK,88,5,,XA,1220,7911,0,474,1,X,12,2022
1,AK,88,5,,XY,1220,12483,0,49,1,X,12,2022
1,AK,88,5,BC,,2010,4001,0,0,1,0,12,2022
