TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0101,05,5,1220,2,X,2022,103501,0,2029
1,0101,12,5,1220,1,X,2022,8576,0,167
1,0101,15,5,1220,2,X,2022,6176,0,57
1,0101,16,5,1220,2,X,2022,210153,0,3933
1,0101,17,5,1220,2,X,2022,5881,0,135
1,0101,18,5,1220,1,X,2022,29242,0,572
1,0101,19,5,1220,1,X,2022,124642,0,2442
1,0101,19,5,1220,2,X,2022,53000,0,1007
1,0101,20,5,1220,1,X,2022,47362,0,973
1,0101,22,5,1220,1,X,2022,14866,0,974
1,0101,25,5,1220,1,X,2022,21036,0,411
1,0101,25,5,1220,2,X,2022,6749,0,145
1,0101,27,5,1220,1,X,2022,28071,0,550
1,0101,28,5,1220,2,X,2022,11068,0,172
1,0101,29,5,1220,1,X,2022,200131,0,3301
1,0101,29,5,1220,2,X,2022,119575,0,2343
1,0101,30,5,1220,1,X,2022,26864,0,526
1,0101,30,5,1220,2,X,2022,49509,0,934
1,0101,32,5,1220,1,X,2022,22267,0,433
1,0101,33,5,1220,1,X,2022,12753,0,165
1,0101,34,5,1220,1,X,2022,20239,0,435
1,0101,34,5,1220,2,X,2022,40594,0,862
1,0101,35,5,1220,1,X,2022,8171,0,160
1,0101,37,5,1220,1,X,2022,1354013,0,24269
1,0101,38,5,1220,1,X,2022,245639,0,4905
1,0101,38,5,1220,2,X,2022,19885,0,388
1,0101,39,5,1220,1,X,2022,12037743,0,228519
1,0101,39,5,1220,2,X,2022,796818,0,14534
1,0101,39,6,1220,1,X,2022,1408872,0,27620
1,0101,40,5,1220,1,X,2022,292705,0,5734
1,0101,42,5,1220,1,X,2022,13280,0,80
1,0101,44,5,1220,1,X,2022,43096,0,3113
1,0101,47,5,1220,1,X,2022,7420,0,162
1,0101,48,5,1220,1,X,2022,127555,0,4083
1,0101,49,5,1220,1,X,2022,4986,0,97
1,0101,49,5,1220,2,X,2022,3411,0,67
1,0101,54,5,1220,1,X,2022,448860,0,4568
1,0101,55,5,1220,1,X,2022,1251795,0,10022
1,0101,55,5,1220,2,X,2022,520055,0,5642
1,0101,56,5,1220,1,X,2022,15508712,0,216694
1,0101,56,5,1220,2,X,2022,45029,0,586
1,0101,56,6,1220,1,X,2022,113451,0,2187
1,0101,58,5,1220,1,X,2022,5254,0,102
1,0101,58,6,1220,1,X,2022,31992,0,661
1,0101,60,5,1220,1,X,2022,31441,0,616
1,0101,61,5,1220,2,X,2022,278846,0,5439
1,0101,62,5,1220,1,X,2022,5829,0,130
1,0101,62,5,1220,2,X,2022,3013771,0,58374
1,0101,63,5,1220,1,X,2022,30670,0,420
1,0101,63,5,1220,2,X,2022,2602,0,24
1,0101,64,5,1220,1,X,2022,30258,0,416
1,0101,64,5,1220,2,X,2022,291615,0,4577
1,0101,65,5,1220,2,X,2022,48734,0,840
1,0101,67,5,1220,1,X,2022,33427,0,616
1,0101,68,5,1220,1,X,2022,3974,0,77
1,0101,68,6,1220,1,X,2022,76851,0,760
1,0101,70,5,1220,1,X,2022,65985,0,1293
1,0101,70,5,1220,2,X,2022,21204,0,396
1,0101,72,5,1220,1,X,2022,118448,0,1737
1,0101,72,5,1220,2,X,2022,24599,0,442
1,0101,72,6,1220,1,X,2022,1668181,0,48752
1,0101,73,5,1220,1,X,2022,140264,0,3262
1,0101,73,5,1220,2,X,2022,7923,0,134
1,0101,73,6,1220,1,X,2022,240996,0,9036
1,0101,74,5,1220,1,X,2022,2755,0,0
1,0101,76,5,1220,1,X,2022,65229,0,1909
1,0101,76,5,1220,2,X,2022,3574,0,19
1,0101,76,6,1220,1,X,2022,164973,0,2819
1,0101,82,5,1220,1,X,2022,4912,0,96
1,0101,82,5,1220,2,X,2022,123560,0,1614
1,0101,82,8,1220,1,X,2022,5697,0,29
1,0101,83,5,1220,1,X,2022,5768,0,730
1,0101,84,5,1220,1,X,2022,1140052,0,18737
