TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,6391,0,855,1,X,02,2022
1,AK,07XX,3,,XO,1220,16554,5,1872,1,X,02,2022
1,AK,20XX,3,,XA,1220,14213,440,394,1,X,02,2022
1,AK,20XX,3,,XC,1220,67214,308,4736,1,X,02,2022
1,AK,20XX,3,,XC,1220,3591,5,94,2,X,02,2022
1,AK,20XX,3,,XM,1220,2842,1,141,2,X,02,2022
1,AK,20XX,3,,XO,1220,45255,422,935,1,X,02,2022
1,AK,20XX,3,,XQ,1220,6855,354,280,1,X,02,2022
1,AK,2301,8,TM,,2010,2525,0,0,1,X,02,2022
1,AK,2304,5,CM,,2010,13319,0,0,1,0,02,2022
1,AK,2304,5,CO,,2010,2801,0,0,1,0,02,2022
1,AK,2304,5,DF,,2010,88475,0,0,1,0,02,2022
1,AK,2304,5,JA,,2010,39336,0,0,1,0,02,2022
1,AK,2304,5,JA,,2010,25467,0,0,2,0,02,2022
1,AK,2304,5,MX,,2010,94739,0,0,1,0,02,2022
1,AK,2304,5,NL,,2010,87702,0,0,1,0,02,2022
1,AK,2304,5,QT,,2010,12750,0,0,1,0,02,2022
1,AK,2304,5,QT,,2010,29194,0,0,2,0,02,2022
1,AK,2305,5,CO,,2010,17300,0,0,2,0,02,2022
1,AK,2305,5,NL,,2010,46297,0,0,1,0,02,2022
1,AK,2305,5,NL,,2010,9304,0,0,2,0,02,2022
1,AK,2505,5,MX,,2010,17952,0,0,1,0,02,2022
1,AK,2506,5,BC,,2010,9451,0,0,1,0,02,2022
1,AK,2604,5,NL,,2010,37044,0,0,1,0,02,2022
1,AK,3004,5,,XC,1220,387379,0,7027,1,X,02,2022
1,AK,3009,5,,XC,1220,135482,0,786,1,X,02,2022
1,AK,3023,5,,XC,1220,48355,0,479,1,X,02,2022
1,AK,3103,5,,XC,1220,4658848,0,46803,1,X,02,2022
1,AK,3104,5,,XY,1220,626461,0,14663,1,X,02,2022
1,AK,3104,5,,XY,1220,3574,0,81,2,X,02,2022
1,AK,3106,5,,XC,1220,1456089,0,28527,1,X,02,2022
1,AK,3126,5,,XY,1220,240336,0,4712,1,X,02,2022
1,AK,31XX,1,,XC,1220,1398949,2468952,13850,1,X,02,2022
1,AK,31XX,3,,XC,1220,67234,61,5841,1,X,02,2022
1,AK,31XX,3,XX,,2010,32782,37,0,2,0,02,2022
1,AK,3310,5,,XA,1220,21482,0,582,1,X,02,2022
1,AK,3401,5,,XM,1220,21096,0,412,1,X,02,2022
1,AK,3802,5,,XO,1220,18314,0,682,1,X,02,2022
1,AK,4101,3,,XA,1220,4986,4,97,1,X,02,2022
1,AK,4101,3,,XC,1220,3485,14,68,1,X,02,2022
1,AK,4101,3,,XO,1220,8124,3,738,1,X,02,2022
1,AK,4101,3,,XO,1220,15213,32,543,2,X,02,2022
1,AK,4504,3,,XB,1220,46424,17010,1582,1,X,02,2022
1,AK,70XX,5,,XC,1220,8801,0,309,1,X,02,2022
1,AK,70XX,8,,XA,1220,3382,0,62,1,X,02,2022
1,AK,70XX,8,,XC,1220,2442,0,46,1,X,02,2022
1,AL,0104,5,,XQ,1220,182300,0,3574,1,X,02,2022
1,AL,0106,5,,XB,1220,371605,0,10257,1,X,02,2022
1,AL,0115,5,,XB,1220,285440,0,16377,1,X,02,2022
1,AL,0115,5,,XB,1220,16585,0,1083,2,X,02,2022
1,AL,0118,5,,XO,1220,4467,0,87,1,X,02,2022
1,AL,0118,5,,XO,1220,2998,0,55,2,X,02,2022
1,AL,0209,5,,XQ,1220,3073,0,92,2,X,02,2022
1,AL,0211,5,,XQ,1220,33807,0,59,1,X,02,2022
1,AL,0212,5,,XQ,1220,11872,0,232,1,X,02,2022
1,AL,0701,5,,XO,1220,75940,0,4427,1,X,02,2022
1,AL,0701,5,,XO,1220,29313,0,575,2,X,02,2022
1,AL,0708,5,,XO,1220,15527605,0,134638,1,X,02,2022
1,AL,0708,5,,XO,1220,769850,0,17113,2,X,02,2022
1,AL,0708,5,,XQ,1220,215015,0,7272,1,X,02,2022
1,AL,0712,5,,XM,1220,3900,0,173,1,X,02,2022
1,AL,0712,5,,XO,1220,10997,0,516,1,X,02,2022
1,AL,0712,5,,XQ,1220,3491227,0,78197,1,X,02,2022
1,AL,0712,5,,XQ,1220,313552,0,8304,2,X,02,2022
1,AL,0712,6,,XQ,1220,290948,0,17541,1,X,02,2022
1,AL,07XX,3,,XQ,1220,78562,410,2089,1,X,02,2022
1,AL,0901,5,,XM,1220,46242,0,3851,1,X,02,2022
1,AL,0901,5,,XO,1220,30912209,0,444162,1,X,02,2022
1,AL,0901,5,,XO,1220,1278227,0,24132,2,X,02,2022
1,AL,0901,5,,XQ,1220,21949,0,653,1,X,02,2022
1,AL,0901,5,,XS,1220,20779,0,843,2,X,02,2022
1,AL,0901,6,,XA,1220,7189,0,3,1,X,02,2022
1,AL,0901,6,,XA,1220,10533,0,46,2,X,02,2022
1,AL,0901,6,,XO,1220,482996,0,1635,1,X,02,2022
1,AL,0901,6,,XQ,1220,299492,0,3208,1,X,02,2022
1,AL,0901,6,,XS,1220,239538,0,7053,1,X,02,2022
1,AL,09XX,3,,XO,1220,26188,14960,2879,1,X,02,2022
1,AL,09XX,3,,XO,1220,23578,474,12,2,X,02,2022
1,AL,17XX,1,XX,,2010,10886682,632741,0,1,0,02,2022
1,AL,17XX,3,XX,,2010,5606,42,0,2,0,02,2022
1,AL,18XX,1,XX,,2010,572350,943436,0,1,0,02,2022
1,AL,18XX,1,XX,,2010,135234,114880,0,1,1,02,2022
1,AL,19XX,1,XX,,2010,32657943,32746911,0,1,0,02,2022
1,AL,19XX,1,XX,,2010,7983243,14694787,0,1,1,02,2022
1,AL,19XX,1,XX,,2010,6307100,4976120,0,2,0,02,2022
1,AL,19XX,1,XX,,2010,530138,810000,0,2,1,02,2022
1,AL,19XX,3,,XC,1220,6621,33,129,1,X,02,2022
1,AL,19XX,3,XX,,2010,12788,56,0,1,0,02,2022
1,AL,2006,3,,XO,1220,4010,3,78,1,X,02,2022
1,AL,20XX,3,,XA,1220,397927,5163,3969,1,X,02,2022
1,AL,20XX,3,,XC,1220,166907,852,2763,1,X,02,2022
1,AL,20XX,3,,XC,1220,7704,40,136,2,X,02,2022
1,AL,20XX,3,,XM,1220,152855,20626,2183,1,X,02,2022
1,AL,20XX,3,,XO,1220,1825725,2749,6843,1,X,02,2022
1,AL,20XX,3,,XO,1220,115182,299,2039,2,X,02,2022
1,AL,20XX,3,,XQ,1220,2080642,16368,12797,1,X,02,2022
1,AL,20XX,3,,XQ,1220,165235,527,1529,2,X,02,2022
1,AL,20XX,3,XX,,2010,656795,25102,0,1,0,02,2022
1,AL,20XX,3,XX,,2010,404904,4164,0,2,0,02,2022
1,AL,2301,5,CO,,2010,89489,0,0,1,0,02,2022
1,AL,2301,5,HG,,2010,8400,0,0,1,0,02,2022
1,AL,2301,5,MX,,2010,30865,0,0,1,0,02,2022
1,AL,2301,5,PU,,2010,6600,0,0,1,0,02,2022
1,AL,2301,8,TM,,2010,23266,0,0,1,X,02,2022
1,AL,2303,5,CO,,2010,1047004,0,0,1,0,02,2022
1,AL,2303,5,CO,,2010,7289,0,0,2,0,02,2022
1,AL,2303,5,DG,,2010,471755,0,0,1,0,02,2022
1,AL,2303,5,HG,,2010,450503,0,0,1,0,02,2022
1,AL,2303,5,MX,,2010,424127,0,0,1,0,02,2022
1,AL,2303,5,SO,,2010,3343,0,0,1,0,02,2022
1,AL,2303,6,CO,,2010,5498947,0,0,1,0,02,2022
1,AL,2303,6,MX,,2010,2637653,0,0,1,0,02,2022
1,AL,2303,6,NL,,2010,664049,0,0,1,0,02,2022
1,AL,2304,5,AG,,2010,3168120,0,0,1,0,02,2022
1,AL,2304,5,AG,,2010,84737,0,0,2,0,02,2022
1,AL,2304,5,CH,,2010,251697,0,0,1,0,02,2022
1,AL,2304,5,CM,,2010,349601,0,0,1,0,02,2022
1,AL,2304,5,CO,,2010,1943380,0,0,1,0,02,2022
1,AL,2304,5,CO,,2010,487349,0,0,1,1,02,2022
1,AL,2304,5,CO,,2010,78872,0,0,2,0,02,2022
1,AL,2304,5,DF,,2010,406740,0,0,1,0,02,2022
1,AL,2304,5,DF,,2010,591565,0,0,2,0,02,2022
1,AL,2304,5,DG,,2010,16390,0,0,1,0,02,2022
1,AL,2304,5,GT,,2010,10869305,0,0,1,0,02,2022
1,AL,2304,5,GT,,2010,286736,0,0,2,0,02,2022
1,AL,2304,5,HG,,2010,10494672,0,0,1,0,02,2022
1,AL,2304,5,JA,,2010,1030571,0,0,1,0,02,2022
1,AL,2304,5,JA,,2010,42551,0,0,2,0,02,2022
1,AL,2304,5,MI,,2010,78769,0,0,1,0,02,2022
