TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,QT,,2010,12750,0,0,1,0,02,2022
1,AK,02,5,QT,,2010,11393,0,0,2,0,02,2022
1,AK,03,5,,XC,1220,224524,0,3800,1,X,02,2022
1,AK,05,3,,XB,1220,46424,17010,1582,1,X,02,2022
1,AK,05,5,,XC,1220,18475,0,393,1,X,02,2022
1,AK,08,5,NL,,2010,37044,0,0,1,0,02,2022
1,AK,11,5,,XC,1220,3977,0,77,1,X,02,2022
1,AK,12,5,MX,,2010,25948,0,0,1,0,02,2022
1,AK,12,5,NL,,2010,51700,0,0,1,0,02,2022
1,AK,23,5,,XC,1220,183837,0,1265,1,X,02,2022
1,AK,23,5,,XO,1220,15142,0,583,1,X,02,2022
1,AK,27,5,,XC,1220,6114937,0,75330,1,X,02,2022
1,AK,27,5,NL,,2010,36002,0,0,1,0,02,2022
1,AK,33,5,CO,,2010,17300,0,0,2,0,02,2022
1,AK,35,5,JA,,2010,6998,0,0,1,0,02,2022
1,AK,38,5,CM,,2010,13319,0,0,1,0,02,2022
1,AK,39,5,,XA,1220,9667,0,189,1,X,02,2022
1,AK,39,5,,XB,1220,6391,0,855,1,X,02,2022
1,AK,39,5,,XC,1220,12011,0,240,1,X,02,2022
1,AK,39,5,,XY,1220,8469,0,165,1,X,02,2022
1,AK,39,5,BC,,2010,5776,0,0,1,0,02,2022
1,AK,39,5,CO,,2010,2801,0,0,1,0,02,2022
1,AK,39,5,NL,,2010,17007,0,0,1,0,02,2022
1,AK,42,3,,XC,1220,3680,94,72,1,X,02,2022
1,AK,44,1,,XC,1220,1398949,2468952,13850,1,X,02,2022
1,AK,47,5,MX,,2010,21562,0,0,1,0,02,2022
1,AK,48,5,JA,,2010,16721,0,0,1,0,02,2022
1,AK,59,5,JA,,2010,7081,0,0,1,0,02,2022
1,AK,63,3,,XA,1220,5794,413,261,1,X,02,2022
1,AK,63,3,,XO,1220,2762,315,162,1,X,02,2022
1,AK,63,3,,XQ,1220,2570,294,187,1,X,02,2022
1,AK,63,5,,XO,1220,3172,0,99,1,X,02,2022
1,AK,68,5,JA,,2010,8536,0,0,1,0,02,2022
1,AK,73,3,,XC,1220,3476,4,431,1,X,02,2022
1,AK,73,3,,XO,1220,8124,3,738,1,X,02,2022
1,AK,73,5,,XY,1220,17958,0,2230,1,X,02,2022
1,AK,73,5,BC,,2010,3675,0,0,1,0,02,2022
1,AK,73,5,NL,,2010,2920,0,0,1,0,02,2022
1,AK,84,3,,XA,1220,5540,20,55,1,X,02,2022
1,AK,84,3,,XC,1220,3591,5,94,2,X,02,2022
1,AK,84,3,,XM,1220,2842,1,141,2,X,02,2022
1,AK,84,3,,XO,1220,12355,5,242,1,X,02,2022
1,AK,84,3,,XO,1220,11641,12,228,2,X,02,2022
1,AK,84,5,,XA,1220,11815,0,393,1,X,02,2022
1,AK,84,5,,XY,1220,322017,0,3644,1,X,02,2022
1,AK,84,5,,XY,1220,3574,0,81,2,X,02,2022
1,AK,84,5,DF,,2010,88475,0,0,1,0,02,2022
1,AK,84,5,JA,,2010,25467,0,0,2,0,02,2022
1,AK,84,5,MX,,2010,47229,0,0,1,0,02,2022
1,AK,84,5,NL,,2010,26370,0,0,1,0,02,2022
1,AK,84,5,NL,,2010,9304,0,0,2,0,02,2022
1,AK,85,3,,XA,1220,4986,4,97,1,X,02,2022
1,AK,85,3,,XC,1220,14082,19,469,1,X,02,2022
1,AK,85,3,,XO,1220,16554,5,1872,1,X,02,2022
1,AK,85,3,,XQ,1220,4285,60,93,1,X,02,2022
1,AK,85,5,,XY,1220,38748,0,808,1,X,02,2022
