TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,4791,0,1,1,X,07,2022
1,AK,0712,5,,XQ,1220,22245,0,195,1,X,07,2022
1,AK,18XX,1,XX,,2010,16594,63,0,1,1,07,2022
1,AK,20XX,3,,XA,1220,23146,414,530,1,X,07,2022
1,AK,20XX,3,,XA,1220,10200,68,199,2,X,07,2022
1,AK,20XX,3,,XC,1220,65717,121,1996,1,X,07,2022
1,AK,20XX,3,,XC,1220,4170,61,122,2,X,07,2022
1,AK,20XX,3,,XM,1220,10126,227,77,1,X,07,2022
1,AK,20XX,3,,XO,1220,54132,408,269,1,X,07,2022
1,AK,20XX,3,,XO,1220,10218,7,242,2,X,07,2022
1,AK,20XX,3,,XQ,1220,55762,29,655,1,X,07,2022
1,AK,20XX,3,,XQ,1220,9121,35,65,2,X,07,2022
1,AK,2303,5,CO,,2010,29348,0,0,2,0,07,2022
1,AK,2304,5,CM,,2010,6259,0,0,1,0,07,2022
1,AK,2304,5,CM,,2010,58701,0,0,2,0,07,2022
1,AK,2304,5,CO,,2010,14580,0,0,1,0,07,2022
1,AK,2304,5,GT,,2010,72845,0,0,2,0,07,2022
1,AK,2304,5,MX,,2010,44264,0,0,1,0,07,2022
1,AK,2304,5,MX,,2010,37349,0,0,2,0,07,2022
1,AK,2304,5,NL,,2010,95187,0,0,1,0,07,2022
1,AK,2304,5,QT,,2010,51945,0,0,1,0,07,2022
1,AK,2304,5,QT,,2010,19636,0,0,2,0,07,2022
1,AK,2304,5,SL,,2010,28738,0,0,1,0,07,2022
1,AK,2304,8,MX,,2010,4200,0,0,1,X,07,2022
1,AK,2304,8,ZA,,2010,3850,0,0,1,X,07,2022
1,AK,2305,5,MX,,2010,12237,0,0,1,0,07,2022
1,AK,2305,5,NL,,2010,9494,0,0,1,0,07,2022
1,AK,2305,5,TB,,2010,2635,0,0,1,0,07,2022
1,AK,2305,5,TM,,2010,22091,0,0,2,0,07,2022
1,AK,2305,8,TM,,2010,15000,0,0,1,X,07,2022
1,AK,2404,8,CH,,2010,5417,0,0,1,X,07,2022
1,AK,2506,5,BC,,2010,82536,0,0,1,0,07,2022
1,AK,2506,5,BC,,2010,16771,0,0,2,0,07,2022
1,AK,2604,5,SO,,2010,5931,0,0,1,0,07,2022
1,AK,3001,5,,XY,1220,153839,0,5202,1,X,07,2022
1,AK,3004,5,,XC,1220,6853937,0,208176,1,X,07,2022
1,AK,3004,5,,XC,1220,4050,0,79,2,X,07,2022
1,AK,3004,5,,XY,1220,144232,0,1977,1,X,07,2022
1,AK,3009,5,,XC,1220,380730,0,4254,1,X,07,2022
