TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,20XX,3,,XA,1220,43680,750,969,1,X,06,2022
1,AK,20XX,3,,XA,1220,6021,70,286,2,X,06,2022
1,AK,20XX,3,,XC,1220,43917,425,2450,1,X,06,2022
1,AK,20XX,3,,XM,1220,3813,9,78,1,X,06,2022
1,AK,20XX,3,,XM,1220,11431,9,7,2,X,06,2022
1,AK,20XX,3,,XO,1220,78611,561,1196,1,X,06,2022
1,AK,20XX,3,,XO,1220,19940,37,195,2,X,06,2022
1,AK,20XX,3,,XQ,1220,126544,9492,651,1,X,06,2022
1,AK,20XX,3,,XQ,1220,9216,35,66,2,X,06,2022
1,AK,20XX,8,,XQ,1220,70437,0,78,1,X,06,2022
1,AK,2301,5,MO,,2010,47844,0,0,1,0,06,2022
1,AK,2301,5,MX,,2010,10458,0,0,1,0,06,2022
1,AK,2303,6,MX,,2010,127644,0,0,1,0,06,2022
1,AK,2304,5,CM,,2010,113922,0,0,1,0,06,2022
1,AK,2304,5,CM,,2010,9857,0,0,2,0,06,2022
1,AK,2304,5,CO,,2010,21818,0,0,1,0,06,2022
1,AK,2304,5,DG,,2010,32253,0,0,1,0,06,2022
1,AK,2304,5,GT,,2010,118192,0,0,1,0,06,2022
1,AK,2304,5,JA,,2010,14829,0,0,2,0,06,2022
1,AK,2304,5,MX,,2010,193250,0,0,1,0,06,2022
1,AK,2304,5,MX,,2010,3201,0,0,2,0,06,2022
1,AK,2304,5,NL,,2010,310480,0,0,1,0,06,2022
1,AK,2304,5,QT,,2010,10763,0,0,2,0,06,2022
1,AK,2304,5,SL,,2010,114025,0,0,1,0,06,2022
1,AK,2304,6,VE,,2010,161865,0,0,1,0,06,2022
1,AK,2304,8,NL,,2010,11023,0,0,1,X,06,2022
1,AK,2305,5,SI,,2010,51732,0,0,1,0,06,2022
1,AK,2305,5,TM,,2010,67745,0,0,1,0,06,2022
1,AK,2305,5,TM,,2010,6918,0,0,2,0,06,2022
1,AK,2505,8,BC,,2010,3010,0,0,1,X,06,2022
1,AK,2601,5,SO,,2010,16324,0,0,1,0,06,2022
1,AK,3004,5,,XC,1220,1753197,0,30907,1,X,06,2022
1,AK,3004,5,,XY,1220,124189,0,1701,1,X,06,2022
1,AK,3009,5,,XC,1220,414544,0,3921,1,X,06,2022
1,AK,3009,5,,XC,1220,40121,0,871,2,X,06,2022
1,AK,30XX,3,,XC,1220,9999,428,186,1,X,06,2022
1,AK,3101,5,,XC,1220,37140,0,810,1,X,06,2022
1,AK,3101,8,,XY,1220,523470,0,17848,1,X,06,2022
1,AK,3103,5,,XC,1220,8848248,0,87885,1,X,06,2022
1,AK,3103,5,,XY,1220,12624,0,246,1,X,06,2022
