TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0901,5,,XO,1220,4247,0,1,2,X,03,2022
1,AK,19XX,1,XX,,2010,100000,29022,0,1,0,03,2022
1,AK,2006,3,,XC,1220,3863,115,183,2,X,03,2022
1,AK,20XX,3,,XA,1220,33211,520,964,1,X,03,2022
1,AK,20XX,3,,XC,1220,26208,472,1458,1,X,03,2022
1,AK,20XX,3,,XC,1220,26005,76,123,2,X,03,2022
1,AK,20XX,3,,XM,1220,19603,1043,353,1,X,03,2022
1,AK,20XX,3,,XO,1220,62529,4103,2956,1,X,03,2022
1,AK,20XX,3,,XQ,1220,10195,55,314,1,X,03,2022
1,AK,20XX,3,,XQ,1220,28477,70,134,2,X,03,2022
1,AK,2304,5,CM,,2010,6120,0,0,1,0,03,2022
1,AK,2304,5,CM,,2010,126952,0,0,2,0,03,2022
1,AK,2304,5,CO,,2010,2695,0,0,1,0,03,2022
1,AK,2304,5,CO,,2010,5347,0,0,2,0,03,2022
1,AK,2304,5,JA,,2010,182032,0,0,1,0,03,2022
1,AK,2304,5,MX,,2010,119409,0,0,1,0,03,2022
1,AK,2304,5,MX,,2010,5850,0,0,1,1,03,2022
1,AK,2304,5,MX,,2010,7043,0,0,2,0,03,2022
1,AK,2304,5,NL,,2010,86396,0,0,1,0,03,2022
1,AK,2304,5,NL,,2010,4720,0,0,1,1,03,2022
1,AK,2304,5,NL,,2010,18483,0,0,2,0,03,2022
1,AK,2304,5,QT,,2010,16840,0,0,2,0,03,2022
1,AK,2304,5,TM,,2010,98628,0,0,1,0,03,2022
1,AK,2305,5,CO,,2010,242430,0,0,2,0,03,2022
1,AK,2305,5,MI,,2010,14540,0,0,2,0,03,2022
1,AK,2305,5,MX,,2010,9970,0,0,1,0,03,2022
1,AK,2305,5,TM,,2010,25753,0,0,1,0,03,2022
1,AK,2305,5,TM,,2010,56540,0,0,2,0,03,2022
1,AK,2305,8,TM,,2010,4525,0,0,1,X,03,2022
1,AK,2408,5,CH,,2010,6000,0,0,1,0,03,2022
1,AK,2506,5,BC,,2010,56487,0,0,1,0,03,2022
1,AK,2506,8,BC,,2010,2950,0,0,1,X,03,2022
1,AK,3004,5,,XC,1220,415047,0,9870,1,X,03,2022
1,AK,3004,5,,XC,1220,11934,0,78,2,X,03,2022
1,AK,3004,5,,XO,1220,7436,0,357,1,X,03,2022
1,AK,3009,5,,XC,1220,209408,0,1353,1,X,03,2022
1,AK,3020,5,,XC,1220,206023,0,394,1,X,03,2022
1,AK,3023,5,,XC,1220,264869,0,3310,1,X,03,2022
1,AK,30XX,3,,XC,1220,2758,3,39,2,X,03,2022
1,AK,3103,5,,XC,1220,5377107,0,55011,1,X,03,2022
1,AK,3103,5,,XC,1220,42535,0,421,2,X,03,2022
1,AK,3104,5,,XY,1220,1499045,0,21297,1,X,03,2022
1,AK,3104,5,,XY,1220,21172,0,450,2,X,03,2022
1,AK,3106,5,,XC,1220,2517223,0,49316,1,X,03,2022
1,AK,3111,5,,XY,1220,76064,0,703,1,X,03,2022
1,AK,3126,5,,XY,1220,245061,0,3359,1,X,03,2022
1,AK,31XX,3,,XC,1220,141000,189,6238,1,X,03,2022
1,AK,31XX,3,,XY,1220,33435,101,677,1,X,03,2022
1,AK,3310,5,,XA,1220,6489,0,236,1,X,03,2022
1,AK,3401,5,,XM,1220,47185,0,1861,1,X,03,2022
1,AK,34XX,3,,XA,1220,15529,20,349,2,X,03,2022
1,AK,34XX,3,,XM,1220,10084,227,78,1,X,03,2022
1,AK,34XX,3,,XO,1220,38677,50,1151,1,X,03,2022
1,AK,3801,5,,XO,1220,26482,0,2779,1,X,03,2022
1,AK,3802,5,,XO,1220,88806,0,1326,1,X,03,2022
1,AK,3802,5,,XO,1220,71843,0,677,2,X,03,2022
1,AK,3802,5,,XY,1220,15224,0,330,2,X,03,2022
1,AK,4102,3,,XO,1220,54787,16,542,1,X,03,2022
1,AK,70XX,5,,XC,1220,10789,0,379,1,X,03,2022
1,AK,70XX,8,,XA,1220,1955,0,73,1,X,03,2022
1,AK,70XX,8,,XC,1220,568,0,10,1,X,03,2022
1,AK,70XX,8,,XO,1220,807,0,53,1,X,03,2022
1,AL,0104,5,,XB,1220,40554,0,3371,1,X,03,2022
1,AL,0106,5,,XB,1220,1279515,0,15822,1,X,03,2022
1,AL,0106,5,,XB,1220,83423,0,6496,2,X,03,2022
1,AL,0115,5,,XB,1220,597519,0,22816,1,X,03,2022
1,AL,0115,5,,XB,1220,72304,0,3545,2,X,03,2022
1,AL,0209,5,,XO,1220,77560,0,766,1,X,03,2022
1,AL,0209,5,,XQ,1220,91925,0,909,1,X,03,2022
1,AL,0209,5,,XQ,1220,3550,0,69,2,X,03,2022
1,AL,0701,5,,XA,1220,3442,0,67,2,X,03,2022
1,AL,0701,5,,XO,1220,119454,0,2118,1,X,03,2022
1,AL,0708,5,,XO,1220,9074563,0,169961,1,X,03,2022
1,AL,0708,5,,XO,1220,530453,0,6911,2,X,03,2022
1,AL,0708,5,,XQ,1220,104341,0,3552,1,X,03,2022
1,AL,0708,5,,XQ,1220,25325,0,495,2,X,03,2022
1,AL,0712,5,,XB,1220,8168,0,241,1,X,03,2022
1,AL,0712,5,,XC,1220,4987,0,499,1,X,03,2022
1,AL,0712,5,,XM,1220,4351,0,142,1,X,03,2022
1,AL,0712,5,,XO,1220,107068,0,6835,1,X,03,2022
1,AL,0712,5,,XQ,1220,2157685,0,60011,1,X,03,2022
