TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,349842,0,8929,1,X,03,2022
1,AK,03,5,,XY,1220,245061,0,3359,1,X,03,2022
1,AK,05,5,,XC,1220,43000,0,425,1,X,03,2022
1,AK,15,5,,XC,1220,99562,0,1955,1,X,03,2022
1,AK,20,5,CO,,2010,7723,0,0,2,0,03,2022
1,AK,23,5,,XC,1220,374715,0,2708,1,X,03,2022
1,AK,26,5,,XC,1220,206023,0,394,1,X,03,2022
1,AK,27,5,,XC,1220,7894330,0,104327,1,X,03,2022
1,AK,27,5,,XC,1220,42535,0,421,2,X,03,2022
1,AK,28,5,MX,,2010,82480,0,0,1,0,03,2022
1,AK,29,5,TM,,2010,16200,0,0,2,0,03,2022
1,AK,33,5,CO,,2010,217852,0,0,2,0,03,2022
1,AK,34,5,MX,,2010,5650,0,0,1,0,03,2022
1,AK,34,5,TM,,2010,13398,0,0,1,0,03,2022
1,AK,38,5,JA,,2010,123200,0,0,1,0,03,2022
1,AK,38,5,TM,,2010,12355,0,0,1,0,03,2022
1,AK,38,5,TM,,2010,32340,0,0,2,0,03,2022
1,AK,39,5,,XC,1220,10436,0,314,1,X,03,2022
1,AK,39,5,NL,,2010,3465,0,0,1,0,03,2022
1,AK,39,5,TM,,2010,98628,0,0,1,0,03,2022
1,AK,44,5,,XO,1220,7436,0,357,1,X,03,2022
1,AK,47,5,NL,,2010,82931,0,0,1,0,03,2022
1,AK,48,5,BC,,2010,4067,0,0,1,0,03,2022
1,AK,49,5,CO,,2010,5347,0,0,2,0,03,2022
1,AK,54,5,BC,,2010,15681,0,0,1,0,03,2022
1,AK,56,5,JA,,2010,14235,0,0,1,0,03,2022
1,AK,57,5,CO,,2010,16855,0,0,2,0,03,2022
1,AK,63,3,,XC,1220,6462,461,142,1,X,03,2022
1,AK,63,3,,XM,1220,3296,377,155,1,X,03,2022
1,AK,63,3,,XO,1220,35545,3776,2149,1,X,03,2022
1,AK,63,5,,XA,1220,6489,0,236,1,X,03,2022
1,AK,63,5,,XM,1220,38720,0,1467,1,X,03,2022
1,AK,63,5,,XO,1220,33673,0,2935,1,X,03,2022
1,AK,72,1,XX,,2010,100000,29022,0,1,0,03,2022
1,AK,72,5,,XC,1220,2626,0,51,1,X,03,2022
1,AK,73,5,BC,,2010,3900,0,0,1,0,03,2022
1,AK,73,5,NL,,2010,18483,0,0,2,0,03,2022
