TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,20XX,3,,XA,1220,25281,318,509,1,X,05,2022
1,AK,20XX,3,,XC,1220,26618,717,800,1,X,05,2022
1,AK,20XX,3,,XM,1220,48172,650,153,1,X,05,2022
1,AK,20XX,3,,XO,1220,58773,1142,1256,1,X,05,2022
1,AK,20XX,3,,XQ,1220,215109,470,1044,1,X,05,2022
1,AK,2301,5,NL,,2010,28655,0,0,1,0,05,2022
1,AK,2303,5,CO,,2010,32575,0,0,1,0,05,2022
1,AK,2303,6,MX,,2010,52155,0,0,1,0,05,2022
1,AK,2304,5,BS,,2010,11438,0,0,1,0,05,2022
1,AK,2304,5,BS,,2010,28692,0,0,2,0,05,2022
1,AK,2304,5,CM,,2010,4286,0,0,1,0,05,2022
1,AK,2304,5,CM,,2010,87613,0,0,2,0,05,2022
1,AK,2304,5,CO,,2010,13780,0,0,2,0,05,2022
1,AK,2304,5,GT,,2010,132287,0,0,1,0,05,2022
1,AK,2304,5,HG,,2010,56273,0,0,1,0,05,2022
1,AK,2304,5,JA,,2010,140850,0,0,1,0,05,2022
1,AK,2304,5,MO,,2010,47908,0,0,1,0,05,2022
1,AK,2304,5,MX,,2010,15853,0,0,1,0,05,2022
1,AK,2304,5,MX,,2010,10777,0,0,2,0,05,2022
1,AK,2304,5,NL,,2010,46070,0,0,1,0,05,2022
1,AK,2304,5,NL,,2010,9626,0,0,2,0,05,2022
1,AK,2304,5,QT,,2010,23439,0,0,1,0,05,2022
1,AK,2304,5,QT,,2010,87875,0,0,2,0,05,2022
1,AK,2304,5,SL,,2010,51648,0,0,1,0,05,2022
1,AK,2304,5,TM,,2010,49314,0,0,1,0,05,2022
1,AK,2305,5,NL,,2010,12450,0,0,2,0,05,2022
1,AK,2305,5,TM,,2010,61216,0,0,1,0,05,2022
1,AK,2506,5,BC,,2010,57522,0,0,1,0,05,2022
1,AK,3004,5,,XC,1220,1810218,0,32481,1,X,05,2022
1,AK,3004,5,,XC,1220,15480,0,289,2,X,05,2022
1,AK,3009,5,,XC,1220,389743,0,4526,1,X,05,2022
1,AK,3023,5,,XC,1220,142394,0,2792,1,X,05,2022
1,AK,30XX,3,,XC,1220,10990,388,367,1,X,05,2022
1,AK,3101,5,,XC,1220,26057,0,567,1,X,05,2022
1,AK,3103,5,,XC,1220,6654942,0,66293,1,X,05,2022
1,AK,3103,5,,XC,1220,952434,0,9429,2,X,05,2022
1,AK,3104,5,,XY,1220,976764,0,13002,1,X,05,2022
1,AK,3104,5,,XY,1220,16398,0,263,2,X,05,2022
1,AK,3106,5,,XC,1220,3055912,0,47597,1,X,05,2022
1,AK,3126,5,,XY,1220,1337290,0,18328,1,X,05,2022
1,AK,3126,8,,XC,1220,167379,0,155,1,X,05,2022
1,AK,31XX,1,,XC,1220,2486654,11230450,24618,1,X,05,2022
