TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01XX,3,,XQ,1220,15428,2,16,1,X,11,2022
1,AK,0901,5,,XO,1220,8518,0,167,2,X,11,2022
1,AK,20XX,3,,XA,1220,47047,449,688,1,X,11,2022
1,AK,20XX,3,,XA,1220,65938,70,824,2,X,11,2022
1,AK,20XX,3,,XC,1220,52753,257,3846,1,X,11,2022
1,AK,20XX,3,,XC,1220,29835,80,74,2,X,11,2022
1,AK,20XX,3,,XM,1220,9820,1122,372,1,X,11,2022
1,AK,20XX,3,,XO,1220,7941,50,185,1,X,11,2022
1,AK,20XX,3,,XQ,1220,6188,12,155,1,X,11,2022
1,AK,20XX,3,,XQ,1220,30680,3095,506,2,X,11,2022
1,AK,2303,6,MX,,2010,60521,0,0,1,0,11,2022
1,AK,2304,5,CM,,2010,208287,0,0,1,0,11,2022
1,AK,2304,5,CM,,2010,200786,0,0,2,0,11,2022
1,AK,2304,5,CO,,2010,6083,0,0,1,0,11,2022
1,AK,2304,5,CO,,2010,28787,0,0,2,0,11,2022
1,AK,2304,5,DF,,2010,43207,0,0,1,0,11,2022
1,AK,2304,5,GT,,2010,8120,0,0,1,0,11,2022
1,AK,2304,5,GT,,2010,3564,0,0,2,0,11,2022
1,AK,2304,5,JA,,2010,96885,0,0,1,0,11,2022
1,AK,2304,5,MX,,2010,195869,0,0,1,0,11,2022
1,AK,2304,5,MX,,2010,8140,0,0,2,0,11,2022
1,AK,2304,5,NL,,2010,55438,0,0,1,0,11,2022
1,AK,2304,5,NL,,2010,3410,0,0,2,0,11,2022
1,AK,2304,5,SI,,2010,207992,0,0,1,0,11,2022
1,AK,2304,5,SL,,2010,114266,0,0,1,0,11,2022
1,AK,2304,5,TM,,2010,56070,0,0,1,0,11,2022
1,AK,2304,6,NL,,2010,89675,0,0,1,0,11,2022
1,AK,2304,8,MX,,2010,23540,0,0,1,X,11,2022
1,AK,2305,5,TM,,2010,32825,0,0,1,0,11,2022
1,AK,2305,8,TM,,2010,3271,0,0,1,X,11,2022
