TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,702753,0,12616,1,X,11,2022
1,AK,03,5,,XY,1220,38396,0,526,1,X,11,2022
1,AK,05,5,,XC,1220,76785,0,1524,1,X,11,2022
1,AK,12,8,MX,,2010,23540,0,0,1,X,11,2022
1,AK,15,5,,XC,1220,760478,0,8852,1,X,11,2022
1,AK,16,5,,XC,1220,1125892,0,37638,1,X,11,2022
1,AK,17,5,JA,,2010,71407,0,0,1,0,11,2022
1,AK,23,5,,XC,1220,314977,0,2436,1,X,11,2022
1,AK,25,1,XX,,2010,920468,20964000,0,1,0,11,2022
1,AK,26,1,,XC,1220,44702851,18572275,74308,1,X,11,2022
1,AK,27,5,,XC,1220,9395984,0,92900,1,X,11,2022
1,AK,27,5,,XY,1220,299189,0,5475,1,X,11,2022
1,AK,30,5,CM,,2010,102408,0,0,1,0,11,2022
1,AK,38,5,CM,,2010,63890,0,0,1,0,11,2022
1,AK,38,5,MX,,2010,5584,0,0,1,0,11,2022
1,AK,38,5,MX,,2010,8140,0,0,2,0,11,2022
1,AK,38,5,TM,,2010,48995,0,0,1,0,11,2022
1,AK,39,3,,XA,1220,6051,9,118,1,X,11,2022
1,AK,39,5,,XC,1220,5180,0,101,1,X,11,2022
1,AK,39,5,CO,,2010,6083,0,0,1,0,11,2022
1,AK,39,5,NL,,2010,14394,0,0,1,0,11,2022
1,AK,40,5,SL,,2010,30934,0,0,1,0,11,2022
1,AK,42,3,,XC,1220,3282,84,199,1,X,11,2022
1,AK,44,1,,XC,1220,1464134,4535924,14496,1,X,11,2022
1,AK,44,6,NL,,2010,89675,0,0,1,0,11,2022
1,AK,45,5,,XO,1220,4737,0,78,1,X,11,2022
1,AK,47,6,MX,,2010,60521,0,0,1,0,11,2022
1,AK,48,5,JA,,2010,18643,0,0,1,0,11,2022
1,AK,55,1,XX,,2010,2829,231,0,1,1,11,2022
1,AK,59,5,SL,,2010,83332,0,0,1,0,11,2022
1,AK,63,3,,XA,1220,3187,124,54,1,X,11,2022
1,AK,63,3,,XC,1220,9407,1076,66,1,X,11,2022
1,AK,63,3,,XM,1220,9820,1122,372,1,X,11,2022
1,AK,63,5,,XO,1220,16129,0,609,1,X,11,2022
1,AK,68,5,CM,,2010,32445,0,0,1,0,11,2022
1,AK,68,5,DF,,2010,43207,0,0,1,0,11,2022
1,AK,68,5,NL,,2010,15383,0,0,1,0,11,2022
1,AK,70,5,,XO,1220,15913,0,8,1,X,11,2022
1,AK,71,3,,XC,1220,7085,1,74,1,X,11,2022
1,AK,71,3,,XO,1220,1035604,20,10253,1,X,11,2022
1,AK,71,5,CM,,2010,134316,0,0,2,0,11,2022
1,AK,72,3,,XQ,1220,2538,3048,54,2,X,11,2022
1,AK,73,3,,XQ,1220,3027,2,89,1,X,11,2022
1,AK,73,5,,XC,1220,9837,0,193,2,X,11,2022
1,AK,73,5,,XO,1220,9628,0,8,1,X,11,2022
1,AK,73,5,SO,,2010,17000,0,0,1,0,11,2022
1,AK,76,5,MX,,2010,70662,0,0,1,0,11,2022
1,AK,82,5,,XO,1220,8518,0,167,2,X,11,2022
1,AK,82,5,SI,,2010,207992,0,0,1,0,11,2022
1,AK,84,3,,XA,1220,9660,139,123,1,X,11,2022
1,AK,84,3,,XC,1220,7315,60,74,1,X,11,2022
1,AK,84,3,,XO,1220,104746,66,74,2,X,11,2022
1,AK,84,3,,XQ,1220,5116,4,118,2,X,11,2022
1,AK,84,5,,XA,1220,257962,0,5056,1,X,11,2022
1,AK,84,5,,XC,1220,43220,0,931,1,X,11,2022
1,AK,84,5,,XY,1220,632881,0,12422,1,X,11,2022
1,AK,84,5,,XY,1220,21844,0,1455,2,X,11,2022
1,AK,84,5,CM,,2010,9544,0,0,1,0,11,2022
1,AK,84,5,CM,,2010,66470,0,0,2,0,11,2022
1,AK,84,5,JA,,2010,6835,0,0,1,0,11,2022
1,AK,84,5,MX,,2010,119623,0,0,1,0,11,2022
1,AK,84,5,TM,,2010,39900,0,0,1,0,11,2022
1,AK,85,3,,XA,1220,14116,36,565,1,X,11,2022
1,AK,85,3,,XA,1220,65938,70,824,2,X,11,2022
1,AK,85,3,,XO,1220,15485,80,717,1,X,11,2022
1,AK,85,3,,XQ,1220,12468,28,200,2,X,11,2022
1,AK,85,5,,XA,1220,16637,0,1107,1,X,11,2022
1,AK,85,5,,XC,1220,158243,0,2921,1,X,11,2022
1,AK,85,5,,XM,1220,4483,0,371,1,X,11,2022
1,AK,85,5,,XO,1220,3077,0,1,1,X,11,2022
1,AK,85,5,,XY,1220,1926591,0,6686,1,X,11,2022
1,AK,85,5,NL,,2010,3410,0,0,2,0,11,2022
1,AK,87,5,,XO,1220,12783,0,250,2,X,11,2022
1,AK,87,5,,XY,1220,9597,0,159,1,X,11,2022
1,AK,87,5,CO,,2010,28787,0,0,2,0,11,2022
