TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XQ,1220,2875,0,21,1,X,10,2022
1,AK,09XX,3,,XO,1220,2568,4,65,1,X,10,2022
1,AK,20XX,3,,XA,1220,94896,905,5211,1,X,10,2022
1,AK,20XX,3,,XA,1220,35776,256,491,2,X,10,2022
1,AK,20XX,3,,XC,1220,169358,536,11560,1,X,10,2022
1,AK,20XX,3,,XC,1220,12413,25,730,2,X,10,2022
1,AK,20XX,3,,XM,1220,32229,109,217,1,X,10,2022
1,AK,20XX,3,,XO,1220,21023,129,527,1,X,10,2022
1,AK,20XX,3,,XO,1220,46440,135,786,2,X,10,2022
1,AK,20XX,3,,XQ,1220,58189,120,1095,1,X,10,2022
1,AK,20XX,3,,XQ,1220,22322,64,54,2,X,10,2022
1,AK,2303,6,CO,,2010,113471,0,0,1,0,10,2022
1,AK,2304,5,CM,,2010,8827,0,0,1,0,10,2022
1,AK,2304,5,CM,,2010,77664,0,0,2,0,10,2022
1,AK,2304,5,CO,,2010,8143,0,0,2,0,10,2022
1,AK,2304,5,DF,,2010,8527,0,0,1,0,10,2022
1,AK,2304,5,DG,,2010,3749,0,0,2,0,10,2022
1,AK,2304,5,GT,,2010,38236,0,0,1,0,10,2022
1,AK,2304,5,JA,,2010,4556,0,0,2,0,10,2022
1,AK,2304,5,MX,,2010,77703,0,0,1,0,10,2022
1,AK,2304,5,MX,,2010,38673,0,0,2,0,10,2022
1,AK,2304,5,NL,,2010,2309545,0,0,1,0,10,2022
1,AK,2304,5,QT,,2010,2942,0,0,1,0,10,2022
1,AK,2304,5,QT,,2010,5750,0,0,2,0,10,2022
1,AK,2304,5,SL,,2010,312861,0,0,1,0,10,2022
1,AK,2304,6,NL,,2010,70193,0,0,1,0,10,2022
1,AK,2304,8,NL,,2010,4185,0,0,1,X,10,2022
1,AK,2305,5,JA,,2010,16200,0,0,2,0,10,2022
1,AK,2305,5,TM,,2010,6435,0,0,2,0,10,2022
1,AK,2305,8,TM,,2010,5066,0,0,1,X,10,2022
1,AK,2401,5,NL,,2010,2820,0,0,1,0,10,2022
1,AK,2402,5,CH,,2010,6476,0,0,1,0,10,2022
1,AK,2404,8,CH,,2010,10930,0,0,1,X,10,2022
1,AK,2604,5,SO,,2010,76299,0,0,1,0,10,2022
1,AK,2604,8,SO,,2010,8793,0,0,1,X,10,2022
1,AK,3004,5,,XC,1220,11666076,0,321449,1,X,10,2022
1,AK,3004,5,,XC,1220,71792,0,1008,2,X,10,2022
1,AK,3009,5,,XC,1220,1424148,0,12888,1,X,10,2022
1,AK,3019,5,,XC,1220,3128,0,7,1,X,10,2022
1,AK,3023,5,,XC,1220,139352,0,1378,1,X,10,2022
1,AK,30XX,3,,XC,1220,26914,908,409,1,X,10,2022
1,AK,3101,5,,XC,1220,14465,0,316,1,X,10,2022
1,AK,3102,8,,XC,1220,22790,0,678,1,X,10,2022
1,AK,3103,5,,XC,1220,7870352,0,76754,1,X,10,2022
1,AK,3104,5,,XC,1220,3342891,0,113035,1,X,10,2022
1,AK,3104,5,,XY,1220,328313,0,6319,1,X,10,2022
1,AK,3104,5,,XY,1220,798228,0,12606,2,X,10,2022
1,AK,3106,5,,XC,1220,1753799,0,25237,1,X,10,2022
1,AK,3106,5,,XC,1220,9861,0,193,2,X,10,2022
1,AK,3126,5,,XY,1220,466224,0,6389,1,X,10,2022
1,AK,31XX,1,,XC,1220,22856071,10678106,78589,1,X,10,2022
1,AK,31XX,3,,XC,1220,116914,47,423,1,X,10,2022
1,AK,31XX,3,,XY,1220,201572,965,684,1,X,10,2022
1,AK,3302,5,,XC,1220,31877,0,623,1,X,10,2022
1,AK,3310,5,,XA,1220,685999,0,13305,1,X,10,2022
1,AK,3310,5,,XC,1220,3118,0,48,1,X,10,2022
1,AK,3401,5,,XM,1220,31983,0,1045,1,X,10,2022
1,AK,3401,5,,XM,1220,3007,0,1,2,X,10,2022
1,AK,3403,5,,XS,1220,9606,0,292,1,X,10,2022
1,AK,34XX,3,,XM,1220,14153,844,473,1,X,10,2022
1,AK,3801,5,,XA,1220,21396,0,419,1,X,10,2022
1,AK,3802,5,,XO,1220,63592,0,910,1,X,10,2022
1,AK,4101,3,,XO,1220,2657051,58,9326,1,X,10,2022
1,AK,4101,3,,XO,1220,7547,3,73,2,X,10,2022
1,AK,4101,3,,XQ,1220,18144,250,255,1,X,10,2022
1,AK,4101,3,,XQ,1220,75713,345,172,2,X,10,2022
1,AK,4102,5,,XC,1220,5596,0,182,1,X,10,2022
1,AK,70XX,5,,XC,1220,13158,0,463,1,X,10,2022
1,AK,70XX,8,,XA,1220,4417,0,110,1,X,10,2022
1,AK,70XX,8,,XC,1220,2521,0,67,1,X,10,2022
1,AK,70XX,8,,XQ,1220,2111,0,146,1,X,10,2022
1,AK,70XX,8,,XQ,1220,635,0,9,2,X,10,2022
1,AK,70XX,8,,XY,1220,1586,0,20,1,X,10,2022
1,AL,0104,5,,XO,1220,5672,0,165,1,X,10,2022
1,AL,0106,5,,XB,1220,146841,0,10590,1,X,10,2022
1,AL,0106,5,,XB,1220,74294,0,1456,2,X,10,2022
1,AL,0115,5,,XB,1220,777776,0,27948,1,X,10,2022
1,AL,0115,5,,XB,1220,81873,0,998,2,X,10,2022
1,AL,0115,5,,XQ,1220,2539,0,0,2,X,10,2022
1,AL,0209,5,,XQ,1220,3008,0,27,2,X,10,2022
1,AL,0212,5,,XB,1220,11265,0,91,1,X,10,2022
1,AL,0212,5,,XQ,1220,192320,0,1904,2,X,10,2022
1,AL,0701,5,,XO,1220,810549,0,15986,1,X,10,2022
1,AL,0708,5,,XO,1220,3991936,0,82559,1,X,10,2022
1,AL,0708,5,,XO,1220,221701,0,4868,2,X,10,2022
1,AL,0708,5,,XQ,1220,206986,0,6568,1,X,10,2022
1,AL,0712,5,,XA,1220,21535,0,2596,1,X,10,2022
1,AL,0712,5,,XM,1220,27386,0,1311,1,X,10,2022
1,AL,0712,5,,XO,1220,202577,0,11954,1,X,10,2022
1,AL,0712,5,,XO,1220,15024,0,689,2,X,10,2022
1,AL,0712,5,,XQ,1220,2281897,0,64054,1,X,10,2022
1,AL,0712,5,,XQ,1220,805789,0,14701,2,X,10,2022
1,AL,0712,6,,XQ,1220,278298,0,6527,1,X,10,2022
1,AL,07XX,3,,XQ,1220,105053,2877,1179,1,X,10,2022
1,AL,0901,5,,XC,1220,77971,0,1844,1,X,10,2022
1,AL,0901,5,,XM,1220,114179,0,3845,1,X,10,2022
1,AL,0901,5,,XO,1220,34840820,0,419387,1,X,10,2022
1,AL,0901,5,,XO,1220,1904531,0,39507,2,X,10,2022
1,AL,0901,5,,XQ,1220,52113,0,1354,1,X,10,2022
1,AL,0901,6,,XO,1220,668464,0,8767,1,X,10,2022
1,AL,0901,8,,XO,1220,3208,0,0,1,X,10,2022
1,AL,09XX,3,,XO,1220,64213,259,471,1,X,10,2022
1,AL,09XX,3,,XO,1220,24224,15,21,2,X,10,2022
1,AL,09XX,3,,XQ,1220,149384,1035,2680,1,X,10,2022
1,AL,09XX,3,,XQ,1220,9489,268,185,2,X,10,2022
1,AL,1704,3,,XQ,1220,14938,367,221,1,X,10,2022
1,AL,17XX,1,XX,,2010,38008648,2100090,0,1,0,10,2022
1,AL,17XX,3,XX,,2010,23599,199,0,2,0,10,2022
1,AL,18XX,1,XX,,2010,341000,905153,0,1,0,10,2022
1,AL,18XX,1,XX,,2010,88322,78292,0,1,1,10,2022
1,AL,19XX,1,XX,,2010,33582582,35597187,0,1,0,10,2022
1,AL,19XX,1,XX,,2010,4274923,4875093,0,1,1,10,2022
1,AL,19XX,1,XX,,2010,2723,7189,0,2,0,10,2022
1,AL,19XX,1,XX,,2010,160905,285000,0,2,1,10,2022
1,AL,20XX,3,,XA,1220,486090,7980,6071,1,X,10,2022
1,AL,20XX,3,,XA,1220,37836,259,386,2,X,10,2022
1,AL,20XX,3,,XC,1220,58104,476,777,1,X,10,2022
1,AL,20XX,3,,XC,1220,10652,3,208,2,X,10,2022
1,AL,20XX,3,,XM,1220,10053,49,151,2,X,10,2022
1,AL,20XX,3,,XO,1220,416899,4107,7841,1,X,10,2022
1,AL,20XX,3,,XO,1220,77151,161,885,2,X,10,2022
