TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,6280271,0,158157,1,X,10,2022
1,AK,03,5,,XC,1220,68671,0,941,2,X,10,2022
1,AK,03,5,,XO,1220,49210,0,674,1,X,10,2022
1,AK,03,5,,XY,1220,466224,0,6389,1,X,10,2022
1,AK,05,5,,XC,1220,43828,0,876,1,X,10,2022
1,AK,07,5,,XC,1220,3865,0,149,1,X,10,2022
1,AK,08,5,JA,,2010,16200,0,0,2,0,10,2022
1,AK,12,5,MX,,2010,26846,0,0,1,0,10,2022
1,AK,15,5,,XC,1220,502164,0,4718,1,X,10,2022
1,AK,16,5,,XC,1220,8410591,0,276134,1,X,10,2022
1,AK,21,5,NL,,2010,170360,0,0,1,0,10,2022
1,AK,23,5,,XC,1220,1130857,0,8141,1,X,10,2022
1,AK,26,1,,XC,1220,22296470,8591581,73049,1,X,10,2022
1,AK,27,5,,XC,1220,9463693,0,101525,1,X,10,2022
1,AK,27,5,,XY,1220,8497,0,166,1,X,10,2022
1,AK,27,5,SO,,2010,14540,0,0,1,0,10,2022
1,AK,32,5,GT,,2010,38236,0,0,1,0,10,2022
1,AK,38,5,TM,,2010,6435,0,0,2,0,10,2022
1,AK,39,5,,XC,1220,3121,0,67,2,X,10,2022
1,AK,39,5,NL,,2010,2820,0,0,1,0,10,2022
1,AK,39,5,SO,,2010,52079,0,0,1,0,10,2022
1,AK,42,3,,XC,1220,7115,37,169,1,X,10,2022
1,AK,44,1,,XC,1220,559601,2086525,5540,1,X,10,2022
1,AK,44,6,NL,,2010,70193,0,0,1,0,10,2022
1,AK,56,5,,XC,1220,6259,0,122,1,X,10,2022
1,AK,63,3,,XA,1220,9515,534,534,1,X,10,2022
1,AK,63,3,,XC,1220,11185,898,129,1,X,10,2022
1,AK,63,3,,XM,1220,10161,867,337,1,X,10,2022
1,AK,63,3,,XO,1220,2630,94,172,1,X,10,2022
1,AK,63,5,,XC,1220,9691,0,367,1,X,10,2022
1,AK,63,5,,XO,1220,4428,0,75,1,X,10,2022
1,AK,63,5,CM,,2010,8827,0,0,1,0,10,2022
1,AK,71,3,,XO,1220,2658281,58,9326,1,X,10,2022
1,AK,72,6,CO,,2010,113471,0,0,1,0,10,2022
1,AK,73,5,,XC,1220,43438,0,430,1,X,10,2022
1,AK,73,5,,XC,1220,9861,0,193,2,X,10,2022
1,AK,73,5,SL,,2010,303661,0,0,1,0,10,2022
1,AK,74,5,DF,,2010,8527,0,0,1,0,10,2022
1,AK,76,5,NL,,2010,111712,0,0,1,0,10,2022
1,AK,82,5,CH,,2010,6476,0,0,1,0,10,2022
1,AK,83,3,,XA,1220,2970,72,56,2,X,10,2022
1,AK,84,3,,XA,1220,8172,18,159,1,X,10,2022
1,AK,84,3,,XA,1220,7716,7,36,2,X,10,2022
1,AK,84,3,,XC,1220,3253,5,8,1,X,10,2022
