TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,14075,0,1499,1,X,09,2022
1,AK,20XX,3,,XA,1220,31593,121,395,1,X,09,2022
1,AK,20XX,3,,XC,1220,120543,601,9438,1,X,09,2022
1,AK,20XX,3,,XC,1220,8119,7,93,2,X,09,2022
1,AK,20XX,3,,XM,1220,7570,600,74,1,X,09,2022
1,AK,20XX,3,,XO,1220,13826,462,351,1,X,09,2022
1,AK,20XX,3,,XQ,1220,3022,139,61,1,X,09,2022
1,AK,20XX,3,,XQ,1220,66717,297,37,2,X,09,2022
1,AK,2303,5,CO,,2010,8019,0,0,1,0,09,2022
1,AK,2304,5,CH,,2010,13446,0,0,1,0,09,2022
1,AK,2304,5,CM,,2010,115468,0,0,2,0,09,2022
1,AK,2304,5,DF,,2010,2583,0,0,1,0,09,2022
1,AK,2304,5,GT,,2010,37519,0,0,1,0,09,2022
1,AK,2304,5,HG,,2010,3024,0,0,1,0,09,2022
1,AK,2304,5,JA,,2010,61300,0,0,1,0,09,2022
1,AK,2304,5,JA,,2010,3429,0,0,2,0,09,2022
1,AK,2304,5,MX,,2010,39399,0,0,1,0,09,2022
1,AK,2304,5,NL,,2010,1358704,0,0,1,0,09,2022
1,AK,2304,5,PU,,2010,70580,0,0,1,0,09,2022
1,AK,2304,5,PU,,2010,37000,0,0,2,0,09,2022
1,AK,2304,5,QT,,2010,252217,0,0,1,0,09,2022
1,AK,2304,5,QT,,2010,78621,0,0,2,0,09,2022
1,AK,2304,5,SL,,2010,4242,0,0,1,0,09,2022
1,AK,2304,5,SL,,2010,68024,0,0,2,0,09,2022
1,AK,2304,5,TM,,2010,12395,0,0,2,0,09,2022
1,AK,2304,8,TM,,2010,3683,0,0,1,X,09,2022
1,AK,2305,5,JA,,2010,115838,0,0,2,0,09,2022
1,AK,2310,5,JA,,2010,24915,0,0,1,0,09,2022
1,AK,2402,6,CH,,2010,258903,0,0,2,0,09,2022
1,AK,2506,5,BC,,2010,9555,0,0,1,0,09,2022
1,AK,2507,5,BC,,2010,14220,0,0,1,0,09,2022
1,AK,2604,8,SO,,2010,5153,0,0,2,X,09,2022
1,AK,3004,5,,XC,1220,6357515,0,169807,1,X,09,2022
1,AK,3004,5,,XC,1220,3499,0,68,2,X,09,2022
1,AK,3004,5,,XY,1220,42134,0,416,1,X,09,2022
1,AK,3009,5,,XC,1220,687603,0,7047,1,X,09,2022
1,AK,30XX,1,XX,,2010,309750,77687,0,1,1,09,2022
1,AK,30XX,3,,XC,1220,9941,607,232,1,X,09,2022
1,AK,3101,5,,XC,1220,37565,0,820,1,X,09,2022
1,AK,3103,5,,XC,1220,8184312,0,81023,1,X,09,2022
1,AK,3103,5,,XC,1220,8608,0,206,2,X,09,2022
1,AK,3104,5,,XC,1220,967200,0,32708,1,X,09,2022
1,AK,3104,5,,XO,1220,172498,0,1,1,X,09,2022
1,AK,3104,5,,XY,1220,563699,0,9168,1,X,09,2022
1,AK,3104,5,,XY,1220,356862,0,5637,2,X,09,2022
1,AK,3104,8,,XY,1220,5121,0,0,1,X,09,2022
1,AK,3106,5,,XC,1220,2059157,0,36899,1,X,09,2022
1,AK,3126,5,,XY,1220,2215398,0,30362,1,X,09,2022
1,AK,31XX,1,,XC,1220,278798015,91899489,224897,1,X,09,2022
1,AK,31XX,1,XX,,2010,403210,104145,0,1,1,09,2022
1,AK,31XX,3,,XY,1220,73595,1006,654,1,X,09,2022
1,AK,3310,5,,XA,1220,465419,0,9123,1,X,09,2022
1,AK,3310,5,,XY,1220,30073,0,589,2,X,09,2022
1,AK,3401,5,,XM,1220,23725,0,563,1,X,09,2022
1,AK,3501,3,,XM,1220,26927,34,784,1,X,09,2022
1,AK,3801,5,,XA,1220,5153,0,101,1,X,09,2022
1,AK,3801,5,,XO,1220,51955,0,5451,1,X,09,2022
1,AK,4101,3,,XA,1220,3727,12,89,1,X,09,2022
1,AK,4101,3,,XC,1220,4103,21,78,1,X,09,2022
1,AK,4101,3,,XO,1220,1229068,33,4406,1,X,09,2022
1,AK,4101,3,,XQ,1220,13254,8,114,1,X,09,2022
1,AK,70XX,5,,XC,1220,7815,0,275,1,X,09,2022
1,AK,70XX,8,,XC,1220,7877,0,475,1,X,09,2022
1,AK,70XX,8,,XY,1220,516,0,4,1,X,09,2022
1,AL,0106,5,,XB,1220,347429,0,20509,1,X,09,2022
1,AL,0115,5,,XB,1220,209144,0,15132,1,X,09,2022
