TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01,5,QT,,2010,9757,0,0,1,0,09,2022
1,AK,03,1,XX,,2010,712960,181832,0,1,1,09,2022
1,AK,03,5,,XC,1220,6792352,0,193707,1,X,09,2022
1,AK,03,5,,XY,1220,2215398,0,30362,1,X,09,2022
1,AK,05,5,,XY,1220,29780,0,584,1,X,09,2022
1,AK,08,5,JA,,2010,115838,0,0,2,0,09,2022
1,AK,15,5,,XC,1220,420845,0,4023,1,X,09,2022
1,AK,16,5,,XC,1220,185313,0,6266,1,X,09,2022
1,AK,23,5,,XC,1220,490108,0,3540,1,X,09,2022
1,AK,23,5,JA,,2010,24915,0,0,1,0,09,2022
1,AK,26,1,,XC,1220,278798015,91899489,224897,1,X,09,2022
1,AK,27,5,,XC,1220,10055471,0,116010,1,X,09,2022
1,AK,27,5,,XY,1220,345888,0,4846,1,X,09,2022
1,AK,27,5,,XY,1220,22070,0,432,2,X,09,2022
1,AK,28,5,CH,,2010,13446,0,0,1,0,09,2022
1,AK,33,5,CM,,2010,18533,0,0,2,0,09,2022
1,AK,39,3,,XY,1220,9459,61,112,1,X,09,2022
1,AK,39,5,,XB,1220,14075,0,1499,1,X,09,2022
1,AK,39,5,HG,,2010,3024,0,0,1,0,09,2022
1,AK,39,5,JA,,2010,3429,0,0,2,0,09,2022
1,AK,40,5,,XY,1220,25073,0,491,2,X,09,2022
1,AK,44,5,,XC,1220,27736,0,224,1,X,09,2022
1,AK,48,3,,XC,1220,2536,31,49,1,X,09,2022
1,AK,48,5,BC,,2010,14220,0,0,1,0,09,2022
1,AK,48,5,NL,,2010,13735,0,0,1,0,09,2022
1,AK,54,5,JA,,2010,51246,0,0,1,0,09,2022
1,AK,55,5,PU,,2010,65580,0,0,1,0,09,2022
1,AK,59,5,JA,,2010,10054,0,0,1,0,09,2022
