TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XQ,1220,203269,0,2012,2,X,08,2023
1,AK,0901,5,,XO,1220,989839,0,3518,1,X,08,2023
1,AK,09XX,3,,XO,1220,10100,31,198,1,X,08,2023
1,AK,20XX,3,,XA,1220,40928,259,737,1,X,08,2023
1,AK,20XX,3,,XA,1220,48790,172,931,2,X,08,2023
1,AK,20XX,3,,XC,1220,112303,1350,8233,1,X,08,2023
1,AK,20XX,3,,XC,1220,29153,14,96,2,X,08,2023
1,AK,20XX,3,,XO,1220,39074,235,274,1,X,08,2023
1,AK,20XX,3,,XQ,1220,40560,123,561,1,X,08,2023
1,AK,20XX,3,,XQ,1220,109360,381,137,2,X,08,2023
1,AK,20XX,8,,XC,1220,12981,0,441,1,X,08,2023
1,AK,2303,5,CO,,2010,2515,0,0,2,0,08,2023
1,AK,2304,5,CM,,2010,52476,0,0,2,0,08,2023
1,AK,2304,5,CO,,2010,12864,0,0,1,0,08,2023
1,AK,2304,5,CO,,2010,26292,0,0,2,0,08,2023
1,AK,2304,5,DF,,2010,6768,0,0,1,0,08,2023
1,AK,2304,5,DG,,2010,5961,0,0,1,0,08,2023
1,AK,2304,5,DG,,2010,24957,0,0,2,0,08,2023
1,AK,2304,5,GT,,2010,965275,0,0,1,0,08,2023
1,AK,2304,5,GT,,2010,79321,0,0,2,0,08,2023
1,AK,2304,5,JA,,2010,110744,0,0,1,0,08,2023
1,AK,2304,5,JA,,2010,133519,0,0,2,0,08,2023
1,AK,2304,5,MI,,2010,89197,0,0,1,0,08,2023
1,AK,2304,5,MX,,2010,212471,0,0,1,0,08,2023
1,AK,2304,5,MX,,2010,11339,0,0,2,0,08,2023
1,AK,2304,5,NL,,2010,19596,0,0,1,0,08,2023
1,AK,2304,5,NL,,2010,1421884,0,0,2,0,08,2023
1,AK,2304,5,OT,,2010,15716,0,0,1,0,08,2023
1,AK,2304,5,PU,,2010,14893,0,0,1,0,08,2023
1,AK,2304,5,QT,,2010,4021,0,0,2,0,08,2023
1,AK,2304,5,SL,,2010,36134,0,0,1,0,08,2023
1,AK,2304,5,SL,,2010,86336,0,0,2,0,08,2023
1,AK,2304,5,TM,,2010,6155,0,0,2,0,08,2023
1,AK,2304,6,DF,,2010,23824,0,0,1,0,08,2023
1,AK,2304,6,MX,,2010,405941,0,0,1,0,08,2023
1,AK,2304,8,TM,,2010,7500,0,0,1,X,08,2023
1,AK,2305,5,GT,,2010,70560,0,0,1,0,08,2023
1,AK,2305,5,JA,,2010,165893,0,0,2,0,08,2023
1,AK,2305,5,MX,,2010,40647,0,0,1,0,08,2023
1,AK,2305,5,MX,,2010,4282,0,0,2,0,08,2023
1,AK,2305,5,NL,,2010,30958,0,0,1,0,08,2023
1,AK,2305,5,NL,,2010,21450,0,0,2,0,08,2023
1,AK,2305,5,TM,,2010,45936,0,0,1,0,08,2023
1,AK,2408,5,CH,,2010,14539,0,0,1,0,08,2023
1,AK,2506,5,BC,,2010,46790,0,0,1,0,08,2023
1,AK,2506,5,BC,,2010,160794,0,0,2,0,08,2023
1,AK,2604,5,SO,,2010,57541,0,0,1,0,08,2023
1,AK,3003,5,,XA,1220,4573,0,89,1,X,08,2023
1,AK,3004,5,,XC,1220,16228907,0,178129,1,X,08,2023
1,AK,3004,5,,XC,1220,79899,0,1239,2,X,08,2023
1,AK,3009,5,,XC,1220,893106,0,6177,1,X,08,2023
1,AK,3023,5,,XC,1220,377880,0,3141,1,X,08,2023
1,AK,30XX,1,,XC,1220,12252,54431,121,1,X,08,2023
1,AK,30XX,3,,XC,1220,12974,87,255,1,X,08,2023
1,AK,3101,5,,XC,1220,30406,0,666,1,X,08,2023
1,AK,3103,5,,XC,1220,8144646,0,90140,1,X,08,2023
1,AK,3103,5,,XC,1220,6850,0,163,2,X,08,2023
1,AK,3104,5,,XW,1220,13563,0,0,1,X,08,2023
1,AK,3104,5,,XY,1220,1082884,0,18316,1,X,08,2023
1,AK,3104,5,,XY,1220,333901,0,6189,2,X,08,2023
1,AK,3106,5,,XC,1220,2183817,0,42267,1,X,08,2023
1,AK,3111,5,,XY,1220,175714,0,1739,2,X,08,2023
1,AK,3126,5,,XY,1220,3093565,0,42591,1,X,08,2023
1,AK,31XX,1,,XC,1220,119143678,74030163,237045,1,X,08,2023
1,AK,3302,5,,XC,1220,563078,0,8169,1,X,08,2023
1,AK,3310,5,,XA,1220,187091,0,3667,1,X,08,2023
1,AK,3310,5,,XA,1220,4959,0,69,2,X,08,2023
1,AK,3401,5,,XM,1220,5804,0,115,1,X,08,2023
1,AK,3401,5,,XM,1220,134234,0,2631,2,X,08,2023
1,AK,3401,5,,XY,1220,13043,0,1269,1,X,08,2023
1,AK,3403,5,,XS,1220,20488,0,370,1,X,08,2023
1,AK,3403,5,,XS,1220,805404,0,15786,2,X,08,2023
1,AK,35XX,3,,XA,1220,7460,39,633,1,X,08,2023
1,AK,3801,5,,XO,1220,10320,0,391,1,X,08,2023
1,AK,3801,5,,XO,1220,12980,0,330,2,X,08,2023
1,AK,3802,5,,XO,1220,3950,0,86,1,X,08,2023
1,AK,38XX,3,,XQ,1220,11143,137,73,2,X,08,2023
1,AK,4101,3,,XO,1220,3705,1,72,2,X,08,2023
1,AK,41XX,3,XX,,2010,3882,238,0,1,0,08,2023
1,AK,5201,1,,XC,1220,348932,1800000,3454,1,X,08,2023
1,AK,53XX,1,,XB,1220,4083492,955129,89465,1,X,08,2023
1,AK,70XX,5,,XC,1220,14252,0,501,1,X,08,2023
1,AK,70XX,8,,XC,1220,2424,0,263,1,X,08,2023
1,AL,0106,5,,XB,1220,804163,0,13789,1,X,08,2023
1,AL,0106,5,,XB,1220,73710,0,1445,2,X,08,2023
1,AL,0115,5,,XB,1220,769051,0,16338,1,X,08,2023
1,AL,0115,5,,XB,1220,3783,0,74,2,X,08,2023
1,AL,0212,5,,XQ,1220,68667,0,1075,1,X,08,2023
1,AL,0701,5,,XO,1220,59042,0,1158,1,X,08,2023
1,AL,0701,5,,XQ,1220,307864,0,3313,2,X,08,2023
1,AL,0704,5,,XO,1220,8129,0,159,1,X,08,2023
1,AL,0708,5,,XO,1220,2823910,0,54673,1,X,08,2023
1,AL,0708,5,,XO,1220,580227,0,9246,2,X,08,2023
1,AL,0708,5,,XQ,1220,409229,0,13344,1,X,08,2023
1,AL,0708,8,,XO,1220,22542,0,442,1,X,08,2023
1,AL,0712,5,,XM,1220,20946,0,749,1,X,08,2023
1,AL,0712,5,,XO,1220,277072,0,7285,1,X,08,2023
1,AL,0712,5,,XQ,1220,2914366,0,59976,1,X,08,2023
1,AL,0712,5,,XQ,1220,692269,0,14462,2,X,08,2023
1,AL,0712,6,,XO,1220,1623419,0,36161,1,X,08,2023
1,AL,0712,6,,XQ,1220,44078,0,864,1,X,08,2023
1,AL,07XX,3,,XA,1220,2512,7,48,2,X,08,2023
1,AL,07XX,3,,XQ,1220,5275,250,92,1,X,08,2023
1,AL,07XX,3,,XQ,1220,5389,96,105,2,X,08,2023
1,AL,0901,5,,XC,1220,6109,0,120,1,X,08,2023
1,AL,0901,5,,XO,1220,48352527,0,500146,1,X,08,2023
1,AL,0901,5,,XO,1220,3079768,0,50464,2,X,08,2023
1,AL,0901,6,,XA,1220,49770,0,1854,1,X,08,2023
1,AL,0901,6,,XO,1220,277325,0,3975,1,X,08,2023
1,AL,0901,6,,XQ,1220,7280,0,162,1,X,08,2023
1,AL,09XX,3,,XO,1220,12391,40,86,1,X,08,2023
1,AL,09XX,3,,XO,1220,65430,2243,1222,2,X,08,2023
1,AL,09XX,3,,XQ,1220,66334,973,1234,1,X,08,2023
1,AL,09XX,3,,XQ,1220,6898,26,74,2,X,08,2023
1,AL,16XX,3,,XM,1220,3496,127,133,2,X,08,2023
1,AL,1704,3,,XO,1220,29477,231,579,1,X,08,2023
1,AL,17XX,1,XX,,2010,29693652,1418292,0,1,0,08,2023
1,AL,18XX,1,XX,,2010,14175,2604,0,1,1,08,2023
1,AL,19XX,1,XX,,2010,30135276,26350075,0,1,0,08,2023
1,AL,19XX,1,XX,,2010,9847859,10526686,0,1,1,08,2023
1,AL,19XX,3,XX,,2010,15829,42,0,1,0,08,2023
1,AL,20XX,3,,XA,1220,532249,8661,6169,1,X,08,2023
1,AL,20XX,3,,XA,1220,20911,157,422,2,X,08,2023
1,AL,20XX,3,,XC,1220,107236,2458,1576,1,X,08,2023
1,AL,20XX,3,,XC,1220,25288,143,465,2,X,08,2023
1,AL,20XX,3,,XM,1220,8597,45,208,1,X,08,2023
1,AL,20XX,3,,XM,1220,6612,76,129,2,X,08,2023
1,AL,20XX,3,,XO,1220,1037511,23274,5682,1,X,08,2023
1,AL,20XX,3,,XO,1220,89438,556,1945,2,X,08,2023
1,AL,20XX,3,,XQ,1220,1760945,11598,18392,1,X,08,2023
1,AL,20XX,3,,XQ,1220,285241,1553,1875,2,X,08,2023
1,AL,20XX,3,XX,,2010,995423,11425,0,1,0,08,2023
1,AL,20XX,3,XX,,2010,71895,450,0,2,0,08,2023
1,AL,20XX,8,,XA,1220,8969,0,74,1,X,08,2023
1,AL,20XX,8,,XO,1220,361107,0,74,1,X,08,2023
