TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,,XB,1220,4083492,955129,89465,1,X,08,2023
1,AK,03,1,,XC,1220,511294,417189,7480,1,X,08,2023
1,AK,03,5,,XC,1220,3666471,0,50786,1,X,08,2023
1,AK,03,5,,XC,1220,63460,0,870,2,X,08,2023
1,AK,03,5,,XY,1220,3335567,0,45908,1,X,08,2023
1,AK,05,5,,XC,1220,55368,0,548,1,X,08,2023
1,AK,05,5,,XY,1220,92686,0,3066,1,X,08,2023
1,AK,07,5,GT,,2010,70560,0,0,1,0,08,2023
1,AK,08,5,JA,,2010,165893,0,0,2,0,08,2023
1,AK,15,5,,XC,1220,2165743,0,20129,1,X,08,2023
1,AK,16,5,,XC,1220,11655090,0,116430,1,X,08,2023
1,AK,17,5,JA,,2010,76570,0,0,1,0,08,2023
1,AK,19,5,NL,,2010,21450,0,0,2,0,08,2023
1,AK,23,5,,XC,1220,608250,0,6446,1,X,08,2023
1,AK,26,1,,XC,1220,117926795,73246904,222579,1,X,08,2023
1,AK,27,5,,XC,1220,10112686,0,129451,1,X,08,2023
1,AK,27,5,SO,,2010,6501,0,0,1,0,08,2023
1,AK,28,5,GT,,2010,266477,0,0,1,0,08,2023
1,AK,28,5,JA,,2010,34174,0,0,1,0,08,2023
1,AK,29,5,PU,,2010,3210,0,0,1,0,08,2023
1,AK,33,5,OT,,2010,15716,0,0,1,0,08,2023
1,AK,34,5,SO,,2010,37125,0,0,1,0,08,2023
1,AK,35,5,NL,,2010,6577,0,0,2,0,08,2023
1,AK,38,5,DG,,2010,8608,0,0,2,0,08,2023
1,AK,38,5,NL,,2010,626684,0,0,2,0,08,2023
1,AK,38,5,SO,,2010,7455,0,0,1,0,08,2023
1,AK,38,5,TM,,2010,45936,0,0,1,0,08,2023
1,AK,39,5,CO,,2010,4200,0,0,1,0,08,2023
1,AK,39,5,DG,,2010,16349,0,0,2,0,08,2023
1,AK,39,5,GT,,2010,22235,0,0,1,0,08,2023
1,AK,39,5,MX,,2010,5084,0,0,1,0,08,2023
1,AK,39,5,NL,,2010,20549,0,0,1,0,08,2023
1,AK,39,5,PU,,2010,11683,0,0,1,0,08,2023
1,AK,39,6,MX,,2010,405941,0,0,1,0,08,2023
1,AK,40,5,JA,,2010,23779,0,0,2,0,08,2023
1,AK,40,5,MX,,2010,5000,0,0,1,0,08,2023
1,AK,44,1,,XC,1220,348932,1800000,3454,1,X,08,2023
1,AK,44,5,,XC,1220,15829,0,370,1,X,08,2023
1,AK,44,5,SO,,2010,6460,0,0,1,0,08,2023
1,AK,47,5,GT,,2010,25624,0,0,2,0,08,2023
1,AK,47,6,DF,,2010,23824,0,0,1,0,08,2023
1,AK,48,5,MI,,2010,89197,0,0,1,0,08,2023
1,AK,48,5,MX,,2010,23384,0,0,1,0,08,2023
1,AK,49,5,CO,,2010,2714,0,0,2,0,08,2023
1,AK,49,5,NL,,2010,16212,0,0,1,0,08,2023
1,AK,56,5,NL,,2010,660431,0,0,2,0,08,2023
1,AK,59,5,MX,,2010,18307,0,0,1,0,08,2023
1,AK,63,3,,XO,1220,3102,67,66,1,X,08,2023
1,AK,63,3,,XQ,1220,4097,100,67,1,X,08,2023
1,AK,63,5,,XO,1220,10320,0,391,1,X,08,2023
1,AK,68,5,,XO,1220,12980,0,330,2,X,08,2023
1,AK,69,5,GT,,2010,2837,0,0,2,0,08,2023
1,AK,70,5,,XC,1220,6850,0,163,2,X,08,2023
1,AK,71,5,,XO,1220,966371,0,3370,1,X,08,2023
1,AK,72,1,,XC,1220,12252,54431,121,1,X,08,2023
1,AK,73,3,,XC,1220,6014,1021,747,1,X,08,2023
1,AK,73,3,,XO,1220,2586,5,74,1,X,08,2023
1,AK,73,5,,XM,1220,134234,0,2631,2,X,08,2023
1,AK,73,5,,XS,1220,20488,0,370,1,X,08,2023
1,AK,73,5,,XS,1220,805404,0,15786,2,X,08,2023
1,AK,73,5,,XY,1220,254185,0,5454,1,X,08,2023
1,AK,73,5,MX,,2010,22193,0,0,1,0,08,2023
1,AK,74,5,DF,,2010,6768,0,0,1,0,08,2023
1,AK,76,1,,XC,1220,705589,366070,6986,1,X,08,2023
1,AK,76,5,,XA,1220,4573,0,89,1,X,08,2023
1,AK,82,5,CH,,2010,10489,0,0,1,0,08,2023
1,AK,82,5,DG,,2010,2724,0,0,1,0,08,2023
1,AK,82,5,NL,,2010,4603,0,0,2,0,08,2023
1,AK,84,3,,XA,1220,12606,131,219,1,X,08,2023
1,AK,84,3,,XA,1220,3050,104,34,2,X,08,2023
1,AK,84,3,,XC,1220,20705,151,687,1,X,08,2023
1,AK,84,3,,XO,1220,2834,86,74,1,X,08,2023
1,AK,84,3,,XO,1220,3705,1,72,2,X,08,2023
1,AK,84,3,,XQ,1220,120503,518,210,2,X,08,2023
1,AK,84,3,XX,,2010,3882,238,0,1,0,08,2023
1,AK,84,5,,XA,1220,187091,0,3667,1,X,08,2023
1,AK,84,5,,XA,1220,4959,0,69,2,X,08,2023
1,AK,84,5,,XC,1220,59020,0,3411,1,X,08,2023
1,AK,84,5,,XC,1220,3632,0,13,2,X,08,2023
1,AK,84,5,,XM,1220,5804,0,115,1,X,08,2023
1,AK,84,5,,XO,1220,23468,0,148,1,X,08,2023
1,AK,84,5,,XW,1220,13563,0,0,1,X,08,2023
1,AK,84,5,,XY,1220,356104,0,4677,1,X,08,2023
1,AK,84,5,,XY,1220,213388,0,2240,2,X,08,2023
1,AK,84,5,BC,,2010,24864,0,0,1,0,08,2023
1,AK,84,5,BC,,2010,160794,0,0,2,0,08,2023
1,AK,84,5,CH,,2010,4050,0,0,1,0,08,2023
1,AK,84,5,CO,,2010,8664,0,0,1,0,08,2023
1,AK,84,5,CO,,2010,17688,0,0,2,0,08,2023
1,AK,84,5,DG,,2010,3237,0,0,1,0,08,2023
1,AK,84,5,GT,,2010,5083,0,0,2,0,08,2023
1,AK,84,5,MX,,2010,170202,0,0,1,0,08,2023
1,AK,84,5,MX,,2010,4282,0,0,2,0,08,2023
1,AK,84,5,NL,,2010,20977,0,0,2,0,08,2023
1,AK,84,5,SL,,2010,36134,0,0,1,0,08,2023
1,AK,84,5,SL,,2010,86336,0,0,2,0,08,2023
1,AK,85,3,,XA,1220,14109,45,763,1,X,08,2023
1,AK,85,5,,XC,1220,10808,0,212,1,X,08,2023
1,AK,85,5,,XC,1220,2806,0,296,2,X,08,2023
1,AK,85,5,,XY,1220,10060,0,77,2,X,08,2023
1,AK,85,5,BC,,2010,21926,0,0,1,0,08,2023
1,AK,85,5,CM,,2010,52476,0,0,2,0,08,2023
1,AK,85,5,CO,,2010,8405,0,0,2,0,08,2023
1,AK,85,5,GT,,2010,9855,0,0,1,0,08,2023
1,AK,85,5,GT,,2010,45777,0,0,2,0,08,2023
1,AK,85,5,JA,,2010,14672,0,0,2,0,08,2023
1,AK,85,5,MX,,2010,6244,0,0,1,0,08,2023
1,AK,85,5,MX,,2010,11339,0,0,2,0,08,2023
1,AK,85,5,NL,,2010,6928,0,0,2,0,08,2023
1,AK,85,5,QT,,2010,4021,0,0,2,0,08,2023
1,AK,87,5,,XQ,1220,203269,0,2012,2,X,08,2023
1,AK,87,5,,XY,1220,286167,0,5611,2,X,08,2023
1,AK,87,5,GT,,2010,666708,0,0,1,0,08,2023
1,AK,87,5,JA,,2010,95068,0,0,2,0,08,2023
1,AK,87,5,NL,,2010,95684,0,0,2,0,08,2023
