TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,39,5,1220,16334,0,658,1,X,08,2023
1,0101,72,6,1220,48832,0,1964,1,X,08,2023
1,0101,82,5,1220,3162,0,181,1,X,08,2023
1,0101,83,5,1220,2796,0,82,2,X,08,2023
1,0101,85,5,1220,44604,0,413,1,X,08,2023
1,0101,85,5,1220,6624,0,18,2,X,08,2023
1,0101,87,5,1220,7997,0,137,2,X,08,2023
1,0101,90,5,1220,14572,0,427,1,X,08,2023
1,0101,94,5,1220,2565,0,12,2,X,08,2023
1,0102,72,6,1220,26332,0,592,1,X,08,2023
1,0102,84,5,1220,333463,0,1854,2,X,08,2023
1,0103,40,5,1220,11258,0,246,1,X,08,2023
1,0103,73,5,1220,20413,0,828,1,X,08,2023
1,0103,84,5,1220,25212,0,71,1,X,08,2023
1,0103,84,5,1220,3055,0,60,2,X,08,2023
1,0104,01,5,1220,135123,0,2586,1,X,08,2023
1,0104,07,5,1220,60236,0,2321,1,X,08,2023
1,0104,08,5,1220,307502,0,6025,1,X,08,2023
1,0104,19,5,1220,258581,0,20521,1,X,08,2023
1,0104,25,5,1220,12497,0,243,1,X,08,2023
1,0104,31,5,1220,39974,0,4907,1,X,08,2023
1,0104,32,5,1220,8639,0,169,1,X,08,2023
1,0104,35,5,1220,2787,0,138,1,X,08,2023
1,0104,38,5,1220,102918,0,2089,1,X,08,2023
1,0104,39,5,1220,58651,0,2579,1,X,08,2023
1,0104,39,5,1220,20762,0,706,2,X,08,2023
1,0104,40,5,1220,16138,0,630,1,X,08,2023
1,0104,40,5,1220,3523,0,75,2,X,08,2023
1,0104,44,5,1220,6719569,0,210623,1,X,08,2023
1,0104,44,6,1220,42861,0,1112,1,X,08,2023
1,0104,47,5,1220,740953,0,29099,1,X,08,2023
1,0104,48,5,1220,6997245,0,505232,1,X,08,2023
1,0104,48,6,1220,322584,0,3192,1,X,08,2023
1,0104,54,5,1220,509880,0,4117,1,X,08,2023
1,0104,54,5,1220,8901,0,2,2,X,08,2023
1,0104,55,5,1220,494091,0,3670,1,X,08,2023
1,0104,56,5,1220,70465,0,739,1,X,08,2023
1,0104,59,5,1220,31743,0,622,1,X,08,2023
1,0104,68,5,1220,318864,0,15177,1,X,08,2023
1,0104,69,5,1220,8645,0,251,1,X,08,2023
1,0104,72,5,1220,5408,0,46,1,X,08,2023
1,0104,72,6,1220,65583,0,1816,1,X,08,2023
1,0104,73,5,1220,29409,0,74,1,X,08,2023
1,0104,74,5,1220,96652,0,751,1,X,08,2023
1,0104,75,5,1220,24363,0,175,1,X,08,2023
1,0104,76,5,1220,286015,0,25345,1,X,08,2023
1,0104,83,5,1220,14402,0,419,2,X,08,2023
1,0104,84,5,1220,524227,0,4881,1,X,08,2023
1,0104,84,5,1220,2234402,0,64203,2,X,08,2023
1,0104,85,5,1220,10316,0,409,1,X,08,2023
1,0104,85,5,1220,57757,0,1137,2,X,08,2023
1,0104,87,5,1220,1635903,0,40085,1,X,08,2023
1,0104,87,5,1220,11208,0,322,2,X,08,2023
1,0104,90,5,1220,6494,0,127,1,X,08,2023
1,0104,95,5,1220,5785,0,168,1,X,08,2023
1,0104,95,5,1220,12525,0,246,2,X,08,2023
1,0104,98,5,1220,68257,0,1482,1,X,08,2023
1,0105,23,6,1220,40102,0,1907,1,X,08,2023
1,0105,25,6,1220,149083,0,1184,1,X,08,2023
1,0105,25,6,1220,1182199,0,106110,2,X,08,2023
1,0105,44,5,1220,14923,0,292,1,X,08,2023
1,0105,44,6,1220,924497,0,19240,1,X,08,2023
1,0105,54,5,1220,33549,0,1231,1,X,08,2023
1,0105,95,5,1220,17753,0,1763,1,X,08,2023
1,0106,01,5,1220,213725,0,1774,1,X,08,2023
1,0106,03,5,1220,6769047,0,125162,1,X,08,2023
1,0106,03,5,1220,642132,0,10416,2,X,08,2023
1,0106,04,5,1220,153100,0,3102,1,X,08,2023
1,0106,05,5,1220,659518,0,49300,1,X,08,2023
1,0106,06,5,1220,2897,0,57,1,X,08,2023
1,0106,06,5,1220,10481,0,8,2,X,08,2023
1,0106,07,5,1220,119373,0,8717,1,X,08,2023
1,0106,08,5,1220,11214,0,219,1,X,08,2023
1,0106,08,5,1220,1321298,0,25879,2,X,08,2023
1,0106,09,5,1220,22526,0,357,1,X,08,2023
1,0106,11,5,1220,70926,0,7108,1,X,08,2023
1,0106,12,5,1220,54596,0,6676,1,X,08,2023
1,0106,12,5,1220,30245,0,30,2,X,08,2023
1,0106,13,5,1220,3177,0,49,1,X,08,2023
1,0106,15,5,1220,318553,0,4945,1,X,08,2023
1,0106,15,5,1220,32384,0,2367,2,X,08,2023
1,0106,17,5,1220,29047,0,690,2,X,08,2023
1,0106,18,5,1220,55378,0,1001,1,X,08,2023
1,0106,19,5,1220,1167378,0,95274,1,X,08,2023
1,0106,20,5,1220,743374,0,51130,1,X,08,2023
1,0106,20,5,1220,40967,0,3043,2,X,08,2023
1,0106,21,5,1220,121315,0,5052,1,X,08,2023
1,0106,21,5,1220,23654,0,229,2,X,08,2023
1,0106,22,5,1220,305000,0,14923,1,X,08,2023
1,0106,22,5,1220,76703,0,4266,2,X,08,2023
1,0106,23,5,1220,132724,0,7731,1,X,08,2023
1,0106,25,5,1220,278995,0,7989,1,X,08,2023
1,0106,27,5,1220,1528788,0,42701,1,X,08,2023
1,0106,28,5,1220,779824,0,53683,1,X,08,2023
1,0106,28,6,1220,109050,0,3338,1,X,08,2023
1,0106,29,5,1220,473670,0,14689,1,X,08,2023
1,0106,29,5,1220,246683,0,5408,2,X,08,2023
1,0106,31,5,1220,141279,0,16540,1,X,08,2023
1,0106,32,5,1220,610176,0,16678,1,X,08,2023
1,0106,32,5,1220,379449,0,120,2,X,08,2023
1,0106,33,5,1220,288317,0,2854,1,X,08,2023
1,0106,33,5,1220,572314,0,8120,2,X,08,2023
1,0106,34,5,1220,410256,0,17579,1,X,08,2023
1,0106,35,5,1220,35134,0,586,1,X,08,2023
1,0106,38,5,1220,664420,0,17897,1,X,08,2023
1,0106,38,5,1220,541540,0,11879,2,X,08,2023
1,0106,39,5,1220,5702895,0,193409,1,X,08,2023
1,0106,39,5,1220,449212,0,20083,2,X,08,2023
1,0106,40,5,1220,7914576,0,485441,1,X,08,2023
1,0106,40,5,1220,257970,0,10660,2,X,08,2023
1,0106,44,5,1220,1957077,0,83993,1,X,08,2023
1,0106,44,5,1220,30411,0,988,2,X,08,2023
1,0106,47,5,1220,46324,0,2564,1,X,08,2023
1,0106,48,5,1220,4289937,0,204309,1,X,08,2023
1,0106,48,5,1220,26022,0,372,2,X,08,2023
1,0106,49,5,1220,3547,0,54,1,X,08,2023
1,0106,51,5,1220,3157,0,71,1,X,08,2023
1,0106,54,5,1220,267518,0,3662,1,X,08,2023
1,0106,54,5,1220,17021,0,267,2,X,08,2023
1,0106,56,5,1220,1136136,0,7022,1,X,08,2023
1,0106,57,5,1220,160767,0,5934,1,X,08,2023
1,0106,58,5,1220,77696,0,1564,2,X,08,2023
1,0106,59,5,1220,447320,0,16630,1,X,08,2023
1,0106,62,5,1220,31750,0,30,2,X,08,2023
1,0106,63,5,1220,35018,0,2796,1,X,08,2023
1,0106,63,5,1220,27076,0,2578,2,X,08,2023
1,0106,65,5,1220,3602,0,3,1,X,08,2023
1,0106,68,5,1220,898034,0,33592,1,X,08,2023
1,0106,68,5,1220,16872,0,330,2,X,08,2023
1,0106,69,5,1220,18031,0,441,2,X,08,2023
1,0106,70,5,1220,995902,0,19973,1,X,08,2023
1,0106,70,5,1220,3618,0,71,2,X,08,2023
1,0106,71,5,1220,7944,0,155,1,X,08,2023
1,0106,72,5,1220,699049,0,34503,1,X,08,2023
1,0106,72,5,1220,823582,0,8065,2,X,08,2023
1,0106,72,6,1220,409962,0,7356,1,X,08,2023
1,0106,73,5,1220,4418914,0,281914,1,X,08,2023
1,0106,73,5,1220,248099,0,13333,2,X,08,2023
1,0106,76,5,1220,1064196,0,83697,1,X,08,2023
1,0106,76,5,1220,28489,0,25,2,X,08,2023
1,0106,76,6,1220,23641,0,266,1,X,08,2023
1,0106,78,5,1220,217638,0,2153,2,X,08,2023
1,0106,80,5,1220,3270,0,198,1,X,08,2023
