TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0708,5,,XO,1220,25825,0,74,2,X,12,2023
1,AK,20XX,3,,XA,1220,57380,128,1223,1,X,12,2023
1,AK,20XX,3,,XA,1220,9635,16,188,2,X,12,2023
1,AK,20XX,3,,XC,1220,431674,463,8169,1,X,12,2023
1,AK,20XX,3,,XC,1220,12598,27,281,2,X,12,2023
1,AK,20XX,3,,XM,1220,8310,68,218,1,X,12,2023
1,AK,20XX,3,,XO,1220,2556,293,74,1,X,12,2023
1,AK,20XX,3,,XO,1220,2611,1,77,2,X,12,2023
1,AK,20XX,3,,XQ,1220,29807,239,464,1,X,12,2023
1,AK,2303,5,CO,,2010,2569,0,0,2,0,12,2023
1,AK,2303,6,CO,,2010,169698,0,0,1,0,12,2023
1,AK,2304,5,CM,,2010,37480,0,0,1,0,12,2023
1,AK,2304,5,CM,,2010,38682,0,0,2,0,12,2023
1,AK,2304,5,CO,,2010,23641,0,0,1,0,12,2023
1,AK,2304,5,DG,,2010,23459,0,0,1,0,12,2023
1,AK,2304,5,DG,,2010,43590,0,0,2,0,12,2023
1,AK,2304,5,JA,,2010,15174,0,0,1,0,12,2023
1,AK,2304,5,MX,,2010,168211,0,0,1,0,12,2023
1,AK,2304,5,NL,,2010,594106,0,0,1,0,12,2023
1,AK,2304,5,NL,,2010,578929,0,0,2,0,12,2023
1,AK,2304,5,PU,,2010,4016,0,0,2,0,12,2023
1,AK,2304,5,QT,,2010,31868,0,0,1,0,12,2023
1,AK,2304,5,SL,,2010,95877,0,0,1,0,12,2023
1,AK,2304,5,ZA,,2010,136198,0,0,1,0,12,2023
1,AK,2304,6,NL,,2010,38594,0,0,1,0,12,2023
1,AK,2304,8,JA,,2010,15000,0,0,1,X,12,2023
1,AK,2305,5,JA,,2010,29654,0,0,1,0,12,2023
1,AK,2305,5,JA,,2010,2674,0,0,2,0,12,2023
1,AK,2305,5,MX,,2010,28636,0,0,1,0,12,2023
1,AK,2305,5,NL,,2010,252595,0,0,1,0,12,2023
1,AK,2305,5,TM,,2010,17318,0,0,1,0,12,2023
1,AK,2305,5,TM,,2010,18665,0,0,2,0,12,2023
1,AK,2402,5,CH,,2010,44449,0,0,1,0,12,2023
1,AK,3001,5,,XC,1220,5019,0,98,2,X,12,2023
1,AK,3004,5,,XA,1220,2559,0,8,1,X,12,2023
1,AK,3004,5,,XC,1220,635313,0,15410,1,X,12,2023
1,AK,3009,5,,XC,1220,963374,0,4847,1,X,12,2023
1,AK,3009,5,,XC,1220,286408,0,5614,2,X,12,2023
1,AK,3019,8,,XC,1220,4450,0,74,1,X,12,2023
1,AK,3023,5,,XC,1220,379266,0,3752,1,X,12,2023
1,AK,30XX,1,,XC,1220,342688,2399150,3392,1,X,12,2023
1,AK,30XX,3,,XC,1220,3020,17,74,1,X,12,2023
1,AK,30XX,3,,XC,1220,3230,21,63,2,X,12,2023
1,AK,3103,5,,XC,1220,5267381,0,54292,1,X,12,2023
1,AK,3103,5,,XC,1220,7729,0,165,2,X,12,2023
1,AK,3104,5,,XY,1220,805208,0,17283,1,X,12,2023
1,AK,3104,5,,XY,1220,159400,0,4448,2,X,12,2023
1,AK,3106,5,,XC,1220,149871,0,2937,1,X,12,2023
1,AK,3126,5,,XY,1220,5302,0,149,2,X,12,2023
1,AK,31XX,3,,XY,1220,118832,240,3539,1,X,12,2023
1,AK,3302,5,,XC,1220,32326,0,298,1,X,12,2023
1,AK,3302,5,,XC,1220,286480,0,5614,2,X,12,2023
