TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,39,5,1220,2659,0,134,1,X,12,2023
1,0101,72,6,1220,101595,0,3465,1,X,12,2023
1,0101,73,5,1220,3117,0,88,1,X,12,2023
1,0101,73,6,1220,25839,0,708,1,X,12,2023
1,0101,84,5,1220,2876,0,131,1,X,12,2023
1,0101,84,5,1220,3573,0,206,2,X,12,2023
1,0101,85,5,1220,35018,0,317,1,X,12,2023
1,0101,85,5,1220,12012,0,205,2,X,12,2023
1,0101,87,5,1220,4017,0,178,2,X,12,2023
1,0101,90,5,1220,31016,0,127,1,X,12,2023
1,0102,72,6,1220,5634,0,298,1,X,12,2023
1,0102,98,8,1220,80590,0,798,1,X,12,2023
1,0103,05,5,1220,47338,0,1613,1,X,12,2023
1,0103,33,5,1220,9021,0,176,2,X,12,2023
1,0103,83,5,1220,3824,0,95,1,X,12,2023
1,0103,84,5,1220,2599,0,77,1,X,12,2023
1,0103,87,5,1220,6377,0,104,1,X,12,2023
1,0104,01,5,1220,87689,0,1680,1,X,12,2023
1,0104,19,5,1220,79115,0,9954,1,X,12,2023
1,0104,31,5,1220,26111,0,3278,1,X,12,2023
1,0104,32,5,1220,3560,0,125,2,X,12,2023
1,0104,38,5,1220,19924,0,471,1,X,12,2023
1,0104,39,5,1220,13555,0,393,1,X,12,2023
1,0104,39,5,1220,20786,0,707,2,X,12,2023
1,0104,40,5,1220,7287,0,149,2,X,12,2023
1,0104,44,5,1220,8499735,0,261455,1,X,12,2023
1,0104,47,5,1220,265131,0,5486,1,X,12,2023
1,0104,48,5,1220,7294371,0,379261,1,X,12,2023
1,0104,48,5,1220,17858,0,350,2,X,12,2023
1,0104,48,6,1220,131251,0,22,1,X,12,2023
1,0104,49,5,1220,4757,0,161,1,X,12,2023
1,0104,54,5,1220,310432,0,1820,1,X,12,2023
1,0104,54,5,1220,4516,0,2,2,X,12,2023
1,0104,55,5,1220,332204,0,2153,1,X,12,2023
1,0104,56,5,1220,9385,0,70,1,X,12,2023
1,0104,58,5,1220,2910,0,243,1,X,12,2023
1,0104,63,5,1220,2798,0,105,2,X,12,2023
1,0104,68,5,1220,401498,0,18784,1,X,12,2023
1,0104,69,5,1220,6306,0,183,1,X,12,2023
1,0104,72,5,1220,36932,0,4024,1,X,12,2023
1,0104,72,6,1220,606345,0,25551,1,X,12,2023
1,0104,73,5,1220,3219,0,63,1,X,12,2023
1,0104,73,5,1220,11821,0,572,2,X,12,2023
1,0104,73,6,1220,36777,0,1676,1,X,12,2023
1,0104,74,5,1220,95922,0,1145,1,X,12,2023
1,0104,75,5,1220,3053,0,40,1,X,12,2023
1,0104,76,5,1220,152378,0,11339,1,X,12,2023
1,0104,78,5,1220,2771,0,49,1,X,12,2023
1,0104,82,5,1220,6192,0,121,1,X,12,2023
1,0104,82,5,1220,4756,0,96,2,X,12,2023
1,0104,84,5,1220,55405,0,1361,1,X,12,2023
1,0104,84,5,1220,260086,0,7630,2,X,12,2023
1,0104,85,5,1220,5948,0,119,1,X,12,2023
1,0104,85,5,1220,5375,0,116,2,X,12,2023
1,0104,87,5,1220,682039,0,15365,1,X,12,2023
1,0104,87,5,1220,34463,0,830,2,X,12,2023
1,0104,89,5,1220,135202,0,1996,1,X,12,2023
1,0104,90,5,1220,7899,0,230,2,X,12,2023
1,0104,94,5,1220,26224,0,783,2,X,12,2023
1,0104,95,5,1220,6052,0,221,1,X,12,2023
1,0105,08,5,1220,4639,0,90,2,X,12,2023
1,0105,11,5,1220,13434,0,263,1,X,12,2023
1,0105,25,6,1220,44637,0,370,1,X,12,2023
1,0105,25,6,1220,977353,0,92280,2,X,12,2023
1,0105,44,6,1220,957736,0,19610,1,X,12,2023
1,0105,54,5,1220,30422,0,1668,1,X,12,2023
1,0105,73,6,1220,346428,0,222,2,X,12,2023
1,0106,01,5,1220,17751,0,354,1,X,12,2023
1,0106,03,5,1220,3406927,0,58055,1,X,12,2023
1,0106,03,5,1220,14764,0,202,2,X,12,2023
1,0106,04,5,1220,134279,0,1505,1,X,12,2023
1,0106,05,5,1220,98245,0,5090,1,X,12,2023
1,0106,06,5,1220,37190,0,1184,1,X,12,2023
1,0106,06,5,1220,407683,0,377,2,X,12,2023
1,0106,07,5,1220,157499,0,6061,1,X,12,2023
1,0106,08,5,1220,123576,0,2312,1,X,12,2023
1,0106,08,5,1220,1639534,0,31703,2,X,12,2023
1,0106,09,5,1220,13297,0,259,2,X,12,2023
1,0106,10,5,1220,49609,0,1085,1,X,12,2023
1,0106,11,5,1220,85643,0,12275,1,X,12,2023
1,0106,12,5,1220,118209,0,13419,1,X,12,2023
1,0106,12,5,1220,137428,0,125,2,X,12,2023
1,0106,15,5,1220,89227,0,1276,1,X,12,2023
1,0106,16,5,1220,89699,0,86,1,X,12,2023
1,0106,18,5,1220,32886,0,2457,1,X,12,2023
1,0106,18,5,1220,7814,0,900,2,X,12,2023
1,0106,19,5,1220,976890,0,79590,1,X,12,2023
1,0106,20,5,1220,488280,0,43885,1,X,12,2023
1,0106,20,5,1220,77184,0,222,2,X,12,2023
1,0106,21,5,1220,99772,0,3818,1,X,12,2023
1,0106,21,5,1220,54571,0,1159,2,X,12,2023
1,0106,22,5,1220,168988,0,10176,1,X,12,2023
1,0106,22,5,1220,25597,0,1747,2,X,12,2023
1,0106,23,5,1220,48318,0,1389,1,X,12,2023
1,0106,25,5,1220,196314,0,8346,1,X,12,2023
1,0106,27,5,1220,1762421,0,28784,1,X,12,2023
1,0106,28,5,1220,983958,0,71971,1,X,12,2023
1,0106,28,6,1220,81881,0,3354,1,X,12,2023
1,0106,29,5,1220,221392,0,5960,1,X,12,2023
1,0106,29,5,1220,203791,0,6708,2,X,12,2023
1,0106,31,5,1220,48631,0,3302,1,X,12,2023
1,0106,32,5,1220,660090,0,21159,1,X,12,2023
1,0106,32,5,1220,399268,0,971,2,X,12,2023
1,0106,33,5,1220,38855,0,670,1,X,12,2023
1,0106,33,5,1220,977682,0,13311,2,X,12,2023
1,0106,34,5,1220,412362,0,13521,1,X,12,2023
1,0106,35,5,1220,201322,0,6769,1,X,12,2023
1,0106,38,5,1220,464857,0,15298,1,X,12,2023
