TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XA,1220,7204,0,248,1,X,02,2023
1,AK,0712,5,,XQ,1220,175723,0,1740,2,X,02,2023
1,AK,18XX,1,XX,,2010,10244,1512,0,1,1,02,2023
1,AK,20XX,3,,XA,1220,61247,298,539,1,X,02,2023
1,AK,20XX,3,,XA,1220,248831,268,4496,2,X,02,2023
1,AK,20XX,3,,XC,1220,63017,78,3246,1,X,02,2023
1,AK,20XX,3,,XM,1220,7850,94,84,1,X,02,2023
1,AK,20XX,3,,XO,1220,2561,1,55,1,X,02,2023
1,AK,20XX,3,,XQ,1220,119833,42,74,2,X,02,2023
1,AK,2303,6,MX,,2010,60419,0,0,1,0,02,2023
1,AK,2303,6,NL,,2010,26722,0,0,1,0,02,2023
1,AK,2304,5,CM,,2010,259974,0,0,1,0,02,2023
1,AK,2304,5,CM,,2010,15101,0,0,2,0,02,2023
1,AK,2304,5,CO,,2010,13916,0,0,1,0,02,2023
1,AK,2304,5,CO,,2010,543615,0,0,2,0,02,2023
1,AK,2304,5,GT,,2010,1616137,0,0,1,0,02,2023
1,AK,2304,5,MX,,2010,159187,0,0,1,0,02,2023
1,AK,2304,5,NL,,2010,10065,0,0,1,0,02,2023
1,AK,2304,5,NL,,2010,427428,0,0,2,0,02,2023
1,AK,2304,5,QT,,2010,142340,0,0,1,0,02,2023
1,AK,2304,5,SL,,2010,78821,0,0,1,0,02,2023
1,AK,2304,5,TM,,2010,5948,0,0,1,0,02,2023
1,AK,2304,5,VE,,2010,96659,0,0,2,0,02,2023
1,AK,2304,6,PU,,2010,36269,0,0,1,0,02,2023
1,AK,2305,5,DF,,2010,12169,0,0,1,0,02,2023
1,AK,2305,5,NL,,2010,233640,0,0,1,0,02,2023
1,AK,2309,5,TM,,2010,652588,0,0,1,0,02,2023
1,AK,2402,5,CH,,2010,5855,0,0,1,0,02,2023
1,AK,2506,5,MX,,2010,11171,0,0,1,0,02,2023
1,AK,2506,8,BC,,2010,5335,0,0,1,X,02,2023
1,AK,2507,8,BC,,2010,3435,0,0,1,X,02,2023
1,AK,3001,5,,XO,1220,3869,0,1,1,X,02,2023
1,AK,3004,5,,XC,1220,561399,0,11359,1,X,02,2023
1,AK,3004,5,,XC,1220,8420,0,244,2,X,02,2023
1,AK,3009,5,,XC,1220,1152344,0,7377,1,X,02,2023
1,AK,3023,5,,XC,1220,408298,0,3610,1,X,02,2023
1,AK,3023,5,,XC,1220,73470,0,2832,2,X,02,2023
1,AK,30XX,3,,XC,1220,4290,25,286,2,X,02,2023
1,AK,3103,5,,XC,1220,7016561,0,69424,1,X,02,2023
1,AK,3103,5,,XC,1220,3271,0,78,2,X,02,2023
1,AK,3104,5,,XY,1220,156087,0,2880,1,X,02,2023
1,AK,3104,5,,XY,1220,384204,0,9892,2,X,02,2023
1,AK,3106,5,,XC,1220,457074,0,8956,1,X,02,2023
1,AK,31XX,1,,XC,1220,26733191,14748000,20594,1,X,02,2023
1,AK,31XX,3,,XC,1220,199537,1948,432,1,X,02,2023
1,AK,3302,5,,XC,1220,41876,0,414,1,X,02,2023
1,AK,3310,5,,XA,1220,211258,0,4073,1,X,02,2023
1,AK,3401,5,,XM,1220,92996,0,575,1,X,02,2023
1,AK,3401,5,,XY,1220,16617,0,520,1,X,02,2023
1,AK,3401,5,,XY,1220,50678,0,749,2,X,02,2023
1,AK,3801,5,,XO,1220,5358,0,202,1,X,02,2023
1,AK,4101,3,,XA,1220,32414,70,635,1,X,02,2023
1,AK,4101,3,,XO,1220,3828,5,83,1,X,02,2023
1,AK,4101,3,,XO,1220,19785,27,365,2,X,02,2023
1,AK,4101,3,,XQ,1220,4987,16,37,1,X,02,2023
1,AK,4101,3,,XQ,1220,66376,396,74,2,X,02,2023
1,AK,4102,3,,XQ,1220,29829,200,584,1,X,02,2023
1,AK,52XX,3,XX,,2010,18491,344,0,1,0,02,2023
1,AK,70XX,5,,XC,1220,11652,0,410,1,X,02,2023
1,AK,70XX,8,,XA,1220,8,0,0,1,X,02,2023
