TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,TM,,2010,5948,0,0,1,0,02,2023
1,AK,03,5,,XC,1220,456681,0,9302,1,X,02,2023
1,AK,07,5,,XC,1220,73470,0,2832,2,X,02,2023
1,AK,10,5,TM,,2010,652588,0,0,1,0,02,2023
1,AK,15,5,,XC,1220,836548,0,5741,1,X,02,2023
1,AK,21,5,CM,,2010,12180,0,0,2,0,02,2023
1,AK,23,5,,XC,1220,700617,0,4875,1,X,02,2023
1,AK,23,5,,XM,1220,61797,0,61,1,X,02,2023
1,AK,25,5,,XA,1220,7204,0,248,1,X,02,2023
1,AK,26,1,,XC,1220,24660483,7236062,73,1,X,02,2023
1,AK,27,5,,XC,1220,7473635,0,78380,1,X,02,2023
1,AK,27,5,,XY,1220,87103,0,1707,1,X,02,2023
1,AK,28,5,GT,,2010,365729,0,0,1,0,02,2023
1,AK,33,5,NL,,2010,233640,0,0,1,0,02,2023
1,AK,34,5,CM,,2010,41961,0,0,1,0,02,2023
1,AK,34,5,MX,,2010,6259,0,0,1,0,02,2023
1,AK,39,5,GT,,2010,109023,0,0,1,0,02,2023
1,AK,39,5,MX,,2010,5505,0,0,1,0,02,2023
1,AK,39,5,QT,,2010,30690,0,0,1,0,02,2023
1,AK,40,5,CM,,2010,120870,0,0,1,0,02,2023
1,AK,40,5,SL,,2010,14003,0,0,1,0,02,2023
1,AK,44,1,,XC,1220,2072708,7511938,20521,1,X,02,2023
1,AK,44,5,,XC,1220,23477,0,371,1,X,02,2023
1,AK,47,6,MX,,2010,60419,0,0,1,0,02,2023
1,AK,49,3,,XC,1220,30570,1527,95,1,X,02,2023
1,AK,63,5,,XO,1220,5358,0,202,1,X,02,2023
1,AK,70,5,,XC,1220,3271,0,78,2,X,02,2023
1,AK,70,5,CO,,2010,6170,0,0,1,0,02,2023
1,AK,72,5,QT,,2010,111650,0,0,1,0,02,2023
1,AK,72,6,NL,,2010,26722,0,0,1,0,02,2023
1,AK,72,6,PU,,2010,36269,0,0,1,0,02,2023
1,AK,73,5,,XY,1220,20650,0,405,2,X,02,2023
1,AK,73,5,SL,,2010,12859,0,0,1,0,02,2023
1,AK,76,1,XX,,2010,10244,1512,0,1,1,02,2023
1,AK,76,5,NL,,2010,6950,0,0,2,0,02,2023
1,AK,82,5,CH,,2010,5855,0,0,1,0,02,2023
1,AK,82,5,NL,,2010,10380,0,0,2,0,02,2023
1,AK,84,3,,XA,1220,32414,70,635,1,X,02,2023
1,AK,84,3,,XC,1220,3258,6,74,1,X,02,2023
1,AK,84,3,,XQ,1220,4987,16,37,1,X,02,2023
1,AK,84,3,,XQ,1220,66376,396,74,2,X,02,2023
1,AK,84,3,XX,,2010,18491,344,0,1,0,02,2023
1,AK,84,5,,XA,1220,202375,0,3974,1,X,02,2023
1,AK,84,5,,XC,1220,44668,0,875,1,X,02,2023
1,AK,84,5,,XC,1220,8420,0,244,2,X,02,2023
1,AK,84,5,,XY,1220,52283,0,1058,1,X,02,2023
1,AK,84,5,,XY,1220,396704,0,9789,2,X,02,2023
1,AK,84,5,CM,,2010,97143,0,0,1,0,02,2023
1,AK,84,5,DF,,2010,12169,0,0,1,0,02,2023
1,AK,84,5,MX,,2010,101930,0,0,1,0,02,2023
1,AK,84,5,SL,,2010,51959,0,0,1,0,02,2023
1,AK,85,3,,XC,1220,148273,406,296,1,X,02,2023
1,AK,85,3,,XO,1220,19785,27,365,2,X,02,2023
1,AK,85,5,,XA,1220,5015,0,98,1,X,02,2023
1,AK,85,5,,XM,1220,3724,0,74,1,X,02,2023
1,AK,85,5,,XY,1220,16617,0,520,1,X,02,2023
1,AK,85,5,CM,,2010,2921,0,0,2,0,02,2023
1,AK,85,5,CO,,2010,7746,0,0,1,0,02,2023
1,AK,85,5,MX,,2010,12278,0,0,1,0,02,2023
1,AK,85,5,NL,,2010,10065,0,0,1,0,02,2023
1,AK,85,5,NL,,2010,396202,0,0,2,0,02,2023
1,AK,87,5,,XQ,1220,175723,0,1740,2,X,02,2023
1,AK,87,5,CO,,2010,543615,0,0,2,0,02,2023
1,AK,87,5,GT,,2010,1141385,0,0,1,0,02,2023
1,AK,87,5,NL,,2010,13896,0,0,2,0,02,2023
1,AK,87,8,BC,,2010,8770,0,0,1,X,02,2023
1,AK,88,3,,XA,1220,20550,212,392,1,X,02,2023
1,AK,88,3,,XA,1220,248831,268,4496,2,X,02,2023
1,AK,88,3,,XC,1220,80453,87,3213,1,X,02,2023
1,AK,88,3,,XM,1220,7850,94,84,1,X,02,2023
1,AK,88,3,,XO,1220,6389,6,138,1,X,02,2023
1,AK,88,5,,XA,1220,3868,0,1,1,X,02,2023
1,AK,88,5,,XC,1220,101926,0,1596,1,X,02,2023
1,AK,88,5,,XM,1220,27475,0,440,1,X,02,2023
1,AK,88,5,,XO,1220,3869,0,1,1,X,02,2023
1,AK,88,5,,XY,1220,16701,0,115,1,X,02,2023
1,AK,88,5,,XY,1220,10294,0,306,2,X,02,2023
1,AK,90,3,,XA,1220,40697,86,147,1,X,02,2023
1,AK,90,3,,XC,1220,4290,25,286,2,X,02,2023
1,AK,90,3,,XQ,1220,29829,200,584,1,X,02,2023
1,AK,90,3,,XQ,1220,119833,42,74,2,X,02,2023
1,AK,90,5,,XY,1220,7234,0,141,2,X,02,2023
1,AK,90,5,MX,,2010,44386,0,0,1,0,02,2023
1,AK,90,5,VE,,2010,96659,0,0,2,0,02,2023
1,AK,98,5,,XC,1220,11652,0,410,1,X,02,2023
1,AK,98,8,,XA,1220,8,0,0,1,X,02,2023
1,AK,98,8,,XC,1220,1291,0,88,1,X,02,2023
1,AL,01,3,,XA,1220,13217,35,259,2,X,02,2023
1,AL,01,3,,XC,1220,2529,9,50,1,X,02,2023
1,AL,01,3,XX,,2010,3189817,4752,0,1,0,02,2023
1,AL,01,5,,XA,1220,25561,0,500,1,X,02,2023
1,AL,02,5,,XO,1220,219895,0,7873,1,X,02,2023
1,AL,02,5,GT,,2010,37119,0,0,1,0,02,2023
1,AL,02,5,MX,,2010,121180,0,0,1,0,02,2023
1,AL,02,5,SL,,2010,74489,0,0,1,0,02,2023
1,AL,03,5,,XO,1220,7744,0,105,1,X,02,2023
1,AL,03,5,,XQ,1220,3047,0,53,1,X,02,2023
1,AL,04,3,XX,,2010,186990,6387,0,1,0,02,2023
