TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,7790,0,153,2,X,02,2023
1,0101,39,5,1220,5080,0,133,1,X,02,2023
1,0101,42,5,1220,8793,0,44,1,X,02,2023
1,0101,63,5,1220,180732,0,1344,1,X,02,2023
1,0101,63,5,1220,13094,0,97,2,X,02,2023
1,0101,72,6,1220,100920,0,2526,1,X,02,2023
1,0101,73,5,1220,8122,0,394,2,X,02,2023
1,0101,73,6,1220,134027,0,4012,1,X,02,2023
1,0101,84,5,1220,33977,0,774,1,X,02,2023
1,0101,84,5,1220,2688,0,15,2,X,02,2023
1,0101,85,5,1220,90811,0,1613,1,X,02,2023
1,0101,85,5,1220,2803,0,36,2,X,02,2023
1,0101,87,5,1220,5834,0,60,2,X,02,2023
1,0101,90,5,1220,56657,0,313,1,X,02,2023
1,0101,90,5,1220,2700,0,98,2,X,02,2023
1,0101,94,5,1220,18462,0,140,2,X,02,2023
1,0102,74,5,1220,42624,0,272,1,X,02,2023
1,0102,76,5,1220,13441,0,83,1,X,02,2023
1,0103,05,5,1220,4133,0,141,1,X,02,2023
1,0103,21,5,1220,13480,0,264,1,X,02,2023
1,0103,44,5,1220,5971,0,149,1,X,02,2023
1,0103,73,5,1220,35856,0,1454,1,X,02,2023
1,0103,84,5,1220,6198,0,184,1,X,02,2023
1,0103,84,5,1220,3212,0,63,2,X,02,2023
1,0104,01,5,1220,241279,0,4611,1,X,02,2023
1,0104,08,5,1220,339012,0,6641,2,X,02,2023
1,0104,10,6,1220,176520,0,3459,1,X,02,2023
1,0104,16,5,1220,38421,0,2359,1,X,02,2023
1,0104,19,5,1220,98241,0,9356,1,X,02,2023
1,0104,21,5,1220,24728,0,24,1,X,02,2023
1,0104,25,5,1220,17487,0,734,1,X,02,2023
1,0104,27,6,1220,15297,0,1496,1,X,02,2023
1,0104,31,5,1220,23467,0,2317,1,X,02,2023
1,0104,32,5,1220,4432,0,155,2,X,02,2023
1,0104,34,5,1220,5443,0,107,1,X,02,2023
1,0104,38,5,1220,68638,0,2428,1,X,02,2023
1,0104,39,5,1220,78909,0,2005,1,X,02,2023
1,0104,39,5,1220,21385,0,726,2,X,02,2023
1,0104,40,5,1220,10919,0,144,1,X,02,2023
1,0104,44,5,1220,9491342,0,269972,1,X,02,2023
1,0104,44,5,1220,61412,0,957,2,X,02,2023
1,0104,44,6,1220,10444,0,774,1,X,02,2023
1,0104,47,5,1220,1588219,0,123087,1,X,02,2023
