TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,,XO,1220,58322,0,577,1,X,01,2023
1,AK,02,5,AG,,2010,29961,0,0,1,0,01,2023
1,AK,03,5,,XC,1220,888108,0,12627,1,X,01,2023
1,AK,03,5,,XC,1220,56416,0,773,2,X,01,2023
1,AK,05,5,,XC,1220,37911,0,375,1,X,01,2023
1,AK,05,5,,XO,1220,91616,0,907,1,X,01,2023
1,AK,10,5,TM,,2010,2464774,0,0,1,0,01,2023
1,AK,10,6,DG,,2010,3745860,0,0,1,0,01,2023
1,AK,12,5,PU,,2010,65462,0,0,1,0,01,2023
1,AK,15,5,,XC,1220,574826,0,4634,1,X,01,2023
1,AK,16,5,NL,,2010,101404,0,0,1,0,01,2023
1,AK,20,5,NL,,2010,32196,0,0,1,0,01,2023
1,AK,23,5,,XC,1220,711193,0,4436,1,X,01,2023
1,AK,27,5,,XC,1220,8171996,0,93877,1,X,01,2023
1,AK,27,5,,XY,1220,554308,0,10862,1,X,01,2023
1,AK,28,5,GT,,2010,100336,0,0,1,0,01,2023
1,AK,32,5,MX,,2010,5860,0,0,1,0,01,2023
1,AK,34,5,TM,,2010,3551,0,0,1,0,01,2023
1,AK,38,5,CM,,2010,18381,0,0,1,0,01,2023
1,AK,38,5,MX,,2010,5021,0,0,2,0,01,2023
1,AK,38,5,NL,,2010,4266,0,0,2,0,01,2023
1,AK,39,5,,XB,1220,6536,0,222,1,X,01,2023
1,AK,39,5,,XB,1220,10294,0,350,2,X,01,2023
1,AK,39,5,,XQ,1220,12060,0,236,1,X,01,2023
1,AK,39,5,DF,,2010,13310,0,0,1,0,01,2023
1,AK,39,5,DG,,2010,14470,0,0,1,0,01,2023
1,AK,39,5,GT,,2010,113957,0,0,1,0,01,2023
1,AK,39,5,MX,,2010,106139,0,0,1,0,01,2023
1,AK,39,5,NL,,2010,21400,0,0,1,0,01,2023
1,AK,40,5,MX,,2010,5317,0,0,1,0,01,2023
1,AK,40,5,MX,,2010,4260,0,0,2,0,01,2023
1,AK,40,5,SL,,2010,105857,0,0,1,0,01,2023
1,AK,44,1,,XC,1220,219348,2081631,2171,1,X,01,2023
1,AK,48,5,GT,,2010,25920,0,0,1,0,01,2023
1,AK,48,5,NL,,2010,15061,0,0,1,0,01,2023
1,AK,48,5,QT,,2010,6734,0,0,1,0,01,2023
1,AK,53,5,GT,,2010,14119,0,0,1,0,01,2023
1,AK,54,5,GT,,2010,34413,0,0,1,0,01,2023
1,AK,57,3,,XQ,1220,5049,114,55,1,X,01,2023
1,AK,60,5,GT,,2010,215337,0,0,1,0,01,2023
1,AK,63,3,,XC,1220,3199,67,74,1,X,01,2023
1,AK,63,5,,XM,1220,4976,0,188,1,X,01,2023
1,AK,63,5,,XO,1220,10592,0,400,1,X,01,2023
1,AK,72,5,MX,,2010,19232,0,0,1,0,01,2023
1,AK,72,5,NL,,2010,32368,0,0,1,0,01,2023
1,AK,72,5,SO,,2010,6657,0,0,2,0,01,2023
1,AK,73,5,,XQ,1220,48632,0,1973,1,X,01,2023
1,AK,73,5,,XY,1220,4689,0,87,1,X,01,2023
1,AK,74,5,,XM,1220,16284,0,521,1,X,01,2023
1,AK,74,5,,XO,1220,127760,0,0,1,X,01,2023
1,AK,76,5,,XY,1220,34939,0,685,1,X,01,2023
1,AK,76,5,MX,,2010,18088,0,0,1,0,01,2023
1,AK,82,3,,XA,1220,35316,336,692,1,X,01,2023
1,AK,82,5,CH,,2010,31850,0,0,1,0,01,2023
1,AK,83,5,MX,,2010,5507,0,0,1,0,01,2023
1,AK,84,3,,XA,1220,10470,458,499,1,X,01,2023
1,AK,84,3,,XC,1220,71810,1295,1885,1,X,01,2023
1,AK,84,3,,XY,1220,7081,16,38,1,X,01,2023
1,AK,84,5,,XA,1220,283358,0,5547,1,X,01,2023
1,AK,84,5,,XC,1220,23514,0,700,1,X,01,2023
1,AK,84,5,,XY,1220,9891,0,193,1,X,01,2023
1,AK,84,5,,XY,1220,4878,0,95,2,X,01,2023
1,AK,84,5,GT,,2010,179324,0,0,1,0,01,2023
1,AK,84,5,MX,,2010,4000,0,0,1,0,01,2023
1,AK,84,5,NL,,2010,250305,0,0,1,0,01,2023
1,AK,84,5,NL,,2010,79288,0,0,2,0,01,2023
1,AK,84,5,QT,,2010,12460,0,0,2,0,01,2023
1,AK,84,5,SL,,2010,12960,0,0,1,0,01,2023
1,AK,84,5,SL,,2010,14638,0,0,2,0,01,2023
1,AK,85,3,,XC,1220,32050,21,2919,1,X,01,2023
1,AK,85,3,,XC,1220,83189,20,414,2,X,01,2023
1,AK,85,3,,XQ,1220,5161,2,74,1,X,01,2023
1,AK,85,3,,XY,1220,39430,848,158,1,X,01,2023
1,AK,85,5,,XA,1220,3504,0,68,1,X,01,2023
1,AK,85,5,,XA,1220,22269,0,2518,2,X,01,2023
1,AK,85,5,,XM,1220,8753,0,521,1,X,01,2023
1,AK,85,5,,XO,1220,9069,0,149,1,X,01,2023
1,AK,85,5,,XY,1220,174929,0,1729,1,X,01,2023
1,AK,85,5,CO,,2010,7168,0,0,2,0,01,2023
1,AK,85,5,DG,,2010,12929,0,0,2,0,01,2023
1,AK,85,5,MX,,2010,15620,0,0,1,0,01,2023
1,AK,85,5,MX,,2010,12252,0,0,2,0,01,2023
1,AK,86,5,HG,,2010,9608,0,0,1,0,01,2023
1,AK,87,5,,XC,1220,2555,0,20,1,X,01,2023
1,AK,87,5,,XC,1220,30367,0,510,2,X,01,2023
1,AK,87,5,,XY,1220,7725,0,150,1,X,01,2023
1,AK,87,5,CO,,2010,540428,0,0,2,0,01,2023
1,AK,87,5,GT,,2010,585173,0,0,1,0,01,2023
1,AK,87,5,SL,,2010,4648,0,0,1,0,01,2023
1,AK,88,3,,XA,1220,23097,107,564,1,X,01,2023
1,AK,88,3,,XC,1220,94959,349,5874,1,X,01,2023
1,AK,88,3,,XM,1220,2570,20,7,1,X,01,2023
1,AK,88,3,,XQ,1220,3038,1,55,1,X,01,2023
1,AK,88,3,,XY,1220,131695,53,526,1,X,01,2023
1,AK,88,5,,XA,1220,3987,0,86,1,X,01,2023
1,AK,88,5,,XM,1220,12424,0,877,1,X,01,2023
1,AK,88,5,,XY,1220,146139,0,1633,1,X,01,2023
1,AK,90,3,,XA,1220,21590,14,6,1,X,01,2023
1,AK,90,3,,XC,1220,43307,33,219,1,X,01,2023
1,AK,90,3,,XO,1220,12284,5,240,2,X,01,2023
1,AK,90,3,,XQ,1220,25052,21,149,2,X,01,2023
1,AK,90,5,,XO,1220,5480,0,107,1,X,01,2023
1,AK,90,5,MX,,2010,55517,0,0,1,0,01,2023
1,AK,91,5,,XC,1220,2658,0,49,1,X,01,2023
1,AK,92,5,,XO,1220,3432,0,4,1,X,01,2023
1,AK,94,3,,XO,1220,6377,45,130,1,X,01,2023
1,AK,98,5,,XC,1220,9893,0,347,1,X,01,2023
1,AK,98,8,,XA,1220,2492,0,27,1,X,01,2023
1,AK,98,8,,XC,1220,1402,0,79,1,X,01,2023
1,AK,98,8,,XQ,1220,266,0,2,1,X,01,2023
1,AL,01,3,XX,,2010,784210,1155,0,1,0,01,2023
1,AL,01,5,,XA,1220,127543,0,1101,1,X,01,2023
1,AL,01,5,,XM,1220,223023,0,1252,1,X,01,2023
1,AL,02,5,,XO,1220,334373,0,9619,1,X,01,2023
1,AL,02,5,MX,,2010,16116,0,0,1,0,01,2023
1,AL,02,5,NL,,2010,23520,0,0,1,0,01,2023
1,AL,02,5,OT,,2010,14000,0,0,1,0,01,2023
1,AL,02,5,SL,,2010,162876,0,0,1,0,01,2023
1,AL,02,5,YU,,2010,12843,0,0,1,0,01,2023
1,AL,03,5,,XO,1220,26240,0,356,1,X,01,2023
1,AL,03,5,,XQ,1220,4070,0,55,1,X,01,2023
1,AL,04,5,,XC,1220,801332,0,3886,1,X,01,2023
1,AL,04,5,QT,,2010,323304,0,0,1,0,01,2023
1,AL,05,5,,XO,1220,30742,0,2989,1,X,01,2023
1,AL,07,5,MX,,2010,190690,0,0,1,0,01,2023
1,AL,09,5,,XA,1220,13245,0,1116,1,X,01,2023
1,AL,11,5,,XO,1220,6949,0,912,1,X,01,2023
1,AL,12,5,,XB,1220,201993,0,20114,1,X,01,2023
1,AL,12,5,,XO,1220,75097,0,7159,1,X,01,2023
1,AL,12,5,,XQ,1220,25963,0,3352,1,X,01,2023
1,AL,12,5,DF,,2010,23980,0,0,1,0,01,2023
1,AL,12,5,JA,,2010,481800,0,0,1,0,01,2023
1,AL,12,5,MX,,2010,880392,0,0,1,0,01,2023
1,AL,12,6,,XC,1220,148283,0,2456,1,X,01,2023
1,AL,12,8,MX,,2010,366954,0,0,1,X,01,2023
1,AL,12,8,NL,,2010,384340,0,0,1,X,01,2023
1,AL,15,5,,XM,1220,71869,0,1408,1,X,01,2023
1,AL,15,5,,XO,1220,108437,0,2311,1,X,01,2023
1,AL,15,5,NL,,2010,83652,0,0,1,0,01,2023
1,AL,15,6,,XM,1220,176107,0,3453,2,X,01,2023
1,AL,16,5,DF,,2010,82000,0,0,1,0,01,2023
1,AL,17,1,XX,,2010,519701,1280473,0,1,1,01,2023
1,AL,17,5,,XO,1220,10824,0,212,1,X,01,2023
1,AL,18,5,,XO,1220,96283,0,531,1,X,01,2023
1,AL,19,5,,XA,1220,4284,0,359,1,X,01,2023
1,AL,19,5,,XC,1220,88232,0,10056,1,X,01,2023
1,AL,19,5,,XM,1220,37761,0,2850,1,X,01,2023
